time_to_horizon_M,series,ara_coordinate
-3199.996267868691,horizon angular traversal,0.18687872763419483
-3191.996267868691,waveform Space/Connection,0.09627946606077818
-3191.996267868691,horizon radial closure,0.24368077250781028
-3191.996267868691,waveform Time/Traversal,0.17125816529395058
-3191.996267868691,horizon angular traversal,0.19142289122408407
-3183.996267868691,waveform Space/Connection,0.08719113888099972
-3183.996267868691,horizon radial closure,0.2627094575404715
-3183.996267868691,waveform Time/Traversal,0.19170690144845215
-3183.996267868691,horizon angular traversal,0.1959670548139733
-3176.496267868691,waveform Space/Connection,0.0761147401306447
-3176.496267868691,horizon radial closure,0.2786140301050838
-3176.496267868691,waveform Time/Traversal,0.19909116728202214
-3176.496267868691,horizon angular traversal,0.20022720817949446
-3168.496267868691,waveform Space/Connection,0.040897472309003126
-3168.496267868691,horizon radial closure,0.2948026128940642
-3168.496267868691,waveform Time/Traversal,0.2047713717693837
-3168.496267868691,horizon angular traversal,0.2047713717693837
-3160.496267868691,waveform Space/Connection,0.02811701221243965
-3160.496267868691,horizon radial closure,0.3098551547855723
-3160.496267868691,waveform Time/Traversal,0.20931553535927294
-3160.496267868691,horizon angular traversal,0.20931553535927294
-3152.996267868691,waveform Space/Connection,0.08832717977847203
-3152.996267868691,horizon radial closure,0.32320363533087193
-3152.996267868691,waveform Time/Traversal,0.2135756887247941
-3152.996267868691,horizon angular traversal,0.2135756887247941
-3144.996267868691,waveform Space/Connection,0.18687872763419483
-3144.996267868691,horizon radial closure,0.33712013632490767
-3144.996267868691,waveform Time/Traversal,0.21811985231468334
-3144.996267868691,horizon angular traversal,0.21811985231468334
-3136.996267868691,waveform Space/Connection,0.14030105083783015
-3136.996267868691,horizon radial closure,0.3507526270945754
-3136.996267868691,waveform Time/Traversal,0.22266401590457258
-3136.996267868691,horizon angular traversal,0.22266401590457258
-3129.496267868691,waveform Space/Connection,0.2908264697529111
-3129.496267868691,horizon radial closure,0.3626810565180347
-3129.496267868691,waveform Time/Traversal,0.22806021016756603
-3129.496267868691,horizon angular traversal,0.22692416927009373
-3121.496267868691,waveform Space/Connection,0.4995739846634479
-3121.496267868691,horizon radial closure,0.374893496165862
