replicate,shifted_di_ara_brier,improvement_over_child_state
245,0.0819266145122602,-0.008771461758860968
246,0.08168193842343997,-0.00852678567004074
247,0.08094278969239677,-0.007787636938997533
248,0.08324861776207228,-0.010093465008673044
249,0.08060293261285918,-0.007447779859459949
250,0.08203796727942911,-0.008882814526029875
251,0.07954298916512384,-0.006387836411724607
252,0.08356799287637058,-0.010412840122971348
253,0.08230025805608873,-0.009145105302689499
254,0.08095736270304685,-0.007802209949647615
255,0.0816859596661491,-0.008530806912749864
256,0.08416252270840814,-0.011007369955008908
257,0.08104519600600267,-0.007890043252603438
258,0.08341289327367961,-0.010257740520280376
259,0.07989538754072346,-0.006740234787324231
260,0.08081443197687582,-0.007659279223476589
261,0.08203466839050817,-0.00887951563710894
262,0.08289389416632181,-0.00973874141292258
263,0.08292560668519039,-0.009770453931791157
264,0.08186684230545141,-0.008711689552052176
265,0.08196876276882598,-0.008813610015426743
266,0.08266152300573266,-0.009506370252333432
267,0.08212078878081602,-0.00896563602741679
268,0.08218567555212324,-0.009030522798724003
269,0.08034233004428845,-0.007187177290889218
270,0.08238209186409982,-0.009226939110700591
271,0.08092818751819078,-0.007773034764791548
272,0.0784120016695841,-0.0052568489161848725
273,0.0815070052408378,-0.008351852487438569
274,0.08234041396898602,-0.009185261215586785
275,0.08255578165169686,-0.009400628898297625
276,0.08186412341848945,-0.008708970665090215
277,0.08192958143237083,-0.008774428678971602
278,0.08193905163917982,-0.008783898885780586
279,0.08120451819777387,-0.008049365444374637
280,0.08162345345706187,-0.00846830070366264
281,0.08228769382747524,-0.009132541074076003
282,0.08139517891496376,-0.008240026161564523
283,0.08113610426340087,-0.007980951510001638
284,0.08187443298638161,-0.00871928023298238
285,0.07868748559258747,-0.005532332839188234
286,0.08206569339441049,-0.008910540641011253
287,0.08243521358483424,-0.00928006083143501
288,0.08229983737601884,-0.009144684622619609
289,0.08245552118983893,-0.009300368436439693
290,0.08071462875104546,-0.007559475997646226
291,0.08167515286894876,-0.008520000115549528
292,0.08055091959594167,-0.007395766842542437
293,0.08159614342088581,-0.008440990667486575
294,0.08100242364283548,-0.00784727088943625
295,0.08180964213822761,-0.008654489384828379
296,0.08277320610386918,-0.009618053350469946
297,0.08149288384912479,-0.008337731095725553
298,0.08238697521268847,-0.009231822459289232
299,0.08054078200707658,-0.007385629253677348
300,0.08128670707430774,-0.008131554320908507
301,0.08111748388803057,-0.007962331134631337
302,0.08076060521102818,-0.007605452457628947
303,0.08112005581051925,-0.007964903057120012
304,0.08003002039916375,-0.006874867645764518
305,0.08303397361669712,-0.009878820863297888
306,0.08186196675574367,-0.008706814002344437
307,0.08153758225714308,-0.008382429503743849
308,0.08035321517815368,-0.007198062424754445
309,0.08147375557389797,-0.008318602820498733
310,0.08059124632275855,-0.007436093569359314
311,0.08036718908788852,-0.0072120363344892885
312,0.08122086277213052,-0.008065710018731284
313,0.08143279344154894,-0.008277640688149707
314,0.0832260524519604,-0.010070899698561162
315,0.08340204241657337,-0.010246889663174136
316,0.08262278478747904,-0.009467632034079812
317,0.08035897488881456,-0.00720382213541533
318,0.08020659094807532,-0.007051438194676088
319,0.08061408758690321,-0.007458934833503975
320,0.08304854305180896,-0.00989339029840973
321,0.08303804363942577,-0.009882890886026535
322,0.08517725328220034,-0.012022100528801108
323,0.08093121074353014,-0.007776057990130911
