model,domain,snr_db,method,replicate,scored_samples,declared_stream,sign_accuracy,correlation,nrmse,integrated_error,declared_child_occupancy,switch_count
Damped coupled oscillators,Newton/Hamilton mechanics,24,wrong_fixed_child,8,5761,oscillator 2,0.5478177150192555,0.1367797941297805,0.26454333598793406,0.8326607450290335,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,wrong_fixed_child,9,5761,oscillator 2,0.5673940949935815,0.12442236181109309,0.26374059858260795,0.8516359026501394,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,wrong_fixed_child,10,5761,oscillator 2,0.561617458279846,0.13672571271967365,0.26569393312337336,0.8231593173290959,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,wrong_fixed_child,11,5761,oscillator 2,0.5866495507060334,0.13005649235402789,0.26436820641805203,0.8399174994832805,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,wrong_fixed_child,12,5761,oscillator 2,0.5250320924261874,0.12841593950252278,0.2656924819146637,0.8286660452396742,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,wrong_fixed_child,13,5761,oscillator 2,0.5664313222079589,0.13509593500985367,0.26301331222554303,0.8439383254835316,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,wrong_fixed_child,14,5761,oscillator 2,0.5516688061617459,0.13016060074599303,0.26375009282021966,0.8439604415914884,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,wrong_fixed_child,15,5761,oscillator 2,0.5921052631578947,0.14482191901532132,0.2635759459811252,0.8314575965182026,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,compressed_parent,0,5761,oscillator 2,0.9486521181001284,0.7067090649126995,0.20197043964270162,0.6691046272261136,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,compressed_parent,1,5761,oscillator 2,0.9894094993581515,0.725721643006161,0.20033212321920235,0.6607943138791446,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,compressed_parent,2,5761,oscillator 2,0.9483311938382541,0.6625853255726326,0.2051555604766674,0.6839442699037089,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,compressed_parent,3,5761,oscillator 2,0.9682284980744544,0.70644150039775,0.20174005217927873,0.6690179009219951,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,compressed_parent,4,5761,oscillator 2,0.9605263157894737,0.708009199229807,0.2020181297803443,0.6722495015213731,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,compressed_parent,5,5761,oscillator 2,0.9897304236200257,0.7102972167263011,0.2012840154688014,0.6681492184994272,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,compressed_parent,6,5761,oscillator 2,0.9425545571245186,0.5909369510379247,0.20935813564368394,0.6976027321319653,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,compressed_parent,7,5761,oscillator 2,0.9778562259306803,0.7346962786607141,0.1984865429051859,0.6543153237315595,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,compressed_parent,8,5761,oscillator 2,0.9576379974326059,0.6581912594717583,0.20564522216001904,0.6846751380763896,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,compressed_parent,9,5761,oscillator 2,0.9646983311938383,0.6287132841572225,0.20692979450801455,0.6919432427565093,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,compressed_parent,10,5761,oscillator 2,0.9637355584082157,0.7101510550480984,0.20184559120918188,0.6683566344511634,nan,-1
