split,cycle,start_sample,stop_sample,start_time_s,stop_time_s,period_s,p_AA,p_AB,p_BB,p_BA,all_four_seen,completion_u,transition_count,inequality,phi_template_distance,equal_template_distance,paired_template_distance,linear_template_distance,parent_amplitude,parent_retention,period_retention,child_allocation_retention,one_wave_phi_distance,one_wave_equal_distance
development,35,18492,19046,36.984,38.092,1.107999999999997,0.49097472924187724,0.0036101083032490976,0.4963898916967509,0.009025270758122744,True,0.4981949458483754,5,0.4519770041665928,0.45950057593820753,0.48736462093862815,0.012635379061371847,0.3873646209386281,1.618615005070009,0.9494927593264738,0.9875222816399261,0.9769847551754538,0.12564832171941925,0.006317689530685927
development,36,19046,19607,38.092,39.214,1.1219999999999999,0.48841354723707664,0.0142602495543672,0.47593582887700536,0.0213903743315508,True,0.9786096256684492,4,0.38958502638046544,0.4364853311136614,0.464349376114082,0.035650623885918,0.36434937611408197,1.7047154801034812,0.8467374815202501,0.9661319073083808,0.9858351257309365,0.1207077855413387,0.02762923351158647
development,37,19607,20149,39.214,40.298,1.0840000000000032,0.48154981549815495,0.023985239852398525,0.46863468634686345,0.025830258302583026,True,0.974169741697417,4,0.35728162396283414,0.42232045684459785,0.4501845018450184,0.049815498154981576,0.35018450184501837,1.4434464923314057,0.7151163716709404,0.9464944649446432,0.9967631255259921,0.1271646968769908,0.046125461254612574
development,38,20149,20662,40.298,41.324,1.0259999999999962,0.4834307992202729,0.025341130604288498,0.4678362573099415,0.023391812865497075,True,0.9766081871345029,4,0.35962533261214313,0.4234030115297938,0.45126705653021437,0.0487329434697856,0.35126705653021434,1.0322322182971808,0.7293453367188614,0.9376218323586811,0.969978075241233,0.12505713194169232,0.049707602339181284
development,39,20662,21143,41.324,42.286,0.9620000000000033,0.49064449064449067,0.016632016632016633,0.49064449064449067,0.002079002079002079,True,0.997920997920998,4,0.43757686694947906,0.4534249362885607,0.48128898128898134,0.018711018711018684,0.3812889812889813,0.7528537548260146,0.9187513276744584,0.9776422764227729,0.9825144093436776,0.11491548563139174,0.030145530145530147
development,40,21143,21635,42.286,43.269999999999996,0.9839999999999947,0.4898373983739837,0.0,0.508130081300813,0.0020325203252032522,False,nan,3,0.4905846184654843,0.4701034346743761,0.49796747967479676,0.010162601626016296,0.39796747967479673,0.8194314741635655,0.7037250758313562,0.9389312977099169,0.988673741699249,0.12586845027449545,0.010162601626016274
development,41,21635,22159,43.269999999999996,44.318,1.0480000000000018,0.48854961832061067,0.009541984732824428,0.49809160305343514,0.003816793893129771,True,0.5019083969465649,4,0.4497895541732373,0.45877717637362514,0.48664122137404586,0.013358778625954196,0.3866412213740458,1.164419888257524,0.7690333440661363,0.9562043795620423,0.9957653089652867,0.13005761430354032,0.0019083969465648748
development,42,22159,22707,44.318,45.414,1.0960000000000036,0.4927007299270073,0.0072992700729927005,0.4981751824817518,0.0018248175182481751,True,0.9981751824817519,4,0.4638150813982439,0.46301186740833844,0.4908759124087591,0.009124087591240884,0.3908759124087591,1.514134461453709,0.9266006999070034,0.9856115107913748,0.9803471091739747,0.12831637621360886,0.003649635036496346
development,43,22707,23263,45.414,46.525999999999996,1.1119999999999948,0.4910071942446043,0.012589928057553957,0.4802158273381295,0.01618705035971223,True,0.9838129496402878,4,0.4060954013172755,0.44335897658231316,0.4712230215827338,0.02877697841726618,0.3712230215827338,1.6340743770274209,0.8897580616340615,0.9766187050359809,0.9827364627634909,0.12163111105205313,0.02158273381294963
development,44,23263,23806,46.525999999999996,47.612,1.0860000000000056,0.4843462246777164,0.02394106813996317,0.4696132596685083,0.022099447513812154,True,0.9779005524861878,4,0.36544211081915645,0.4260954393458041,0.4539594843462247,0.046040515653775316,0.35395948434622465,1.4539308502698045,0.7618907742669038,0.9558011049723677,0.9982754766390955,0.12297857766773237,0.04327808471454879
development,45,23806,24325,47.612,48.65,1.0379999999999967,0.48554913294797686,0.023121387283236993,0.4701348747591522,0.02119460500963391,True,0.9788053949903661,4,0.36924870990678926,0.4278199627067084,0.45568400770712914,0.044315992292870914,0.35568400770712905,1.107736501242599,0.7571844823273662,0.9460500963391161,0.980123926240734,0.12192470228051305,0.04527938342967243
development,46,24325,24816,48.65,49.632,0.9819999999999993,0.4908350305498982,0.016293279022403257,0.4847250509164969,0.008146639511201629,True,0.9918533604887984,4,0.418166561578612,0.44769603646597445,0.4755600814663951,0.024439918533604884,0.3755600814663951,0.8387608892485052,0.9913397782240957,0.9959432048681492,0.9755600814663952,0.11090567917759345,0.029531568228105917
development,47,24816,25309,49.632,50.618,0.9860000000000042,0.4969574036511156,0.0,0.5030425963488844,0.0,False,nan,2,0.5000133556767388,0.4721359549995794,0.5,0.0030425963488843744,0.39999999999999997,0.8460882007086177,0.7590436270818782,0.9480769230769279,0.9923076923076923,0.12638791794381715,0.011156186612576086
development,48,25309,25829,50.618,51.658,1.0399999999999991,0.49230769230769234,0.0038461538461538464,0.5,0.0038461538461538464,True,0.5,4,0.46748496981980947,0.4644436473072717,0.49230769230769234,0.007692307692307679,0.3923076923076923,1.114676641132447,0.7797411302416307,0.9594095940959436,0.9979988646040306,0.1300429343270283,0.0038461538461538325
development,49,25829,26371,51.658,52.742,1.083999999999996,0.492619926199262,0.0036900369003690036,0.4981549815498155,0.005535055350553505,True,0.4981549815498155,5,0.4623396052146369,0.46291086274865684,0.4907749077490775,0.009225092250922502,0.39077490774907747,1.4295470610701586,0.908895498016987,0.9818840579710116,0.9838627734103428,0.12735346512464396,0.004612546125461234
development,50,26371,26923,52.742,53.846,1.1039999999999992,0.49094202898550726,0.009057971014492754,0.483695652173913,0.016304347826086956,True,0.9836956521739131,4,0.4154906424939714,0.4467736361589997,0.4746376811594203,0.025362318840579712,0.37463768115942025,1.5728398525343348,0.9243827494030741,0.9818840579710181,0.9866169313867051,0.11928485182981532,0.01992753623188405
development,51,26923,27465,53.846,54.93,1.0840000000000032,0.48523985239852396,0.01845018450184502,0.47601476014760147,0.02029520295202952,True,0.9797047970479705,4,0.38180864799184544,0.4333905675457048,0.46125461254612543,0.038745387453874555,0.3612546125461254,1.453906027256414,0.8014647408432612,0.9630996309963044,0.9954616787547186,0.12172402565026386,0.03505535055350552
development,52,27465,27987,54.93,55.974,1.043999999999997,0.4846743295019157,0.022988505747126436,0.4731800766283525,0.019157088122605363,True,0.9808429118773946,4,0.37415323883824103,0.42999036112984756,0.4578544061302682,0.04214559386973181,0.35785440613026814,1.1652544173455173,0.7827641945186604,0.955938697318015,0.983906510338685,0.12421690877842016,0.04597701149425287
development,53,27987,28486,55.974,56.972,0.9980000000000047,0.4909819639278557,0.01603206412825651,0.48296593186372744,0.01002004008016032,True,0.9899799599198397,4,0.4134340269520985,0.44608385079116253,0.4739478957915832,0.026052104208416846,0.3739478957915831,0.9121194354027748,0.960213698688869,0.9939879759518965,0.9799962828883574,0.11302396870981468,0.029058116232464917
development,54,28486,28982,56.972,57.964,0.9919999999999973,0.4939516129032258,0.006048387096774193,0.5,0.0,False,nan,3,0.47640171127202446,0.4660875679028052,0.4939516129032258,0.006048387096774191,0.3939516129032258,0.8758295767141013,0.8098720291492854,0.9612403100775134,0.9958895973993498,0.12390149512107294,0.014112903225806439
development,55,28982,29498,57.964,58.996,1.0320000000000036,0.49612403100775193,0.001937984496124031,0.501937984496124,0.0,False,nan,3,0.49085279332598675,0.47019797050345535,0.49806201550387597,0.003875968992248067,0.39806201550387593,1.0814419379739535,0.795860191342692,0.9608938547486084,0.9944891949244294,0.12809004225785714,0.005813953488372103
development,56,29498,30035,58.996,60.07,1.073999999999998,0.4934823091247672,0.00558659217877095,0.49906890130353815,0.00186219739292365,True,0.9981378026070763,5,0.46903419075519437,0.46468716542788474,0.4925512104283054,0.007448789571694624,0.3925512104283053,1.3588340637436054,0.8979970487356743,0.9817184643510091,0.9890481005246153,0.12684496841956516,0.0065176908752327956
development,57,30035,30582,60.07,61.163999999999994,1.093999999999994,0.4936014625228519,0.007312614259597806,0.48811700182815354,0.010968921389396709,True,0.9890310786106032,4,0.4344365891234916,0.4538544193505848,0.4817184643510055,0.018281535648994526,0.3817184643510054,1.5131832177586348,0.95430716953991,0.990859232175511,0.9850712035456735,0.12236820503438309,0.015539305301645337
development,58,30582,31124,61.163999999999994,62.248,1.0840000000000032,0.488929889298893,0.016605166051660517,0.477859778597786,0.016605166051660517,True,0.9833948339483395,4,0.39492350712857893,0.43892562289625836,0.466789667896679,0.03321033210332103,0.3667896678966789,1.444041593534536,0.8367564438095585,0.968634686346858,0.995115094008083,0.12172402565026384,0.029520295202952018
development,59,31124,31649,62.248,63.297999999999995,1.0499999999999972,0.4876190476190476,0.02095238095238095,0.4742857142857143,0.017142857142857144,True,0.9828571428571429,4,0.38345943553558426,0.4340407169043413,0.46190476190476193,0.038095238095238085,0.3619047619047619,1.2083111085190463,0.8073806019267565,0.9619047619047761,0.9896275341819897,0.12076863291635118,0.04095238095238095
development,60,31649,32154,63.297999999999995,64.308,1.0100000000000122,0.4891089108910891,0.01782178217821782,0.48316831683168315,0.009900990099009901,True,0.9900990099009901,4,0.40942088648158703,0.4444131827223517,0.47227722772277225,0.027722772277227737,0.3722772277227722,0.9755669501108941,0.9352458784014686,0.9881188118811808,0.9782892517708685,0.11350790684374393,0.030693069306930706
development,61,32154,32653,64.308,65.30600000000001,0.9980000000000047,0.49498997995991983,0.006012024048096192,0.49899799599198397,0.0,False,nan,3,0.47650998810144085,0.4661239309514832,0.4939879759519038,0.006012024048096195,0.39398797595190377,0.9123949691959048,0.8569592289932382,0.9689320388349549,0.9939879759519038,0.12144496916593685,0.017034068136272534
development,62,32653,33168,65.30600000000001,66.33600000000001,1.0300000000000011,0.4970873786407767,0.0,0.5029126213592233,0.0,False,nan,2,0.500012238975212,0.4721359549995794,0.5,0.002912621359223322,0.39999999999999997,1.0646888887208705,0.8160035865946379,0.9680451127819624,0.9962406015037594,0.12759707921127025,0.006796116504854358
development,63,33168,33700,66.33600000000001,67.4,1.063999999999993,0.49624060150375937,0.0018796992481203006,0.5,0.0018796992481203006,True,0.9981203007518797,4,0.4821568793865745,0.46837655650333876,0.49624060150375937,0.003759398496240615,0.39624060150375934,1.3047600601414646,0.8937762191162768,0.9779411764705873,0.9853770455550641,0.12632691350574432,0.007518796992481203
development,64,33700,34244,67.4,68.488,1.0879999999999939,0.49264705882352944,0.007352941176470588,0.4889705882352941,0.011029411764705883,True,0.9889705882352942,4,0.43414248184755677,0.45375360205840287,0.4816176470588236,0.018382352941176468,0.3816176470588235,1.459828570323284,0.9773346507121585,0.9944852941176598,0.9869590627378493,0.12277483477951694,0.01470588235294118
development,65,34244,34785,68.488,69.57000000000001,1.0820000000000078,0.4879852125693161,0.014787430683918669,0.4805914972273567,0.0166358595194085,True,0.9833641404805915,4,0.39931953406719356,0.4407126647962522,0.4685767097966728,0.031423290203327174,0.3685767097966728,1.4267410458765366,0.867530336976366,0.9741219963031371,0.9934726260667048,0.12080663200312959,0.026802218114602594
