run,regime,arm,event_local,left_index,right_index,target_index,pred_index,left_time_s,right_time_s,target_time_s,pred_time_s,duration_s,direction,left_angle_rad,right_angle_rad,target_speed_rad_s,pred_speed_rad_s,flow_fraction,target_phase,pred_phase,error_plain,error_left,error_right,wrong_pred_index,error_wrong,event_id
run1,free,1,52,34575,35392,34789,34983.5,34.575,35.392,34.789,34.9835,0.8170000000000002,decreasing,0.3093782268700771,-0.21495358518253127,1.3659098493868667,0.6008438986410103,0.4398854718784836,0.26193390452876375,0.5,0.23806609547123622,0.26193390452876375,0.7380660954712362,35244.5,0.5575275397796817,52
run1,free,1,53,35392,35914,35718,35653.0,35.392,35.914,35.717999999999996,35.653,0.5219999999999985,increasing,-0.21495358518253127,0.3161326509265816,1.712101794937033,1.584528910687522,0.9254875588433088,0.6245210727969349,0.5,0.12452107279693486,0.6245210727969349,0.37547892720306514,36060.0,0.6551724137931034,53
run1,free,1,54,35914,36728,36130,36321.0,35.914,36.728,36.13,36.321,0.8140000000000001,decreasing,0.3161326509265816,-0.18055314582753113,1.402830727668698,0.799143430400334,0.5696649029982362,0.26535626535626533,0.5,0.23464373464373464,0.26535626535626533,0.7346437346437347,36588.0,0.5626535626535627,54
run1,free,1,55,36728,37262,37030,36995.0,36.728,37.262,37.03,36.995,0.5339999999999989,increasing,-0.18055314582753113,0.30686495254794544,1.5007608217785635,1.4416265847970782,0.9605971610376897,0.5655430711610487,0.5,0.06554307116104868,0.5655430711610487,0.4344569288389513,37256.5,0.4241573033707865,55
run1,free,1,56,37262,37785,37484,37523.5,37.262,37.785,37.484,37.5235,0.5229999999999961,decreasing,0.30686495254794544,-0.19107748106955746,1.5689136304383702,1.5163401437637622,0.9664905156952978,0.42447418738049714,0.5,0.07552581261950286,0.42447418738049714,0.5755258126195029,37933.0,0.858508604206501,56
run1,free,1,57,37785,38604,38407,38194.5,37.785,38.604,38.407,38.194500000000005,0.8190000000000026,increasing,-0.19107748106955746,0.29759725443835805,1.3357111622405582,0.6672143756171758,0.49951995197672244,0.7594627594627594,0.5,0.2594627594627595,0.7594627594627594,0.24053724053724054,38449.5,0.051892551892551896,57
run1,free,1,58,38604,39114,38838,38859.0,38.604,39.114,38.838,38.859,0.509999999999998,decreasing,0.29759725443835805,-0.21715270001110376,1.6144953338305774,1.558329689280651,0.9652116402116401,0.4588235294117647,0.5,0.041176470588235294,0.4588235294117647,0.5411764705882353,39275.5,0.8578431372549019,58
run1,free,1,59,39114,39947,39735,39530.5,39.114,39.947,39.735,39.5305,0.8330000000000055,increasing,-0.21715270001110376,0.2798472560399734,1.1338760780521389,0.5946083925854473,0.5244033312766525,0.7454981992797118,0.5,0.2454981992797119,0.7454981992797118,0.2545018007202881,39779.5,0.05342136854741897,59
run1,free,1,60,39947,40445,40196,40196.0,39.947,40.445,40.196,40.196,0.49799999999999756,decreasing,0.2798472560399734,-0.2356880965687136,1.677245508394323,1.677245508394323,1.0,0.5,0.5,0.0,0.5,0.5,40615.5,0.8423694779116466,60
run1,free,1,61,40445,41284,41110,40864.5,40.445,41.284,41.11,40.8645,0.8389999999999986,increasing,-0.2356880965687136,0.26099769998053013,0.9645466228067564,0.5521219612197066,0.5724160431074593,0.7926102502979738,0.5,0.2926102502979738,0.7926102502979738,0.20738974970202623,41114.5,0.005363528009535161,61
run1,free,1,62,41284,41784,41547,41534.0,41.284,41.784,41.547,41.534,0.5,decreasing,0.26099769998053013,-0.25296685615053605,1.650689708695772,1.626083154031984,0.9850931677018634,0.526,0.5,0.026,0.526,0.474,41953.0,0.812,62
run1,free,1,63,41784,42622,41960,42203.0,41.784,42.622,41.96,42.203,0.838000000000001,increasing,-0.25296685615053605,0.2361791179768069,0.8169883807879141,0.5355961288853303,0.6555737406801238,0.2100238663484487,0.5,0.28997613365155134,0.2100238663484487,0.7899761336515513,42453.0,0.5883054892601431,63
run1,free,1,64,42622,43122,42884,42872.0,42.622,43.122,42.884,42.872,0.5,decreasing,0.2361791179768069,-0.2627057935031356,1.6382940412963043,1.5987206474367925,0.9758447550549599,0.524,0.5,0.024,0.524,0.476,43288.0,0.808,64
run1,free,1,65,43122,43954,43313,43538.0,43.122,43.954,43.313,43.538,0.8320000000000007,increasing,-0.2627057935031356,0.21136053630638685,0.9699466862309998,0.5466301248590258,0.5635671863400149,0.22956730769230768,0.5,0.2704326923076923,0.22956730769230768,0.7704326923076923,43792.0,0.5757211538461539,65
run1,free,1,66,43954,44462,44223,44208.0,43.954,44.461999999999996,44.223,44.208,0.5079999999999956,decreasing,0.21136053630638685,-0.26961729741263163,1.5450455673392425,1.5160175589964902,0.981212199202162,0.5295275590551181,0.5,0.02952755905511811,0.5295275590551181,0.4704724409448819,44617.5,0.7765748031496063,66
run1,free,1,67,44462,45281,44678,44871.5,44.461999999999996,45.281,44.678,44.8715,0.8190000000000026,increasing,-0.26961729741263163,0.18387160058846774,1.1166798531717272,0.5844669956995894,0.5233970990338158,0.26373626373626374,0.5,0.23626373626373626,0.26373626373626374,0.7362637362637363,45130.5,0.5525030525030525,67
run1,free,1,68,45281,45799,45582,45540.0,45.281,45.799,45.582,45.54,0.5180000000000007,decreasing,0.18387160058846774,-0.2699314563407018,1.4492523620324422,1.4060117497269036,0.9701635039980906,0.581081081081081,0.5,0.08108108108108109,0.581081081081081,0.4189189189189189,45935.0,0.6814671814671814,68
run1,free,1,69,45799,46589,46034,46194.0,45.799,46.589,46.034,46.194,0.7899999999999991,increasing,-0.2699314563407018,0.1585817798912892,1.2342558880001806,0.6901565583457365,0.5591681312243701,0.2974683544303797,0.5,0.20253164556962025,0.2974683544303797,0.7025316455696202,46469.0,0.5506329113924051,69
run1,free,1,70,46589,47139,46923,46864.0,46.589,47.139,46.923,46.864,0.5500000000000043,decreasing,0.1585817798912892,-0.26663278416771696,1.33163472939547,1.2441622611639798,0.9343119653606506,0.6072727272727273,0.5,0.10727272727272727,0.6072727272727273,0.3927272727272727,47136.0,0.38727272727272727,70
run1,free,1,71,47139,47683,47367,47411.0,47.139,47.683,47.367,47.411,0.5439999999999969,increasing,-0.26663278416771696,0.1587388595208843,1.3263873509301647,1.2380172815218289,0.9333753678015974,0.41911764705882354,0.5,0.08088235294117647,0.41911764705882354,0.5808823529411765,47808.0,0.8106617647058824,71
run1,free,1,72,47683,48477,48269,48080.0,47.683,48.477,48.269,48.08,0.7939999999999969,decreasing,0.1587388595208843,-0.25877880282400056,1.1972532978619639,0.6379818288184622,0.5328712227878262,0.7380352644836272,0.5,0.2380352644836272,0.7380352644836272,0.2619647355163728,48338.5,0.08753148614609572,72
