run,field_g,turn_fraction,correlation_real,correlation_imag,anti_similarity
EMU00066579,160.0,0.41,-0.7080181694638162,0.2982381402539828,0.7080181694638162
EMU00066579,160.0,0.42,-0.7210381510620634,0.26669312750532576,0.7210381510620634
EMU00066579,160.0,0.43,-0.7507297999869895,0.23992703831665674,0.7507297999869895
EMU00066579,160.0,0.44,-0.7924714452268373,0.21391318802758671,0.7924714452268373
EMU00066579,160.0,0.45,-0.8118444935999245,0.18141667443113982,0.8118444935999245
EMU00066579,160.0,0.46,-0.8087268497102357,0.14554578543054394,0.8087268497102357
EMU00066579,160.0,0.47,-0.8457744403675668,0.12130637873582559,0.8457744403675668
EMU00066579,160.0,0.48,-0.860268587571116,0.0925807217056275,0.860268587571116
EMU00066579,160.0,0.49,-0.8500325771322854,0.061647695833700875,0.8500325771322854
EMU00066579,160.0,0.5,-0.852775481086972,0.0317363837162448,0.852775481086972
EMU00066579,160.0,0.51,-0.8727733444611303,0.0007790055558242012,0.8727733444611303
EMU00066579,160.0,0.52,-0.8677609961598725,-0.030699071788414824,0.8677609961598725
EMU00066579,160.0,0.53,-0.83906194155194,-0.060071505223012044,0.83906194155194
EMU00066579,160.0,0.54,-0.8537964293702289,-0.09186071482308433,0.8537964293702289
EMU00066579,160.0,0.55,-0.8491350588768601,-0.12309216991498441,0.8491350588768601
EMU00066579,160.0,0.56,-0.8201992980073257,-0.1504662096131922,0.8201992980073257
EMU00066579,160.0,0.57,-0.7981783345333106,-0.17786827677347528,0.7981783345333106
EMU00066579,160.0,0.58,-0.7964779341374103,-0.21030480024625148,0.7964779341374103
EMU00066579,160.0,0.59,-0.7716222583108082,-0.23731494488180815,0.7716222583108082
EMU00066579,160.0,0.6,-0.7262365268915462,-0.25677695442866033,0.7262365268915462
EMU00066579,160.0,0.61,-0.7099401220408543,-0.287956411190139,0.7099401220408543
EMU00066579,160.0,0.62,-0.6806709595240311,-0.31589741837477553,0.6806709595240311
EMU00066579,160.0,0.63,-0.6319423051412163,-0.3345532176409617,0.6319423051412163
EMU00066579,160.0,0.64,-0.5863413496793907,-0.35264794050916354,0.5863413496793907
EMU00066579,160.0,0.65,-0.5624065672351886,-0.3829275362215721,0.5624065672351886
EMU00066579,160.0,0.66,-0.5215881170808844,-0.40297380876076416,0.5215881170808844
EMU00066579,160.0,0.67,-0.46740846100071004,-0.4111648642671606,0.46740846100071004
EMU00066579,160.0,0.68,-0.43124121965304646,-0.43569853250334595,0.43124121965304646
EMU00066579,160.0,0.69,-0.38944245269305194,-0.4571515574263174,0.38944245269305194
EMU00066579,160.0,0.7,-0.33628425892325814,-0.46529336860426873,0.33628425892325814
EMU00066580,400.0,0.3,-0.1764663580253513,0.40573890070508234,0.1764663580253513
EMU00066580,400.0,0.31,-0.2203535349535594,0.40035762331943164,0.2203535349535594
EMU00066580,400.0,0.32,-0.26147828320543653,0.3901352399693937,0.26147828320543653
EMU00066580,400.0,0.33,-0.29850581957584754,0.37563207160756623,0.29850581957584754
EMU00066580,400.0,0.34,-0.33060596083839816,0.3577921849156887,0.33060596083839816
EMU00066580,400.0,0.35,-0.3575034692760992,0.33773286300372923,0.3575034692760992
EMU00066580,400.0,0.36,-0.39315255341163136,0.32583642504011867,0.39315255341163136
EMU00066580,400.0,0.37,-0.4363003364567847,0.31733707814109824,0.4363003364567847
EMU00066580,400.0,0.38,-0.4775994586425766,0.3049742831227718,0.4775994586425766
EMU00066580,400.0,0.39,-0.5151400146339482,0.2885859772498903,0.5151400146339482
EMU00066580,400.0,0.4,-0.5471588137328431,0.2684127078413953,0.5471588137328431
EMU00066580,400.0,0.41,-0.572387723045835,0.2451141126142466,0.572387723045835
EMU00066580,400.0,0.42,-0.5902906649016442,0.21966647407709303,0.5902906649016442
EMU00066580,400.0,0.43,-0.6010934904760941,0.1931759567228668,0.6010934904760941
EMU00066580,400.0,0.44,-0.6056175476359377,0.16668307301725185,0.6056175476359377
EMU00066580,400.0,0.45,-0.6311199598098853,0.14806324902215956,0.6311199598098853
EMU00066580,400.0,0.46,-0.659773455708009,0.12902308551473815,0.659773455708009
EMU00066580,400.0,0.47,-0.6831643036962862,0.1074524593855018,0.6831643036962862
EMU00066580,400.0,0.48,-0.6995535318553825,0.08378595291662722,0.6995535318553825
EMU00066580,400.0,0.49,-0.7077307446574382,0.05873279368938181,0.7077307446574382
EMU00066580,400.0,0.5,-0.7073097886338863,0.03318421144194201,0.7073097886338863
EMU00066580,400.0,0.51,-0.6988104106488265,0.008061678815275853,0.6988104106488265
EMU00066580,400.0,0.52,-0.683489744179565,-0.015837358831390265,0.683489744179565
EMU00066580,400.0,0.53,-0.6630130570898382,-0.037941189848937504,0.6630130570898382
EMU00066580,400.0,0.54,-0.6693021630473355,-0.06228509959626336,0.6693021630473355
