scale_days,horizon_windows,candidate_model,control,n,mae,rmse,bias,r2,improvement_vs_clock_pct
7,2,clock_pole_diara,pole_shift_365d,499,0.00023203690109487986,0.0002995595590732532,6.662863042317536e-05,0.7705383019350726,0.06898305983584625
7,2,clock_pole_diara,pole_reversed_chronology,499,0.00023456900056302642,0.0003025197529279166,7.869258669194786e-05,0.7659808961928574,-1.0215127779019089
7,2,clock_pole_diara,traversal_reflected,499,0.0002320900285948988,0.00029928655939711333,6.777725677544044e-05,0.7709563451784771,0.046102711583776636
7,2,clock_pole_diara,pole_year_blocks_permuted,499,0.0002331957910953861,0.0003003832030962378,6.761020655681887e-05,0.7692747496797304,-0.4301145221690965
7,2,full_child,real_pole_child,499,0.0002232766427259673,0.00028259428863787163,-1.5958987976113835e-05,0.7957930125799783,3.8417516295473395
7,2,full_child,pole_shift_365d,499,0.00022266013931754541,0.00028239984101727353,-1.0827478917547987e-05,0.7960739375909169,4.107260314846856
7,2,full_child,pole_reversed_chronology,499,0.00023822596938308967,0.0003067267055407263,7.833153069174096e-05,0.7594269258587659,-2.5964545711383353
7,2,full_child,traversal_reflected,499,0.00022330640307792487,0.000282578016531441,-1.3682131975360811e-05,0.7958165288525938,3.8289347792033412
7,2,full_child,pole_year_blocks_permuted,499,0.00023693448714434388,0.00030535317933021156,3.144740861198138e-05,0.7615766805056268,-2.0402536700357383
7,4,clock_raw_pole,real_pole_child,499,0.00026561800666341154,0.0003268059179416205,-9.302829779962746e-05,0.7268987660343726,1.225626611262496
7,4,clock_raw_pole,pole_shift_365d,499,0.00026042072831419317,0.0003227023345341709,-8.222803298519445e-05,0.7337141727265895,3.1583190469881317
7,4,clock_raw_pole,pole_reversed_chronology,499,0.0002890691406690452,0.0003804891502567971,0.00017760762613874275,0.6298068381025709,-7.495058766054785
7,4,clock_raw_pole,traversal_reflected,499,0.00026561800666341154,0.0003268059179416205,-9.302829779962746e-05,0.7268987660343726,1.225626611262496
7,4,clock_raw_pole,pole_year_blocks_permuted,499,0.00028401541124889777,0.00036564091212060455,4.491427725657564e-05,0.6581359722200036,-5.615747332986757
7,4,clock_pole_diara,real_pole_child,499,0.0002663145171739917,0.00034972389221125624,0.00012930185330294093,0.6872520698204637,0.9666178561504815
7,4,clock_pole_diara,pole_shift_365d,499,0.0002659116064189383,0.0003499597892436664,0.0001311638014334215,0.6868300157818493,1.1164467697166185
7,4,clock_pole_diara,pole_reversed_chronology,499,0.0002734258242634529,0.0003599184250211751,0.00015300000817876252,0.6687529667951158,-1.6778372791013585
