scale_days,horizon_windows,model,feature,standardized_beta
30,1,clock_pole_diara,pole_traversal_ara,-0.008570882348542358
30,1,clock_pole_diara,pole_log_ratio,0.03700079456962073
30,1,clock_pole_diara,pole_turn_rad,-0.008570882348543673
30,1,clock_pole_diara,pole_displacement,0.018282822066310624
30,1,full_child,lod,0.28729380455470743
30,1,full_child,lod_lag1,0.17170291813889124
30,1,full_child,lod_lag2,0.13415898949817476
30,1,full_child,lod_slope,0.27427744554958494
30,1,full_child,u_clock,0.28729377712437343
30,1,full_child,pole_x,-0.5831665453402857
30,1,full_child,pole_y,-0.1789603826638462
30,1,full_child,dpx,0.190863198116227
30,1,full_child,dpy,-0.5918323647323754
30,1,full_child,pole_radius,0.07766747654552418
30,1,full_child,pole_amount_ara,-0.015987307634314118
30,1,full_child,pole_traversal_ara,-0.006953331890972574
30,1,full_child,pole_log_ratio,0.032997239806175034
30,1,full_child,pole_turn_rad,-0.006953331890975185
30,1,full_child,pole_displacement,0.010468169354980059
30,2,clock_only,lod,0.14743846012268533
30,2,clock_only,lod_lag1,-0.00795646410569369
30,2,clock_only,lod_lag2,0.5270503215110687
30,2,clock_only,lod_slope,0.36905367924951615
30,2,clock_only,u_clock,0.1474384487877174
30,2,clock_raw_pole,lod,0.15186222616132358
30,2,clock_raw_pole,lod_lag1,0.015246660573295063
30,2,clock_raw_pole,lod_lag2,0.4651138509577816
30,2,clock_raw_pole,lod_slope,0.3244622259346403
30,2,clock_raw_pole,u_clock,0.15186221808773712
30,2,clock_raw_pole,pole_x,-1.160954576065401
30,2,clock_raw_pole,pole_y,-0.32040330455594157
30,2,clock_raw_pole,dpx,0.32697006875865786
30,2,clock_raw_pole,dpy,-1.2165915824836706
30,2,clock_raw_pole,pole_radius,0.17518934296916008
30,2,clock_pole_diara,lod,0.14624078979449875
30,2,clock_pole_diara,lod_lag1,-0.008368189553528197
30,2,clock_pole_diara,lod_lag2,0.518523136146999
30,2,clock_pole_diara,lod_slope,0.3671869362527309
30,2,clock_pole_diara,u_clock,0.14624078587363842
30,2,clock_pole_diara,pole_amount_ara,-0.06254974476311403
30,2,clock_pole_diara,pole_traversal_ara,-0.0037849700784153293
30,2,clock_pole_diara,pole_log_ratio,0.062106371245635214
30,2,clock_pole_diara,pole_turn_rad,-0.0037849700784124223
30,2,clock_pole_diara,pole_displacement,0.03883615208086385
30,2,full_child,lod,0.15147846670906823
30,2,full_child,lod_lag1,0.015313769166995419
30,2,full_child,lod_lag2,0.45968983984716144
30,2,full_child,lod_slope,0.3233914578432488
30,2,full_child,u_clock,0.15147845974968055
30,2,full_child,pole_x,-1.170396853726034
30,2,full_child,pole_y,-0.2544699672139183
30,2,full_child,dpx,0.3219823720494243
30,2,full_child,dpy,-1.2343922073177407
30,2,full_child,pole_radius,0.1158299885562282
30,2,full_child,pole_amount_ara,-0.04791926168007849
30,2,full_child,pole_traversal_ara,-0.0003535432148912878
30,2,full_child,pole_log_ratio,0.05644478513857016
30,2,full_child,pole_turn_rad,-0.00035354321489583865
30,2,full_child,pole_displacement,0.028335726661952
30,4,clock_only,lod,0.06804014781624375
30,4,clock_only,lod_lag1,0.03820666142666563
30,4,clock_only,lod_lag2,0.5732948519724808
30,4,clock_only,lod_slope,0.07120004168841748
30,4,clock_only,u_clock,0.0680400781743653
30,4,clock_raw_pole,lod,0.09459701730866235
30,4,clock_raw_pole,lod_lag1,0.09293837014118615
30,4,clock_raw_pole,lod_lag2,0.4472515956794958
30,4,clock_raw_pole,lod_slope,0.0044977906498401415
30,4,clock_raw_pole,u_clock,0.09459696824334766
30,4,clock_raw_pole,pole_x,-1.6345640138635595
30,4,clock_raw_pole,pole_y,-0.2917038675661991
30,4,clock_raw_pole,dpx,0.5606390651068365
30,4,clock_raw_pole,dpy,-1.8106670205620816
30,4,clock_raw_pole,pole_radius,0.07797469260723337
30,4,clock_pole_diara,lod,0.06557912820345879
30,4,clock_pole_diara,lod_lag1,0.03701691984026206
30,4,clock_pole_diara,lod_lag2,0.5610421212750843
30,4,clock_pole_diara,lod_slope,0.06816863632454363
30,4,clock_pole_diara,u_clock,0.06557906897451894
30,4,clock_pole_diara,pole_amount_ara,0.012508444338804697
30,4,clock_pole_diara,pole_traversal_ara,-0.005273808471666998
30,4,clock_pole_diara,pole_log_ratio,-0.03784068720840527
30,4,clock_pole_diara,pole_turn_rad,-0.005273808471672802
30,4,clock_pole_diara,pole_displacement,0.06174102165655835
30,4,full_child,lod,0.09298586549993937
30,4,full_child,lod_lag1,0.09230543137411588
30,4,full_child,lod_lag2,0.43758901989964843
30,4,full_child,lod_slope,0.002166886445459423
30,4,full_child,u_clock,0.09298581842607849
30,4,full_child,pole_x,-1.633639338737688
30,4,full_child,pole_y,-0.14367593509842133
30,4,full_child,dpx,0.5528680384945138
30,4,full_child,dpy,-1.8285911130891512
30,4,full_child,pole_radius,-0.06447601865696793
30,4,full_child,pole_amount_ara,0.036777352129018295
30,4,full_child,pole_traversal_ara,-0.0014581836383690352
30,4,full_child,pole_log_ratio,-0.05111480359141856
30,4,full_child,pole_turn_rad,-0.0014581836383863035
30,4,full_child,pole_displacement,0.06604654570577485
90,1,clock_only,lod,0.2061016814476374
90,1,clock_only,lod_lag1,0.2020047243228329
90,1,clock_only,lod_lag2,0.27363239261383304
90,1,clock_only,lod_slope,0.008083145057652029
90,1,clock_only,u_clock,0.20610171610959147
90,1,clock_raw_pole,lod,0.22339309462089144
90,1,clock_raw_pole,lod_lag1,0.25113811327980184
90,1,clock_raw_pole,lod_lag2,0.16052491988411546
90,1,clock_raw_pole,lod_slope,-0.03854088757065792
90,1,clock_raw_pole,u_clock,0.22339310970484352
90,1,clock_raw_pole,pole_x,-0.6424424669865129
90,1,clock_raw_pole,pole_y,-0.17331281690715403
90,1,clock_raw_pole,dpx,0.5355229962395507
90,1,clock_raw_pole,dpy,-0.5894600337335228
90,1,clock_raw_pole,pole_radius,0.00039061565375991087
90,1,clock_pole_diara,lod,0.20519016428162845
90,1,clock_pole_diara,lod_lag1,0.20102871593593483
90,1,clock_pole_diara,lod_lag2,0.27243695832540854
90,1,clock_pole_diara,lod_slope,0.008168806046769794
90,1,clock_pole_diara,u_clock,0.20519019975232358
90,1,clock_pole_diara,pole_amount_ara,0.06395906045222532
90,1,clock_pole_diara,pole_traversal_ara,-0.024379976004627716
90,1,clock_pole_diara,pole_log_ratio,-0.11580426488215737
90,1,clock_pole_diara,pole_turn_rad,-0.024379976004628205
90,1,clock_pole_diara,pole_displacement,0.01645889701772302
90,1,full_child,lod,0.22598910895895566
90,1,full_child,lod_lag1,0.25167817055656255
90,1,full_child,lod_lag2,0.1539786449338341
90,1,full_child,lod_slope,-0.035493347580924275
90,1,full_child,u_clock,0.2259891226788196
90,1,full_child,pole_x,-0.593997754782388
90,1,full_child,pole_y,-0.13934699014256624
90,1,full_child,dpx,0.5388633180690122
90,1,full_child,dpy,-0.5418349680225246
90,1,full_child,pole_radius,-0.06609691698712776
90,1,full_child,pole_amount_ara,0.07230590929925133
90,1,full_child,pole_traversal_ara,-0.0292443810587625
90,1,full_child,pole_log_ratio,-0.10949649729556181
90,1,full_child,pole_turn_rad,-0.02924438105876012
90,1,full_child,pole_displacement,0.014983674796094752
90,2,clock_only,lod,0.04698871111981366
90,2,clock_only,lod_lag1,0.02616789128735987
90,2,clock_only,lod_lag2,0.8320147584063167
90,2,clock_only,lod_slope,0.030819200612199265
90,2,clock_only,u_clock,0.04698871207558199
90,2,clock_raw_pole,lod,0.06925762075929316
90,2,clock_raw_pole,lod_lag1,0.03482135110591539
90,2,clock_raw_pole,lod_lag2,0.7593472841610548
90,2,clock_raw_pole,lod_slope,0.05097262377803541
90,2,clock_raw_pole,u_clock,0.06925761662164874
90,2,clock_raw_pole,pole_x,0.11493523091032992
90,2,clock_raw_pole,pole_y,-0.38911966406675025
90,2,clock_raw_pole,dpx,0.2439532691095236
90,2,clock_raw_pole,dpy,0.27708061848485155
90,2,clock_raw_pole,pole_radius,0.05838395664444818
90,2,clock_pole_diara,lod,0.04257669188182293
90,2,clock_pole_diara,lod_lag1,0.0228868628772382
90,2,clock_pole_diara,lod_lag2,0.8369990077402275
90,2,clock_pole_diara,lod_slope,0.029145027377674673
90,2,clock_pole_diara,u_clock,0.042576696737118
90,2,clock_pole_diara,pole_amount_ara,0.10455848154214198
90,2,clock_pole_diara,pole_traversal_ara,0.031574850784755595
90,2,clock_pole_diara,pole_log_ratio,-0.13322071485983975
90,2,clock_pole_diara,pole_turn_rad,0.031574850784752605
90,2,clock_pole_diara,pole_displacement,0.023665307832046508
90,2,full_child,lod,0.06489901123296529
90,2,full_child,lod_lag1,0.032115644098964204
90,2,full_child,lod_lag2,0.7717555700316913
90,2,full_child,lod_slope,0.04852595661565776
90,2,full_child,u_clock,0.06489900987662342
90,2,full_child,pole_x,0.11868039477908228
90,2,full_child,pole_y,-0.41741329827523843
90,2,full_child,dpx,0.22988543637824813
90,2,full_child,dpy,0.28249908885243236
90,2,full_child,pole_radius,0.09108209262357268
90,2,full_child,pole_amount_ara,0.11638250503793486
90,2,full_child,pole_traversal_ara,0.02400389474299688
90,2,full_child,pole_log_ratio,-0.14203377955295435
90,2,full_child,pole_turn_rad,0.024003894742994178
90,2,full_child,pole_displacement,-0.000705618371796176
90,4,clock_only,lod,0.3567475404799875
90,4,clock_only,lod_lag1,0.25149759529743215
90,4,clock_only,lod_lag2,-0.051450910807977514
90,4,clock_only,lod_slope,0.15612407288179422
90,4,clock_only,u_clock,0.35674754000554404
90,4,clock_raw_pole,lod,0.36090599142510466
90,4,clock_raw_pole,lod_lag1,0.24783084736732866
90,4,clock_raw_pole,lod_lag2,-0.06505393312691951
90,4,clock_raw_pole,lod_slope,0.16768121970967653
90,4,clock_raw_pole,u_clock,0.3609059886940504
90,4,clock_raw_pole,pole_x,0.12452166551914268
90,4,clock_raw_pole,pole_y,-0.23771234268335403
90,4,clock_raw_pole,dpx,0.049028437071263066
90,4,clock_raw_pole,dpy,0.20975600160951266
90,4,clock_raw_pole,pole_radius,0.07898985274143171
90,4,clock_pole_diara,lod,0.3531437137122278
90,4,clock_pole_diara,lod_lag1,0.24911375874286584
90,4,clock_pole_diara,lod_lag2,-0.04518017966962054
90,4,clock_pole_diara,lod_slope,0.1543155815251089
90,4,clock_pole_diara,u_clock,0.35314371644907605
90,4,clock_pole_diara,pole_amount_ara,0.06075131789117435
90,4,clock_pole_diara,pole_traversal_ara,0.016379832211538912
90,4,clock_pole_diara,pole_log_ratio,-0.10988704530514301
90,4,clock_pole_diara,pole_turn_rad,0.016379832211539252
90,4,clock_pole_diara,pole_displacement,0.015768190553203464
90,4,full_child,lod,0.3571945915726338
90,4,full_child,lod_lag1,0.24545399115109395
90,4,full_child,lod_lag2,-0.05207206272776992
90,4,full_child,lod_slope,0.16570343738741652
90,4,full_child,u_clock,0.3571945912659916
90,4,full_child,pole_x,0.15510866861106218
90,4,full_child,pole_y,-0.2674647911217659
90,4,full_child,dpx,0.03054512943333435
90,4,full_child,dpy,0.2415717287374779
90,4,full_child,pole_radius,0.09943208666384433
90,4,full_child,pole_amount_ara,0.06864556832262185
90,4,full_child,pole_traversal_ara,0.014099756078056518
90,4,full_child,pole_log_ratio,-0.1207752326751592
90,4,full_child,pole_turn_rad,0.014099756078059298
90,4,full_child,pole_displacement,-0.001666656014457828
