n,mae,rmse,bias,r2,scale_days,horizon_windows,horizon_days,split,model
499,0.00026561800666341154,0.0003268059179416205,-9.302829779962746e-05,0.7268987660343726,7,4,28,holdout,clock_raw_pole
499,0.0002663145171739917,0.00034972389221125624,0.00012930185330294093,0.6872520698204637,7,4,28,holdout,clock_pole_diara
499,0.00026786136171265954,0.00032898625502918014,-9.977453292614656e-05,0.7232425343407969,7,4,28,holdout,full_child
301,0.0002467741860465116,0.00031698246766299497,2.235094130675527e-06,0.8228986227022453,30,1,30,development,persistence
301,0.00022381376180524444,0.00028750178473395513,-2.1323843392405934e-19,0.854309060232805,30,1,30,development,clock_only
301,0.0002141082578608429,0.0002735914875466633,-2.017120320903264e-19,0.8680660344909672,30,1,30,development,clock_raw_pole
301,0.00022203715502286018,0.0002865976114747594,-1.8730402979816023e-19,0.8552239951527579,30,1,30,development,clock_pole_diara
301,0.00021297394985758731,0.00027293463089533463,-1.8730402979816023e-19,0.8686987856921481,30,1,30,development,full_child
97,0.00024751529209621995,0.0003126052591338545,-2.439896907216495e-06,0.50670448874894,30,1,30,validation,persistence
97,0.0001958810427038226,0.0002613479138795698,3.1581795317304454e-05,0.655211573823792,30,1,30,validation,clock_only
97,0.00023672147922781345,0.00028799036888697783,-0.00014437957406837417,0.5813312636700187,30,1,30,validation,clock_raw_pole
97,0.00019571290533239443,0.00026136380539908225,2.8604972882882097e-05,0.655169642143486,30,1,30,validation,clock_pole_diara
97,0.00023683732983905597,0.00029013341326768427,-0.00014662345925620953,0.5750771380010982,30,1,30,validation,full_child
117,0.00023551450142450143,0.00029949149232209307,1.2459059829059833e-05,0.7289115969993161,30,1,30,holdout,persistence
117,0.00021033776735260269,0.00027922238217726274,0.00011997425735138265,0.7643635803494054,30,1,30,holdout,clock_only
117,0.00024468800682771316,0.0002865328573424746,-0.00016137122828835336,0.7518634037063978,30,1,30,holdout,clock_raw_pole
117,0.0002105639010240524,0.00027783206976590594,0.00011873145919190642,0.7667043140535159,30,1,30,holdout,clock_pole_diara
117,0.00024605737596404087,0.0002896980040146396,-0.00016642766053236456,0.7463511104582865,30,1,30,holdout,full_child
300,0.00040907085555555553,0.0005067921440628443,4.930055555555555e-06,0.5475713652332899,30,2,60,development,persistence
300,0.0003523985713408435,0.00044309456913942986,0.0,0.6541536552226723,30,2,60,development,clock_only
300,0.0003219150032744955,0.0004022481047733056,8.0953762212251e-20,0.7149780224403959,30,2,60,development,clock_raw_pole
300,0.000351266322292341,0.0004420727415322481,1.61907524424502e-19,0.655746939736369,30,2,60,development,clock_pole_diara
300,0.00032254650500338524,0.00040174342207184403,1.8503717077085944e-19,0.715692782418363,30,2,60,development,full_child
97,0.0004197289347079038,0.0005197276893276299,-5.721993127147761e-06,-0.3635350740093801,30,2,60,validation,persistence
97,0.0003180739956536753,0.00041837309887490743,5.590161531023383e-05,0.11642766972676144,30,2,60,validation,clock_only
97,0.00041278277701097904,0.0004738200884555114,-0.00029103317744732057,-0.13329126738467978,30,2,60,validation,clock_raw_pole
97,0.0003202416676656974,0.000417083414618153,4.352877489158821e-05,0.12186670469612615,30,2,60,validation,clock_pole_diara
97,0.00042041502000511556,0.00048239496350189353,-0.0003020497261478143,-0.1746815106849986,30,2,60,validation,full_child
117,0.0003989876353276354,0.0004961170438798795,2.1517834757834763e-05,0.2561073735293391,30,2,60,holdout,persistence
117,0.00033600409917736054,0.00046604068856597727,0.00022382683905658538,0.34356817255457606,30,2,60,holdout,clock_only
117,0.0004276855990566056,0.0004907282476477726,-0.00034012665068220056,0.27217984984836174,30,2,60,holdout,clock_raw_pole
117,0.0003325003186281686,0.0004605908364874424,0.00021509651251324564,0.3588309561079879,30,2,60,holdout,clock_pole_diara
117,0.0004371965938458246,0.000501921925414266,-0.0003547572484796178,0.2385975076497463,30,2,60,holdout,full_child
298,0.0005351874496644295,0.0006499294653635313,8.673758389261746e-06,0.26017985976793256,30,4,120,development,persistence
298,0.0004388101188211244,0.0005324903469730524,1.280668337969455e-19,0.5033880393307539,30,4,120,development,clock_only
298,0.00035655058278347325,0.0004463708598827691,4.6569757744343814e-20,0.6510321909200346,30,4,120,development,clock_raw_pole
298,0.00043647577271629256,0.0005302037351507193,1.280668337969455e-19,0.5076439686159813,30,4,120,development,clock_pole_diara
298,0.0003547336991622937,0.0004444021220129108,6.403341689847275e-20,0.6541036775404192,30,4,120,development,full_child
97,0.0005367332302405499,0.0006559400225369316,-8.008419243986258e-06,-1.1719151975279924,30,4,120,validation,persistence
97,0.00041030203074379036,0.0005067401318535909,6.836808726406515e-05,-0.2962393569554507,30,4,120,validation,clock_only
97,0.0004891764321350877,0.0005785471395530502,-0.00041943656705974673,-0.6896319171229446,30,4,120,validation,clock_raw_pole
97,0.00041219626581173144,0.000504971973771941,5.071826424610493e-05,-0.28720925528030894,30,4,120,validation,clock_pole_diara
97,0.0005030094238976843,0.0005983699461247203,-0.00043781212511934836,-0.8073994600808672,30,4,120,validation,full_child
117,0.0005254651566951567,0.000656042939229526,2.871757834757834e-05,-0.30078790697514224,30,4,120,holdout,persistence
117,0.00045393950578350193,0.000609509758398259,0.0002972467535238429,-0.12280227967840451,30,4,120,holdout,clock_only
