draw,scenario,known_directness_D,known_turn_consistency_G,known_historical_circularity_C,known_signed_net_turn_deg,known_absolute_turn_deg,known_path_length_arcsec2,known_endpoint_displacement_arcsec2,outcome_directness_D,outcome_turn_consistency_G,outcome_historical_circularity_C,outcome_signed_net_turn_deg,outcome_absolute_turn_deg,outcome_path_length_arcsec2,outcome_endpoint_displacement_arcsec2
1232,selected_AC_-5.3d,0.45738377633952887,0.034420931824671805,0.018677356041577945,-11.60787188975027,337.2329357286639,2.0791971310212567,0.9509910355408165,0.742861770142802,0.058853492580475404,0.015133482903057183,-13.860365744805167,235.50625692863863,1.7984961500499717,1.3360340336211363
1232,alternate_AC_+7.9d,0.45738377633952887,0.034420931824671805,0.018677356041577945,-11.60787188975027,337.2329357286639,2.0791971310212567,0.9509910355408165,0.7917637456372483,0.23390451369844492,0.04870739981110512,-39.60660434082232,169.32808911881054,1.6874150161369588,1.3360340336211363
1233,selected_AC_-5.3d,0.46061750048521105,0.035238640135107385,0.01900710579557638,-11.872425100540356,336.9149619571203,2.0753305339396113,0.9559335632239022,0.6130822847859787,0.07197216451565142,0.027847305453403505,-19.869047196227562,276.0657169329226,1.500527920530926,0.9199470859042537
1233,alternate_AC_+7.9d,0.46061750048521105,0.035238640135107385,0.01900710579557638,-11.872425100540356,336.9149619571203,2.0753305339396113,0.9559335632239022,0.6509457619444605,0.2803029274094531,0.09784092475164385,-59.98230014823926,213.9909871887281,1.4132469088611175,0.9199470859042537
1234,selected_AC_-5.3d,0.4424457474241958,0.033940977590127736,0.01892393639195579,-11.449175644486681,337.32604236528687,2.087903643732707,0.9237840882010193,0.6627151356208404,0.06855385415268021,0.023122177400555433,-18.516472231962215,270.10111190427193,1.7696223556845299,1.1727555194451442
1234,alternate_AC_+7.9d,0.4424457474241958,0.033940977590127736,0.01892393639195579,-11.449175644486681,337.32604236528687,2.087903643732707,0.9237840882010193,0.7270338713674216,0.2557077513878684,0.06979955495768826,-51.736530838996785,202.32679908291325,1.6130686143128372,1.1727555194451442
1235,selected_AC_-5.3d,0.4531444343711557,0.035440521291130976,0.019380846316842528,-11.938714398285367,336.8662187616591,2.0882965288879967,0.9462999493821991,0.5585956881456017,0.0599070436194552,0.026443227364077046,-18.915483193566697,315.7472318901708,1.9910695857008816,1.112202885370362
1235,alternate_AC_+7.9d,0.4531444343711557,0.035440521291130976,0.019380846316842528,-11.938714398285367,336.8662187616591,2.0882965288879967,0.9462999493821991,0.6734984953731771,0.19199650155630385,0.06268714664121935,-48.426184508578075,252.2243067766361,1.651381395817528,1.112202885370362
1236,selected_AC_-5.3d,0.4577011931728392,0.03471010227872192,0.018823247050599613,-11.698885494238253,337.0455494569353,2.0927081307812565,0.9578350084210832,0.4854662845737408,0.02592991624916436,0.01334181614837427,-8.271372104061312,318.9895418319321,1.5615419983941852,0.7580759921662794
1236,alternate_AC_+7.9d,0.4577011931728392,0.03471010227872192,0.018823247050599613,-11.698885494238253,337.0455494569353,2.0927081307812565,0.9578350084210832,0.596249272624534,0.15783721866030637,0.06372689184101918,-39.34019113708079,249.2453394135628,1.2714078271817866,0.7580759921662794
1237,selected_AC_-5.3d,0.4403508760592063,0.03392115925010109,0.018983947057375227,-11.445184447046772,337.4054631406108,2.0936385730826625,0.9219355798082971,0.6221449166269662,0.06427032528602955,0.024284869119364696,-18.957761986949595,294.96913081705605,1.9614840847844097,1.2203273523933178
1237,alternate_AC_+7.9d,0.4403508760592063,0.03392115925010109,0.018983947057375227,-11.445184447046772,337.4054631406108,2.0936385730826625,0.9219355798082971,0.7208785166893529,0.21570050886142064,0.06020664598426111,-47.984719693378466,222.45992810432736,1.6928335692367313,1.2203273523933178
1238,selected_AC_-5.3d,0.43893366879457657,0.03372497704451295,0.018921949140352005,-11.37796213520417,337.37494083944415,2.1024944459549086,0.9228556007832086,0.5703168272523768,0.06624969905832376,0.02846638088495578,-21.01414581619045,317.19609469758313,2.178055336087009,1.2421816088572522
1238,alternate_AC_+7.9d,0.43893366879457657,0.03372497704451295,0.018921949140352005,-11.37796213520417,337.37494083944415,2.1024944459549086,0.9228556007832086,0.6832912354692737,0.19548149510742466,0.06191070280409167,-50.914572636738484,260.4572499752928,1.817938741749177,1.2421816088572522
1239,selected_AC_-5.3d,0.4506929447955238,0.035018354839657616,0.019235829375077743,-11.807535378171973,337.18132768476505,2.08722033528239,0.9406954793455209,0.5946717671179359,0.05825508652935588,0.023612431279335558,-17.430810798323225,299.215258903435,1.8238495839404651,1.0845918550391886
1239,alternate_AC_+7.9d,0.4506929447955238,0.035018354839657616,0.019235829375077743,-11.807535378171973,337.18132768476505,2.08722033528239,0.9406954793455209,0.6938229349455132,0.21203607843966513,0.06492058418231962,-48.120458344119875,226.94467233231987,1.5632113042275881,1.0845918550391886
1240,selected_AC_-5.3d,0.44291752753265096,0.03350729951286775,0.018666329258332368,-11.313962445841302,337.6566482624605,2.093951489198604,0.9274478163691582,0.6098787671326495,0.03751269566359614,0.014634499080459839,-11.01227304157426,293.56122898576496,1.8481293870929918,1.127134872101893
1240,alternate_AC_+7.9d,0.44291752753265096,0.03350729951286775,0.018666329258332368,-11.313962445841302,337.6566482624605,2.093951489198604,0.9274478163691582,0.7225847443410307,0.1608976036648194,0.04463544985559139,-34.53622632112626,214.64723858207267,1.5598653042831625,1.127134872101893
1241,selected_AC_-5.3d,0.4429654699618672,0.033979458912697824,0.018927731926384674,-11.461613894722058,337.3100767781488,2.0789715789354415,0.9209126225005029,0.5970570609456132,0.05190506276242143,0.020914778541292502,-15.062845276239349,290.1999241419788,1.6862008310667478,1.0067581123607627
1241,alternate_AC_+7.9d,0.4429654699618672,0.033979458912697824,0.018927731926384674,-11.461613894722058,337.3100767781488,2.0789715789354415,0.9209126225005029,0.6858891408661224,0.2113974767638171,0.06640224304501652,-45.94258276370169,217.3279618423773,1.4678146253918753,1.0067581123607627
1242,selected_AC_-5.3d,0.4472149416955812,0.03420473562813666,0.018907866778486757,-11.527715146796103,337.0210275010416,2.0768106796463015,0.928780767010781,0.5645754651068216,0.06062964224529528,0.026399633775397502,-17.76874626726597,293.0702806290233,1.5334698131422688,0.8657594329820671
1242,alternate_AC_+7.9d,0.4472149416955812,0.03420473562813666,0.018907866778486757,-11.527715146796103,337.0210275010416,2.0768106796463015,0.928780767010781,0.6299006665943251,0.2457745640304758,0.09096100231574945,-55.79815843117358,227.02983382875485,1.3744380326868937,0.8657594329820671
1243,selected_AC_-5.3d,0.4466780013833461,0.03511947283935548,0.019432376901835465,-11.820680085719607,336.5847813203264,2.0918543824422247,0.9343853347342866,0.6721765292927265,0.049868697482735376,0.016348129488441384,-13.674066309300226,274.2013928483737,1.9164539633023416,1.2881953736018583
1243,alternate_AC_+7.9d,0.4466780013833461,0.03511947283935548,0.019432376901835465,-11.820680085719607,336.5847813203264,2.0918543824422247,0.9343853347342866,0.765319263628806,0.18955578145423493,0.04448509037509698,-36.821132589140426,194.2495887313797,1.683213052150033,1.2881953736018583
1244,selected_AC_-5.3d,0.44830048565622443,0.035163105002477255,0.019399467952685885,-11.841425637006848,336.75711050467856,2.1016814282390266,0.942184804974223,0.6292240759723691,0.05551782905916707,0.02058467436942073,-15.91096500656403,286.5919881270433,1.8316906249496308,1.1525438409511826
1244,alternate_AC_+7.9d,0.44830048565622443,0.035163105002477255,0.019399467952685885,-11.841425637006848,336.75711050467856,2.1016814282390266,0.942184804974223,0.7228993513794537,0.20857325928054982,0.05779578543154173,-44.069454860849376,211.2900522955917,1.5943351432697663,1.1525438409511826
1245,selected_AC_-5.3d,0.43753545017949047,0.033517420382424425,0.018852360766545125,-11.30285942385137,337.22342873911214,2.0997018049017004,0.9186939744503542,0.6895254673087606,0.08407918219278575,0.02610444480036673,-22.66884853447523,269.6130949810819,1.972958119236822,1.3604048691473831
1245,alternate_AC_+7.9d,0.43753545017949047,0.033517420382424425,0.018852360766545125,-11.30285942385137,337.22342873911214,2.0997018049017004,0.9186939744503542,0.752849610750659,0.2761643491621611,0.06825412639221902,-55.70512713979974,201.71005891528097,1.807007468318854,1.3604048691473831
1246,selected_AC_-5.3d,0.4449312842637236,0.03348356114165352,0.018585677281174707,-11.298762585964173,337.44208204630075,2.075428398046133,0.9234230225400685,0.6374063198540739,0.08197616783363434,0.029724040379057567,-21.009886493924085,256.29261588029306,1.4419315088534872,0.9190962565399332
1246,alternate_AC_+7.9d,0.4449312842637236,0.03348356114165352,0.018585677281174707,-11.298762585964173,337.44208204630075,2.075428398046133,0.9234230225400685,0.6414190736026268,0.3111362169201989,0.11156751289901896,-65.21014357657486,209.58711982186293,1.4329107043507308,0.9190962565399332
1247,selected_AC_-5.3d,0.4474496565196896,0.03551508170755654,0.019623870596241655,-11.9595614753146,336.74599354138513,2.1057764640562784,0.9422289555492283,0.6024158925430577,0.06063488578938258,0.024107466947325306,-17.521323617919354,288.96440373913276,1.702249111896862,1.0254619180739755
1247,alternate_AC_+7.9d,0.4474496565196896,0.03551508170755654,0.019623870596241655,-11.9595614753146,336.74599354138513,2.1057764640562784,0.9422289555492283,0.684683141234305,0.23005974496001627,0.07254171610922927,-50.19616858071222,218.18753467468275,1.4977174934164954,1.0254619180739755
1248,selected_AC_-5.3d,0.4421954994154659,0.03448203099982892,0.019234232080999992,-11.624836769252877,337.12738003485214,2.104058711082917,0.930405292546772,0.6403656809294881,0.04962575973491567,0.017847126310623223,-14.098928808092584,284.10504712480736,1.8835662421973784,1.2061711792605214
1248,alternate_AC_+7.9d,0.4421954994154659,0.03448203099982892,0.019234232080999992,-11.624836769252877,337.12738003485214,2.104058711082917,0.930405292546772,0.7394128489920463,0.19026575930024003,0.04958081215041462,-39.307494205250556,206.59258055582768,1.6312553682354198,1.2061711792605214
1249,selected_AC_-5.3d,0.4484939327551154,0.03335408049056613,0.018394977757921458,-11.253962369610711,337.4088628464449,2.0723239846584085,0.929424733822201,0.5892318317380176,0.04950917894773965,0.020336794748517715,-14.608959678383753,295.07578168089833,1.699949231117058,1.0016641993127389
1249,alternate_AC_+7.9d,0.4484939327551154,0.03335408049056613,0.018394977757921458,-11.253962369610711,337.4088628464449,2.0723239846584085,0.929424733822201,0.684385265225792,0.20363368369592424,0.0642697910707841,-44.96542394736548,220.8152557634328,1.4635969682694299,1.0016641993127389
1250,selected_AC_-5.3d,0.44939255028283076,0.03428432145205502,0.01887720279999965,-11.56716408456637,337.38932534343706,2.0797312949197573,0.9346157505270037,0.6663673923247211,0.09057499915541734,0.030218773158408072,-24.388682304231544,269.265056932356,1.746158703352485,1.1635832217381117
1250,alternate_AC_+7.9d,0.44939255028283076,0.03428432145205502,0.01887720279999965,-11.56716408456637,337.38932534343706,2.0797312949197573,0.9346157505270037,0.7096923794906733,0.3044078510645494,0.08837191890690684,-62.826176363600254,206.38816030496542,1.6395599774837422,1.1635832217381117
1251,selected_AC_-5.3d,0.4525834565182575,0.035436143020253705,0.01939833092647196,-11.93095904981738,336.6889856776507,2.108182781894911,0.9541286504022745,0.6826262908133544,0.03897075710985922,0.012368293733767863,-10.23447798071899,262.6194290212998,1.7778052157324633,1.2135765802040868
1251,alternate_AC_+7.9d,0.4525834565182575,0.035436143020253705,0.01939833092647196,-11.93095904981738,336.6889856776507,2.108182781894911,0.9541286504022745,0.7638221181683346,0.18330608908486892,0.04329284384691091,-34.05424092204613,185.7780125693443,1.588820945790723,1.2135765802040868
1252,selected_AC_-5.3d,0.4473070381960115,0.03483366269808487,0.01925232020708564,-11.7359199663662,336.9131770059722,2.0976336678088114,0.9382863031677957,0.7127666729466986,0.08231677415661984,0.023644120913301134,-20.330127951992676,246.97430335780166,1.7775440517966774,1.266974159815312
1252,alternate_AC_+7.9d,0.4473070381960115,0.03483366269808487,0.01925232020708564,-11.7359199663662,336.9131770059722,2.0976336678088114,0.9382863031677957,0.7540097289575176,0.28457347610299155,0.07000230651807628,-52.68599184308427,185.14020549131007,1.6803154006606933,1.266974159815312
