run,split,field_g,phase_turns,detector,share_residual,phase_bin_weight
EMU00066571,validation,25.0,0.052083333333333336,89,-0.00016984514506244595,466725.0
EMU00066571,validation,25.0,0.052083333333333336,90,3.3471754983934554e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,91,-3.3129278567386214e-05,466725.0
EMU00066571,validation,25.0,0.052083333333333336,92,0.00023539851670164992,466725.0
EMU00066571,validation,25.0,0.052083333333333336,93,0.00021317623585458733,466725.0
EMU00066571,validation,25.0,0.052083333333333336,94,0.0003769372426323463,466725.0
EMU00066571,validation,25.0,0.052083333333333336,95,0.00014728822522582294,466725.0
EMU00066571,validation,25.0,0.052083333333333336,96,0.00018862989961660113,466725.0
EMU00066571,validation,25.0,0.07291666666666667,1,0.00017009315422938026,452847.0
EMU00066571,validation,25.0,0.07291666666666667,2,0.0002503647037179754,452847.0
EMU00066571,validation,25.0,0.07291666666666667,3,0.00019505370771281963,452847.0
EMU00066571,validation,25.0,0.07291666666666667,4,0.0001871134719082627,452847.0
EMU00066571,validation,25.0,0.07291666666666667,5,0.0002870217715933112,452847.0
EMU00066571,validation,25.0,0.07291666666666667,6,0.00019656729636665973,452847.0
EMU00066571,validation,25.0,0.07291666666666667,7,0.00013767948651142008,452847.0
EMU00066571,validation,25.0,0.07291666666666667,8,0.0005253146372599236,452847.0
EMU00066571,validation,25.0,0.07291666666666667,9,2.080136468628867e-05,452847.0
EMU00066571,validation,25.0,0.07291666666666667,10,-0.00017429868194015767,452847.0
EMU00066571,validation,25.0,0.07291666666666667,11,0.00027216168776216285,452847.0
EMU00066571,validation,25.0,0.07291666666666667,12,0.0004825449189163244,452847.0
EMU00066571,validation,25.0,0.07291666666666667,13,-4.54341229287676e-05,452847.0
EMU00066571,validation,25.0,0.07291666666666667,14,6.743841442677197e-05,452847.0
EMU00066571,validation,25.0,0.07291666666666667,15,0.0005148368445836843,452847.0
EMU00066571,validation,25.0,0.07291666666666667,16,0.0003031232553223584,452847.0
EMU00066571,validation,25.0,0.07291666666666667,17,-2.400111077292467e-05,452847.0
EMU00066571,validation,25.0,0.07291666666666667,18,-3.145338163640977e-05,452847.0
EMU00066571,validation,25.0,0.07291666666666667,19,-0.0002795561346499344,452847.0
EMU00066571,validation,25.0,0.07291666666666667,20,-0.00029496833230325506,452847.0
EMU00066571,validation,25.0,0.07291666666666667,21,-0.00020458653280568917,452847.0
EMU00066571,validation,25.0,0.07291666666666667,22,-0.0001168050656960087,452847.0
EMU00066571,validation,25.0,0.07291666666666667,23,-0.000336460730116835,452847.0
EMU00066571,validation,25.0,0.07291666666666667,24,-0.00010351305814455973,452847.0
EMU00066571,validation,25.0,0.07291666666666667,25,-0.0005129193444527915,452847.0
EMU00066571,validation,25.0,0.07291666666666667,26,-0.0005115700300456596,452847.0
EMU00066571,validation,25.0,0.07291666666666667,27,-0.00032105361729496934,452847.0
EMU00066571,validation,25.0,0.07291666666666667,28,-0.0003420105983533008,452847.0
EMU00066571,validation,25.0,0.07291666666666667,29,-0.0003342280803290895,452847.0
EMU00066571,validation,25.0,0.07291666666666667,30,-0.0001972144246082199,452847.0
EMU00066571,validation,25.0,0.07291666666666667,31,-0.0001224934356237779,452847.0
EMU00066571,validation,25.0,0.07291666666666667,32,0.00012741812953132842,452847.0
EMU00066571,validation,25.0,0.07291666666666667,33,-0.0002082725489398963,452847.0
EMU00066571,validation,25.0,0.07291666666666667,34,-0.000327722136979109,452847.0
EMU00066571,validation,25.0,0.07291666666666667,35,-0.00019213397590527953,452847.0
EMU00066571,validation,25.0,0.07291666666666667,36,-1.6376656662902657e-05,452847.0
EMU00066571,validation,25.0,0.07291666666666667,37,-0.0003222841537527459,452847.0
EMU00066571,validation,25.0,0.07291666666666667,38,4.232805291757788e-05,452847.0
EMU00066571,validation,25.0,0.07291666666666667,39,0.00020000162685409332,452847.0
EMU00066571,validation,25.0,0.07291666666666667,40,-0.00023919846607275936,452847.0
EMU00066571,validation,25.0,0.07291666666666667,41,0.0001261588020740397,452847.0
EMU00066571,validation,25.0,0.07291666666666667,42,0.00026700604287798293,452847.0
EMU00066571,validation,25.0,0.07291666666666667,43,-0.00011436532884494351,452847.0
