Name,fluid,split,D0_mm,T_C,v_mm_s,H0_D0,tbrk_s,n_reliable,last_reliable_s,unmeasured_tail_ms,cross_u,cross_t_s,cross_D_mm,rho_time_x,Bo0,Bo_cross,G_height_cross,capillary_rate_mm_s,late_observed_rate_mm_s,late_to_capillary_rate,excluded,reason
241118aa,S1,development,1.0,19.7,2.18,0.27,0.34,334,0.333,7.000000000000006,,,,0.9900542969167484,0.0668813533272151,,,5.049485678029316,3.021277420355009,0.5983336943603602,False,
241118ab,S1,development,1.0,20.0,4.05,0.23,0.197,191,0.191,6.000000000000005,,,,0.9935349988027777,0.0668649089726918,,,5.1445971592615,5.343032313316113,1.0385715631198416,False,
241118ad,S1,development,1.0,20.1,7.71,0.31,0.141,134,0.134,6.999999999999979,,,,0.995774647887324,0.06685942752118404,,,5.176653524079824,7.169607490890009,1.3849888654011169,False,
241118ae,S1,development,1.0,20.0,9.86,0.27,0.113,106,0.105,8.000000000000007,,,,0.9935201067276538,0.0668649089726918,,,5.1445971592615,8.200312989045406,1.5939660065089625,False,
241118af,S1,development,1.0,20.0,12.32,0.14,0.081,73,0.074,7.000000000000006,,,,0.9756521739130434,0.0668649089726918,,,5.1445971592615,7.789855072463757,1.5141817388831238,False,
241118ag,S1,development,1.0,19.9,13.88,0.25,0.089,82,0.082,6.999999999999992,,,,0.9909090909090909,0.06687039042419958,,,5.112717628335645,8.875132734819958,1.735893389776173,False,
241118ai,S1,development,1.0,20.0,20.05,0.11,0.053,47,0.046,6.999999999999999,,,,0.9879699248120299,0.0668649089726918,,,5.1445971592615,9.360730593607308,1.819526447616168,False,
241118aj,S1,development,1.0,19.8,24.03,0.29,0.072,65,0.064,7.999999999999993,,,,0.9862369337979096,0.06687587187570734,,,5.081014082917207,7.3412698412698765,1.4448434350835275,False,
241118ak,S1,development,1.0,20.1,29.16,0.37,0.073,66,0.065,7.999999999999993,,,,0.992312834224599,0.06685942752118404,,,5.176653524079824,7.331240188383028,1.416212260349449,False,
241118al,S1,development,1.0,20.1,32.54,0.26,0.061,55,0.055,5.999999999999998,,,,0.9857142857142855,0.06685942752118404,,,5.176653524079824,6.994839542009362,1.3512280683789302,False,
241118am,S1,development,1.0,20.1,41.06,0.24,0.052,46,0.046,5.999999999999998,,,,0.9865689865689865,0.06685942752118404,,,5.176653524079824,7.291666666666666,1.408567645632184,False,
241118an,S1,development,1.0,20.1,50.27,0.22,0.045,39,0.039,5.999999999999998,,,,0.9662337662337662,0.06685942752118404,,,5.176653524079824,,,False,
241112b,S3,development,2.0,21.1,2.07,0.09,2.797,2496,2.528,269.0000000000001,,,,0.9861996025228702,0.326106832829511,,,0.0661190355648726,0.10399651051586216,1.5728679286894034,False,
241112c,S3,development,2.0,21.2,2.06,0.18,3.699,3389,3.418,280.9999999999997,,,,0.9940504431656424,0.32601254009915415,,,0.06670326598533818,0.10113867096842753,1.5162476600569825,False,
241112d,S3,development,2.0,21.3,2.08,0.43,5.59,5228,5.335,254.9999999999999,,,,0.9955382910671683,0.3259182473687974,,,0.06729225659201044,0.10241488475444864,1.521941601325468,False,
241112f,S3,development,2.0,21.8,4.1,0.28,3.241,2920,3.02,221.00000000000009,,,,0.986419685567989,0.3254467837170132,,,0.07030985886802664,0.11873989150063931,1.6888085598851372,False,
241112g,S3,development,2.0,22.4,6.16,0.36,3.023,2780,2.817,205.99999999999997,,,,0.9888988918160858,0.32488102733487223,,,0.07409561375518789,0.1230414881569672,1.6605772180185538,False,
241112h,S3,development,2.0,22.7,8.2,0.33,2.789,2606,2.731,58.00000000000027,,,,0.9775709582260348,0.3245981491438017,,,0.07605819120321286,0.08297876795750109,1.0909905513766134,False,
241112l,S3,development,2.0,22.6,10.2,0.33,2.312,2089,2.088,223.99999999999974,,,,0.9812816617347161,0.3246924418741586,,,0.07539873411233383,0.11055756254118053,1.4663052880498608,False,
241112o,S3,development,2.0,22.9,16.43,0.07,0.997,788,0.857,140.0,,,,0.21810021507669883,0.32440956368308815,,,0.07739309327432271,3.7373700675725584e-17,4.829074416660555e-16,False,
241112q,S3,development,2.0,21.3,16.4,0.26,1.885,1617,1.726,159.00000000000003,,,,0.9154746956909312,0.3259182473687974,,,0.06729225659201044,0.06430386009191491,0.9555907818901954,False,
241113a,S3,development,2.0,19.6,16.33,0.11,1.369,882,0.881,488.0,,,,0.46312688872232866,0.3275212237848634,,,0.05790345325438928,,,False,
241113b,S3,development,2.0,20.0,16.27,0.58,3.454,3190,3.189,265.0000000000001,,,,0.6863131161958214,0.3271440528634361,,,0.05999678817637465,0.06553577446734059,1.0923213801825988,False,
241113c,S3,development,2.0,20.1,16.74,0.19,1.65,534,1.636,14.000000000000012,,,,-0.6287442894184466,0.32704976013307924,,,0.060530925138871546,,,False,
241113d,S3,development,2.0,20.3,10.19,0.26,2.461,1991,2.073,387.9999999999999,,,,0.8972084826029348,0.3268611746723656,,,0.06161239070303353,0.03171367330592257,0.514728822304263,False,
241113e,S3,development,2.0,20.4,13.27,0.25,2.108,1632,2.062,46.00000000000026,,,,0.8238615265841922,0.32676688194200887,,,0.06215978525877164,0.010617933297076715,0.1708167628455308,False,
241113f,S3,development,2.0,20.6,20.47,0.18,1.449,1004,1.391,58.00000000000005,,,,0.5025299594227969,0.32657829648129505,,,0.06326806447156597,1.961659100270008e-18,3.100551781778657e-17,False,
241113h,S3,development,2.0,20.6,28.76,0.27,1.49,1046,1.099,391.0,,,,0.5984067052939624,0.32657829648129505,,,0.06326806447156597,2.2356905896031024e-16,3.5336794451928745e-15,False,
241118ba,S3,development,1.0,19.4,2.05,0.34,2.726,2253,2.273,452.99999999999983,,,,0.9361964857537708,0.08192745231139427,,,0.056882264873636894,0.08648752951603447,1.5204656444001523,False,
241118bb,S3,development,1.0,19.5,4.02,0.28,1.804,1379,1.474,330.00000000000006,,,,0.8892168045521311,0.08190387912880508,,,0.057390762245209906,5.825881851297257e-17,1.0151253657174611e-15,False,
241118bc,S3,development,1.0,19.6,6.08,0.35,1.754,1227,1.357,397.0,,,,0.8049897087949583,0.08188030594621586,,,0.05790345325438928,,,False,
241118bd,S3,development,1.0,19.3,7.93,0.33,1.48,1000,1.01,470.0,,,,0.3143375150885339,0.08195102549398348,,,0.05637792978731699,,,False,
241118be,S3,development,1.0,19.6,10.22,0.34,1.355,968,0.973,382.0,,,,0.42741261750980897,0.08188030594621586,,,0.05790345325438928,0.0,0.0,False,
241118bf,S3,development,1.0,19.9,12.08,0.43,1.538,1117,1.162,376.0000000000001,,,,0.4396116948378255,0.08180958639844822,,,0.05946700482533969,5.552478646062305e-17,9.337074672535583e-16,False,
241118bg,S3,development,1.0,19.9,16.09,0.42,1.279,856,0.905,373.9999999999999,,,,-0.6743689290902558,0.08180958639844822,,,0.05946700482533969,0.0,0.0,False,
241118bh,S3,development,1.0,19.6,20.16,0.36,1.051,761,0.825,225.99999999999997,,,,,0.08188030594621586,,,0.05790345325438928,7.332507787849726e-17,1.2663334180839892e-15,False,
241118bi,S3,development,1.0,19.9,24.55,0.45,1.136,759,1.136,0.0,,,,,0.08180958639844822,,,0.05946700482533969,0.0,0.0,False,
241118bj,S3,development,1.0,19.9,28.85,0.34,0.83,542,0.56,269.9999999999999,,,,,0.08180958639844822,,,0.05946700482533969,,,False,
241118bk,S3,development,1.0,19.8,32.58,0.22,0.64,300,0.34,300.0,,,,,0.08183315958103744,,,0.058941542658456816,,,False,
