Name,fluid,split,D0_mm,v_mm_s,H0_D0,tbrk_s,n_reliable,window_frames,window_ms,unmeasured_tail_ms,cross_u,cross_t_s,cross_D_mm,cross_r_mechanical,cross_r_unresolved,rho_time_x,Bo0,Bo_cross,G_height_cross,capillary_rate_mm_s,late_unresolved_to_capillary,excluded,reason
241118j,S1,development,2.0,28.28,0.23,0.127,118.0,11.0,11.00000000000001,9.999999999999995,0.5531734728152871,0.07,0.431721056721058,4.9754394431546185,4.746782779067839,0.7918869740013527,0.2676788939510778,0.01247270356183129,0.140963277726358,4.833620511421563,0.7289359534698053,False,
241118k,S1,development,2.0,33.29,0.54,0.177,169.0,11.0,11.00000000000001,7.99999999999998,0.5061713210977877,0.09,0.5931830407354896,4.52422732173606,4.630254560018972,0.8897629836179853,0.2676569681450467,0.023544854705741556,0.32358033077640985,4.863946307892642,0.7336901044466114,False,
241118l,S1,development,2.0,33.14,0.37,0.148,140.0,11.0,11.00000000000001,7.000000000000006,0.4916035156474372,0.073,0.546889008427471,5.297888090026959,5.509486353711388,0.9229708890637291,0.2676569681450467,0.02001321922261169,0.23122118549890155,4.863946307892642,0.728340657453378,False,
241118m,S1,development,2.0,32.91,0.29,0.131,124.0,11.0,11.00000000000001,8.000000000000007,0.47074819710471005,0.062,0.5540939247232965,6.079124698254854,6.126851144084871,0.8660439011263599,0.2676350423390157,0.02054233285449067,0.19429752775378586,4.894441424592367,0.6893192903440645,False,
241118n,S1,development,2.0,32.25,0.15,0.101,93.0,11.0,11.00000000000001,9.000000000000007,0.45172096403006584,0.046,0.475880600880602,7.124165011551504,7.396037008650824,0.7876663448217958,0.2676350423390157,0.01515231490967919,0.11357535310918533,4.894441424592367,0.6543474767399472,False,
241118o,S1,development,2.0,32.72,0.06,0.067,58.0,11.0,11.00000000000001,10.000000000000002,0.6644042171024405,0.045,0.18309859154929622,4.433014920074273,4.785935143946313,0.3388704318936877,0.26759119072695353,0.0022427549708815405,0.03901027293997764,4.955942907680332,0.8947918565273314,False,
241118p,S1,development,2.0,40.34,0.18,0.098,89.0,11.0,11.00000000000001,8.000000000000007,0.5766737411393301,0.057,0.311091686091687,5.077948961759777,5.401849018038348,0.8575275893489926,0.26759119072695353,0.0064742375496556195,0.11069056888732615,4.955942907680332,0.7830324415417673,False,
241118q,S1,development,2.0,51.08,0.15,0.081,74.0,11.0,11.00000000000001,7.000000000000006,0.8388342691603795,0.068,0.09790209790209817,3.0401327875383246,3.062855133631492,0.8376056067588327,0.2675034875028294,0.0006409932460090328,0.04941159803621507,5.081014082917207,0.6555473337554685,False,
241118r,S1,development,2.0,78.71,0.23,0.084,76.0,11.0,11.00000000000001,8.000000000000007,0.709077260450562,0.06,0.17121376276305905,3.704512687115905,3.849904726456513,0.6327967806841045,0.2675254133088604,0.001960570194818808,0.11869198979908464,5.049485678029316,0.7329470863863021,False,
241118s,S1,development,2.0,103.38,0.23,0.076,69.0,11.0,11.00000000000001,7.999999999999993,0.7551743145476584,0.057,0.1302123802123806,3.4074056517611897,3.284513540158126,0.45114468864468854,0.2675254133088604,0.0011339909997033176,0.1106478393594457,5.049485678029316,0.6058035453866981,False,
241118t,S1,development,2.0,154.13,0.22,0.066,57.0,11.0,11.00000000000001,9.000000000000002,0.7334322974867987,0.048,0.11889741959672073,3.401617443995628,3.2099528039383514,0.32647960006450566,0.2675034875028294,0.0009453972087194602,0.12464947081959385,5.081014082917207,0.5815174946086332,False,
241118aa,S1,development,1.0,2.18,0.27,0.34,334.0,11.0,11.00000000000001,7.000000000000006,0.5452041034569489,0.185,0.5149184149184161,1.223701534956385,0.9840906728361338,0.8261776954771067,0.0668813533272151,0.017732987165093635,0.0463748039003393,5.049485678029316,0.4759465454331829,False,
241118ab,S1,development,1.0,4.05,0.23,0.197,191.0,11.0,11.00000000000001,6.000000000000005,0.4459555684326191,0.088,0.5827834137693308,2.567277004385404,2.6824028931821955,0.9538068096799205,0.0668649089726918,0.022709764148739296,0.0457013888253576,5.1445971592615,0.7856807011918555,False,
