event,time_s,frequency_hz,T_A,S_B,separation_km,compactness,binding_proxy,inspiral_tau_s
GW150914,-0.5125489234924316,261.8343295726001,1.4506956309494754,0.7295582133268246,241.89048105885522,0.4405032025202555,0.10949757867705331,0.0007467367026550843
GW150914,-0.5086426734924316,267.59616726297935,1.4547229680253846,0.837075909201855,238.4056683845589,0.4469421062326226,0.11109812178730794,0.0007046260469908285
GW150914,-0.5047364234924316,272.60799064106,1.4211618257261411,0.9826702465218452,235.47462566700446,0.45250536555167176,0.11248100259612663,0.0006706081783873753
GW150914,-0.5008301734924316,276.5596927584716,1.3425677324871859,1.1416890407615328,233.22615199558706,0.4568678540286814,0.11356540316916704,0.0006453590022137676
GW150914,-0.49692392349243164,279.028073547404,1.3640468635587015,1.2056382719062728,231.8486487824121,0.45958228406839,0.11424013950510249,0.0006302468177581564
GW150914,-0.49301767349243164,279.7929508914893,1.3979741274103001,1.1903832072247986,231.42591553297692,0.4604217782619407,0.11444881581206537,0.0006256628186164854
GW150914,-0.48911142349243164,278.8852192373092,1.4109104222601903,1.1205760312423725,231.9278157647399,0.4594254087818228,0.11420114441054904,0.0006311080744500794
GW150914,-0.48520517349243164,276.34686657526925,1.4089577739809616,0.9930436905052478,233.34588138578482,0.4566334358797989,0.11350713294649048,0.0006466852335903528
GW150914,-0.48129892349243164,271.92747998905236,1.3913839394679033,0.8795460092750793,235.86731916358715,0.4517519932114465,0.11229373393014425,0.0006750927882525745
GW150914,-0.47739267349243164,265.2665883553573,1.3545277031974616,0.7950939711984378,239.79942368991226,0.4443444021924618,0.1104524004829228,0.000721248503326632
GW150914,-0.47348642349243164,256.77632175359224,1.2928972418843057,0.7367586038564804,245.0566660163017,0.4348118061742616,0.10808284635362803,0.000786608196559668
GW150914,-0.46958017349243164,247.763944999834,1.1868440322186966,0.7251647546985599,250.9638094382122,0.4245772799038764,0.10553881071642437,0.0008652403749563086
GW150914,-0.46567392349243164,240.13112329412218,1.0915303880888456,0.7352941176470588,256.2541267113222,0.4158119634327942,0.10335998222112538,0.0009405369388955183
GW150914,-0.46176767349243164,235.33625682900592,1.0422260190383208,0.7340737124725408,259.7231183999621,0.4102581711709744,0.10197945467520667,0.0009925098360649425
GW150914,-0.45786142349243164,233.42170497243978,1.0231876983158408,0.7183304857212595,261.14137008538296,0.40803007019053356,0.10142560702776528,0.0010143669675436971
GW150914,-0.45395517349243164,233.06383490107243,1.0388088845496704,0.6876983158408592,261.4086238485675,0.40761291650162523,0.1013219135276719,0.0010185257851424321
GW150914,-0.45004892349243164,232.47991254381628,1.0479619233585549,0.6639004149377593,261.8461627610539,0.40693180469795803,0.10115260694174195,0.0010253620519703561
GW150914,-0.44614267349243164,230.75021463540628,1.0394190871369293,0.6690261166707346,263.15306164604846,0.40491085643878905,0.10065025204455948,0.0010459865341404353
GW150914,-0.44223642349243164,228.06296099675507,1.005857944837686,0.7509153038808885,265.21616885770607,0.4017610691856388,0.09986729728828404,0.0010791762369462758
GW150914,-0.43833017349243164,225.10426652083277,0.961435196485233,0.9799853551379057,267.53504870549426,0.39827877536481693,0.09900169009305707,0.001117416618439699
GW150914,-0.43442392349243164,222.25147365979518,0.9126189895045155,1.4079814498413472,269.819543648911,0.3949066480678594,0.09816346741523063,0.001156074970261328
GW150914,-0.43051767349243164,219.54010525027945,0.8780815230656578,1.238833292653161,272.03654945165454,0.39168829254881893,0.09736346838085208,0.0011945419751951893
GW150914,-0.42661142349243164,217.40580646284502,0.8679521601171589,0.8528191359531365,273.8140592203455,0.3891455824766268,0.0967314171390226,0.0012260702630804388
GW150914,-0.42270517349243164,216.57272419892664,0.8714913351232609,0.706736636563339,274.5157900690299,0.3881508292794265,0.09648414750317999,0.001238687356936048
GW150914,-0.41879892349243164,216.6076954867744,0.8706370515010984,0.75237979009031,274.486242245149,0.3881926128393199,0.09649453380368962,0.0012381541328621564
GW150914,-0.41489267349243164,215.03085613735163,0.8485477178423236,0.9824261654869417,275.8264946690956,0.3863063687678785,0.0960256628455783,0.0012625142998106621
GW150914,-0.41098642349243164,209.7700584742543,0.8733219428850377,1.3120576031242372,280.419043385579,0.37997965572929626,0.09445300740347072,0.0013487218662464313
GW150914,-0.40708017349243164,202.9567232522876,0.8708811325360019,1.4688796680497926,286.660293529151,0.3717066296618276,0.09239654943100385,0.0014728636696909115
GW150914,-0.40317392349243164,198.24525536426225,0.8777154015133024,1.5800585794483768,291.184308805492,0.3659315709788728,0.09096102083805936,0.0015680657095349952
GW150914,-0.39926767349243164,197.1927262096678,0.8974859653404931,1.713814986575543,292.2195328464446,0.36463521287463907,0.09063878010813994,0.0015904841789970545
GW150914,-0.39536142349243164,199.91361553279572,0.9175006102025873,1.7794727849646081,289.56201302944737,0.36798173369085824,0.0914706376843661,0.0015334115620637783
GW150914,-0.39145517349243164,206.6095663904202,1.0892116182572615,1.7850866487673906,283.2715020691616,0.3761533750739795,0.0935018940751249,0.001404442381600217
GW150914,-0.38754892349243164,218.3048761544977,1.1524286062972908,1.7213814986575544,273.06175594844666,0.3902177043998353,0.09699791861725536,0.0012126511962790014
GW150914,-0.38364267349243164,235.6361571397477,1.2781303392726386,1.636807420063461,259.5027006832521,0.4106066383318673,0.10206607450032469,0.0009891448923282154
GW150914,-0.37973642349243164,256.6201364720213,1.5237979009031,1.5992189406883086,245.1560875803265,0.43463547088414917,0.1080390140109977,0.0007878855080397579
GW150914,-0.37583017349243164,276.2571006110361,1.7432267512814255,1.7501830607761777,233.39642701587402,0.45653454479979627,0.11348255120962435,0.0006472457360444026
GW150914,-0.37192392349243164,289.8796907872394,1.7064925555284356,1.481083719794972,226.02578002381136,0.4714220278517155,0.11718319024574092,0.0005692778570766313
GW150914,-0.36801767349243164,295.9992655066262,1.7481083719794972,1.0281913595313645,222.89966409572065,0.47803361210913814,0.11882665722456229,0.0005384309808941452
GW150914,-0.36411142349243164,295.49230989976394,1.7583597754454479,0.8653893092506713,223.15453355526702,0.4774876399237553,0.11869094281435505,0.0005408978336131047
GW150914,-0.36020517349243164,290.0246537841099,1.7249206736636562,0.9055406394923113,225.95045745119492,0.47157918053167197,0.11722225429303818,0.0005685193941569283
GW150914,-0.35629892349243164,281.01003864975445,1.6186233829631438,1.1537710519892603,230.75721021155405,0.4617560225654685,0.11478047406055046,0.000618462688683774
GW150914,-0.35239267349243164,269.84518366781435,1.423602636075177,1.365511349768123,237.07916499767825,0.44944283301585947,0.11171973708120515,0.0006890741225114438
GW150914,-0.34848642349243164,259.5891673412358,1.2496948987063705,0.9897485965340492,243.28320358201375,0.43798145534395844,0.10887073826304401,0.0007640836187654679
GW150914,-0.34458017349243164,253.97949381529207,1.2296802538442764,0.9333658774713205,246.85242658772887,0.4316487102780125,0.10729658341664819,0.0008099197470155052
GW150914,-0.34067392349243164,253.4445738799269,1.2294361728093728,1.1159384915792043,247.19964222310298,0.4310424182144409,0.10714587506185672,0.0008144862110751745
GW150914,-0.33676767349243164,255.13472677325956,1.2391994142055163,1.411154503295094,246.10670894681917,0.43295663097350146,0.10762169830443624,0.0008001772437915601
GW150914,-0.33286142349243164,256.31538935195744,1.3764949963387845,1.7568952892360263,245.3503685794422,0.43429130423780005,0.10795346318135328,0.0007903860086775957
GW150914,-0.32895517349243164,256.16727447629734,1.3934586282645838,1.5291676836709789,245.44493319121887,0.43412398121324514,0.10791187105230436,0.0007916052572040876
GW150914,-0.32504892349243164,255.27956944477575,1.3894312911886746,1.1906272882597022,246.01360807690983,0.4331204781659057,0.10766242643249219,0.0007989671193603813
GW150914,-0.32114267349243164,254.96178258592448,1.377349279960947,0.918232853307298,246.21798814581246,0.43276095450219093,0.10757305824985779,0.0008016254528824441
GW150914,-0.31723642349243164,256.4935804940866,1.4009030998291432,0.7468879668049793,245.23672226261866,0.43449256123838204,0.1080034904095992,0.0007889225983147502
GW150914,-0.31333017349243164,260.25630719567727,1.3926043446424212,0.6487673907737369,242.86727170465832,0.43873153767365836,0.10905718911843094,0.0007588717069677545
GW150914,-0.30942392349243164,265.4159007022906,1.377349279960947,0.585916524286063,239.70948089304898,0.4445111272554624,0.11049384397436372,0.0007201670225049872
GW150914,-0.30551767349243164,270.29245852115497,1.4405662680009763,0.5508908957773981,236.8175500634007,0.44993933742268866,0.11184315509505667,0.0006860376024939548
GW150914,-0.30161142349243164,273.0072410609856,1.476934342201611,0.5303880888454967,235.2449949505652,0.4529470715752412,0.11259079916466735,0.0006679961410752154
GW150914,-0.29770517349243164,271.9254494763769,1.4674151818403711,0.5244081034903588,235.86849333586161,0.45174974435379767,0.11229317492293175,0.0006751062310840191
GW150914,-0.29379892349243164,265.9452995053424,1.3941908713692945,0.5468635587014888,239.39125993492652,0.4451020124734514,0.11064072259017328,0.0007163504643266254
GW150914,-0.28989267349243164,255.9927964453079,1.2750793263363436,0.6113009519160362,245.55644644737654,0.4339268347753421,0.107862865602465,0.0007930448413202306
GW150914,-0.28598642349243164,244.43638248575405,1.1364412985111056,0.7737368806443738,253.2362873280625,0.42076723162329804,0.10459173233202416,0.0008970076272240827
GW150914,-0.28208017349243164,234.05092256328635,1.023675860385648,1.0887234561874544,260.67312880567556,0.40876300543054267,0.10160779556498571,0.001007111241726641
GW150914,-0.27817392349243164,227.14884004294058,0.9538686844032218,1.631437637295582,265.92723665505486,0.4006867927703317,0.09960026025964727,0.0010907963287674744
GW150914,-0.27426767349243164,224.6075603382146,0.9278740541859898,1.5921405906761046,267.92932864359574,0.39769267554628285,0.09885600100243214,0.0011240183681685573
GW150914,-0.27036142349243164,226.0445942952241,0.938979741274103,1.3155967781303393,266.7925834706028,0.39938715754192544,0.0992772049223428,0.0011050639082528313
GW150914,-0.26645517349243164,230.63304726796724,1.0126922138149865,1.0544300707835,263.2421796678558,0.4047737778954504,0.10061617790276373,0.0010474041671035548
GW150914,-0.26254892349243164,237.5537025809003,1.1938003417134488,0.8125457651940444,258.1043359305435,0.4128312342426697,0.1026190508790981,0.000967996052763258
GW150914,-0.25864267349243164,245.8651576685454,1.2922870392970467,0.7062484744935318,252.25426106152472,0.4224052791702993,0.104998908123547,0.0008831743127071157
GW150914,-0.25473642349243164,254.1809668109412,1.3955333170612643,0.7084452038076641,246.7219665956986,0.4318769545972344,0.10735331898669309,0.0008082089533719873
GW150914,-0.25083017349243164,261.0369699369595,1.4720527215035393,0.8208445203807664,242.3828139965522,0.4396084433903247,0.1092751649518725,0.0007528347851063035
GW150914,-0.24692392349243164,265.79898975621256,1.4779106663412254,1.114351964852331,239.47910090756164,0.4449387489838636,0.11060013955537593,0.0007174024586899113
GW150914,-0.24301767349243164,268.8476111417076,1.4707102758115695,1.4790090309982915,237.66526565500155,0.44833447273808036,0.11144422769552013,0.000695913473556284
GW150914,-0.23911142349243164,270.9418418838733,1.4149377593360997,1.8185257505491823,236.43900173078234,0.4506597083628211,0.11202222047583603,0.0006816616367871878
GW150914,-0.23520517349243164,272.4861429838271,1.4035879912130826,1.604344642421284,235.54481857838516,0.4523705178856726,0.11244748299210859,0.0006714081455529666
