domain,split,radial_candidate,angular_candidate,alpha,tau,linear_budget_loss,euclidean_budget_loss
recorded_bubbles,holdout,phi,three_eighths,1.618033988749895,0.375,0.5838760291655449,0.6057367142390135
recorded_bubbles,holdout,phi,phi_inverse_squared,1.618033988749895,0.38196601125010515,0.5839889563579335,0.6012246703077538
recorded_bubbles,holdout,phi,two_fifths,1.618033988749895,0.4,0.5842630364112417,0.5966568087842499
recorded_bubbles,holdout,phi,sqrt2_minus_1,1.618033988749895,0.41421356237309515,0.5844622362489065,0.5984441673825128
recorded_bubbles,holdout,octave,quarter,2.0,0.25,0.65606370059396,0.6780630405116859
recorded_bubbles,holdout,octave,third,2.0,0.3333333333333333,0.6662252775480735,0.6818070988094121
recorded_bubbles,holdout,octave,one_over_e,2.0,0.36787944117144233,0.6670682647543003,0.6856074007047571
recorded_bubbles,holdout,octave,three_eighths,2.0,0.375,0.6677766327216625,0.685854011841363
recorded_bubbles,holdout,octave,phi_inverse_squared,2.0,0.38196601125010515,0.6609941680130468,0.6860822241047095
recorded_bubbles,holdout,octave,two_fifths,2.0,0.4,0.6618523766975793,0.6866193099420681
recorded_bubbles,holdout,octave,sqrt2_minus_1,2.0,0.41421356237309515,0.6627729299307189,0.6885239657139318
recorded_bubbles,holdout,e,quarter,2.718281828459045,0.25,0.7117674666041762,0.7297342099978356
recorded_bubbles,holdout,e,third,2.718281828459045,0.3333333333333333,0.7234289052272556,0.7475005450081353
recorded_bubbles,holdout,e,one_over_e,2.718281828459045,0.36787944117144233,0.7255033700597694,0.7553671813610832
recorded_bubbles,holdout,e,three_eighths,2.718281828459045,0.375,0.7260896705935722,0.7563618036871742
recorded_bubbles,holdout,e,phi_inverse_squared,2.718281828459045,0.38196601125010515,0.7266420928670422,0.7572884565336568
recorded_bubbles,holdout,e,two_fifths,2.718281828459045,0.4,0.7286163735140024,0.7593373416923241
recorded_bubbles,holdout,e,sqrt2_minus_1,2.718281828459045,0.41421356237309515,0.7281999036339785,0.7625251274979077
recorded_qutrit,calibration,plastic,quarter,1.324717957244746,0.25,2.16111248157753,1.4420522110185576
recorded_qutrit,calibration,plastic,third,1.324717957244746,0.3333333333333333,1.8935496658771434,1.299928209728465
recorded_qutrit,calibration,plastic,one_over_e,1.324717957244746,0.36787944117144233,1.8194772921412192,1.2683467338247372
recorded_qutrit,calibration,plastic,three_eighths,1.324717957244746,0.375,1.8060146173207803,1.262760749354157
recorded_qutrit,calibration,plastic,phi_inverse_squared,1.324717957244746,0.38196601125010515,1.7931768460017206,1.2573897336960893
recorded_qutrit,calibration,plastic,two_fifths,1.324717957244746,0.4,1.7627439549712214,1.2453039380503428
recorded_qutrit,calibration,plastic,sqrt2_minus_1,1.324717957244746,0.41421356237309515,1.7401731182000901,1.2369652448188029
recorded_qutrit,calibration,sqrt2,quarter,1.4142135623730951,0.25,1.7693626688906727,1.1229865349331005
recorded_qutrit,calibration,sqrt2,third,1.4142135623730951,0.3333333333333333,1.4990638912206078,0.9443812544719368
recorded_qutrit,calibration,sqrt2,one_over_e,1.4142135623730951,0.36787944117144233,1.4241511522303019,0.9084074379743827
recorded_qutrit,calibration,sqrt2,three_eighths,1.4142135623730951,0.375,1.4101766152587942,0.9021971336156323
