genotype,meristem,plant,split,angle_deg,u_ara,position_ara,heldout
e1e2,4,8,confirmation,128.152,0.711955555556,0.938316666667,True
e1e2,5,8,confirmation,158.815,0.882305555556,1.82062222222,True
e1e2,1,9,development,89.242,0.495788888889,0.495788888889,False
e1e2,2,9,development,187.534,1.04185555556,1.53764444444,False
e1e2,3,9,development,252.778,1.40432222222,0.941966666667,True
e1e2,4,9,development,191.483,1.06379444444,0.00576111111111,True
e1e2,5,9,development,83.381,0.463227777778,0.468988888889,True
e1e2,6,9,development,180.814,1.00452222222,1.47351111111,True
e1e2,1,10,confirmation,106.813,0.593405555556,0.593405555556,False
e1e2,2,10,confirmation,192.777,1.07098333333,1.66438888889,False
e1e2,3,10,confirmation,102.489,0.569383333333,0.233772222222,True
e1e2,4,10,confirmation,191.827,1.06570555556,1.29947777778,True
e1e2,5,10,confirmation,231.692,1.28717777778,0.586655555556,True
e1e2,6,10,confirmation,189.971,1.05539444444,1.64205,True
e1e2,7,10,confirmation,244.322,1.35734444444,0.999394444444,True
e1e2,1,11,development,93.657,0.520316666667,0.520316666667,False
e1e2,2,11,development,88.261,0.490338888889,1.01065555556,False
e1e2,3,11,development,100.189,0.556605555556,1.56726111111,True
e1e2,4,11,development,118.872,0.6604,0.227661111111,True
e1e2,5,11,development,94.635,0.52575,0.753411111111,True
e1e2,6,11,development,95.863,0.532572222222,1.28598333333,True
e1e2,7,11,development,106.054,0.589188888889,1.87517222222,True
e1e2,1,12,confirmation,131.445,0.73025,0.73025,False
e1e2,2,12,confirmation,129.776,0.720977777778,1.45122777778,False
e1e2,3,12,confirmation,152.466,0.847033333333,0.298261111111,True
e1e2,4,12,confirmation,129.285,0.71825,1.01651111111,True
e1e2,5,12,confirmation,145.262,0.807011111111,1.82352222222,True
e1e2,6,12,confirmation,140.163,0.778683333333,0.602205555556,True
e1e2,7,12,confirmation,123.873,0.688183333333,1.29038888889,True
e2,1,1,development,154.314,0.8573,0.8573,False
e2,2,1,development,134.213,0.745627777778,1.60292777778,False
e2,3,1,development,149.543,0.830794444444,0.433722222222,True
e2,1,2,confirmation,129.741,0.720783333333,0.720783333333,False
e2,2,2,confirmation,132.358,0.735322222222,1.45610555556,False
e2,3,2,confirmation,153.871,0.854838888889,0.310944444444,True
e2,4,2,confirmation,123.114,0.683966666667,0.994911111111,True
e2,5,2,confirmation,139.274,0.773744444444,1.76865555556,True
e2,1,3,development,119.513,0.663961111111,0.663961111111,False
e2,2,3,development,144.442,0.802455555556,1.46641666667,False
e2,3,3,development,138.964,0.772022222222,0.238438888889,True
e2,4,3,development,137.285,0.762694444444,1.00113333333,True
e2,5,3,development,138.943,0.771905555556,1.77303888889,True
e2,6,3,development,157.511,0.875061111111,0.6481,True
e2,7,3,development,114.334,0.635188888889,1.28328888889,True
e2,1,4,confirmation,177.461,0.985894444444,0.985894444444,False
e2,2,4,confirmation,64.448,0.358044444444,1.34393888889,False
e2,3,4,confirmation,192.312,1.0684,0.412338888889,True
e2,4,4,confirmation,229.269,1.27371666667,1.68605555556,True
e2,5,4,confirmation,265.169,1.47316111111,1.15921666667,True
e2,6,4,confirmation,66.218,0.367877777778,1.52709444444,True
e2,1,5,development,143.825,0.799027777778,0.799027777778,False
e2,2,5,development,129.833,0.721294444444,1.52032222222,False
e2,3,5,development,145.417,0.807872222222,0.328194444444,True
e2,4,5,development,132.676,0.737088888889,1.06528333333,True
e2,5,5,development,140.476,0.780422222222,1.84570555556,True
e2,6,5,development,147.699,0.82055,0.666255555556,True
e2,7,5,development,120.483,0.66935,1.33560555556,True
e2,8,5,development,145.433,0.807961111111,0.143566666667,True
e2,1,6,confirmation,126.832,0.704622222222,0.704622222222,False
