horizon_bins,horizon_us,run,field_G,model,rmse_log_rate,parent_rmse_log_rate,improvement_fraction
1,0.016,EMU00069998,140.0,M3 + environment,0.0572990222877795,0.08379254293584089,0.31617993343807704
1,0.016,EMU00070004,176.0,M3 + environment,0.056320356220788174,0.08420157725029605,0.331124688396616
1,0.016,EMU00070010,212.0,M3 + environment,0.0582994339318159,0.08352108647657892,0.30197945942472515
1,0.016,EMU00070016,248.0,M3 + environment,0.057127679093290924,0.0837194065227551,0.317629191772119
1,0.016,EMU00070022,284.0,M3 + environment,0.05911047212650077,0.08406275623813764,0.2968292407751971
1,0.016,EMU00070028,320.0,M3 + environment,0.054342816981209116,0.08382451253536473,0.35170733073714655
1,0.016,EMU00070034,356.0,M3 + environment,0.05511685826388297,0.08540664878048133,0.35465377636408013
1,0.016,EMU00070040,392.0,M3 + environment,0.0571359119710241,0.08348479124292396,0.31561292637397775
1,0.016,EMU00070046,428.0,M3 + environment,0.051786048619782546,0.0843618022158207,0.3861434054324777
1,0.016,EMU00070052,464.0,M3 + environment,0.05901264011984296,0.08413408332200749,0.2985881846007271
1,0.016,EMU00070058,500.0,M3 + environment,0.055400386878554995,0.08368958397682016,0.33802530439272516
1,0.016,EMU00069986,68.0,M4 full lock,0.056556588975625245,0.0841738718447761,0.32809804591238845
1,0.016,EMU00069992,104.0,M4 full lock,0.06382935168056314,0.08456660015416087,0.24521795171846472
1,0.016,EMU00069998,140.0,M4 full lock,0.057315546033688346,0.08379254293584089,0.31598273515133335
1,0.016,EMU00070004,176.0,M4 full lock,0.05630359066679763,0.08420157725029605,0.3313238005099284
1,0.016,EMU00070010,212.0,M4 full lock,0.05832041343166986,0.08352108647657892,0.301728271362656
1,0.016,EMU00070016,248.0,M4 full lock,0.057117637955355384,0.0837194065227551,0.3177491297692048
1,0.016,EMU00070022,284.0,M4 full lock,0.05909299050166934,0.08406275623813764,0.29703719999059464
1,0.016,EMU00070028,320.0,M4 full lock,0.054328564185772484,0.08382451253536473,0.3518773620920038
1,0.016,EMU00070034,356.0,M4 full lock,0.055119414977513326,0.08540664878048133,0.3546238405960005
1,0.016,EMU00070040,392.0,M4 full lock,0.05712790398160173,0.08348479124292396,0.315708847910142
1,0.016,EMU00070046,428.0,M4 full lock,0.05178093842438844,0.0843618022158207,0.3862039801862156
1,0.016,EMU00070052,464.0,M4 full lock,0.05900353530167025,0.08413408332200749,0.2986964025525156
1,0.016,EMU00070058,500.0,M4 full lock,0.055393980416304354,0.08368958397682016,0.33810185468663523
4,0.064,EMU00069986,68.0,M0 parent,0.08222544567844473,0.08222544567844473,0.0
4,0.064,EMU00069992,104.0,M0 parent,0.08263646737205393,0.08263646737205393,0.0
4,0.064,EMU00069998,140.0,M0 parent,0.08184399086049272,0.08184399086049272,0.0
4,0.064,EMU00070004,176.0,M0 parent,0.08232450214206602,0.08232450214206602,0.0
4,0.064,EMU00070010,212.0,M0 parent,0.08156774663489143,0.08156774663489143,0.0
4,0.064,EMU00070016,248.0,M0 parent,0.08185685930797723,0.08185685930797723,0.0
4,0.064,EMU00070022,284.0,M0 parent,0.08215093950721193,0.08215093950721193,0.0
4,0.064,EMU00070028,320.0,M0 parent,0.08187001214671888,0.08187001214671888,0.0
4,0.064,EMU00070034,356.0,M0 parent,0.08343861330640764,0.08343861330640764,0.0
4,0.064,EMU00070040,392.0,M0 parent,0.08157420136830795,0.08157420136830795,0.0
4,0.064,EMU00070046,428.0,M0 parent,0.08236866822548086,0.08236866822548086,0.0
4,0.064,EMU00070052,464.0,M0 parent,0.08228209742032659,0.08228209742032659,0.0
4,0.064,EMU00070058,500.0,M0 parent,0.0817495286394,0.0817495286394,0.0
4,0.064,EMU00069986,68.0,M1 + spin,0.08213520593529017,0.08222544567844473,0.0010974673643905364
4,0.064,EMU00069992,104.0,M1 + spin,0.08306099175205466,0.08263646737205393,-0.005137252274947546
4,0.064,EMU00069998,140.0,M1 + spin,0.08220521821247187,0.08184399086049272,-0.004413608722904083
4,0.064,EMU00070004,176.0,M1 + spin,0.08223641256107139,0.08232450214206602,0.0010700287120183338
4,0.064,EMU00070010,212.0,M1 + spin,0.08138376495867873,0.08156774663489143,0.002255568944870112
4,0.064,EMU00070016,248.0,M1 + spin,0.08189406699614557,0.08185685930797723,-0.00045454575808179243
4,0.064,EMU00070022,284.0,M1 + spin,0.08221268160978272,0.08215093950721193,-0.0007515690379338302
4,0.064,EMU00070028,320.0,M1 + spin,0.08182085509840559,0.08187001214671888,0.0006004280080622593
4,0.064,EMU00070034,356.0,M1 + spin,0.08342409377759781,0.08343861330640764,0.00017401450281195885
4,0.064,EMU00070040,392.0,M1 + spin,0.0817089490344156,0.08157420136830795,-0.0016518416833681826
4,0.064,EMU00070046,428.0,M1 + spin,0.0825484584577238,0.08236866822548086,-0.0021827502631310836
4,0.064,EMU00070052,464.0,M1 + spin,0.08233039775437631,0.08228209742032659,-0.0005870090282578122
4,0.064,EMU00070058,500.0,M1 + spin,0.08176018390394234,0.0817495286394,-0.0001303403789560953
4,0.064,EMU00069986,68.0,M2 + strength,0.05628558628237924,0.08222544567844473,0.31547240859608483
4,0.064,EMU00069992,104.0,M2 + strength,0.061818816422776444,0.08263646737205393,0.25191845212296216
4,0.064,EMU00069998,140.0,M2 + strength,0.056341558966391155,0.08184399086049272,0.31159809811293016
4,0.064,EMU00070004,176.0,M2 + strength,0.055393170052652735,0.08232450214206602,0.32713628857345933
4,0.064,EMU00070010,212.0,M2 + strength,0.058013557322858136,0.08156774663489143,0.28876841991804825
4,0.064,EMU00070016,248.0,M2 + strength,0.057250512639329884,0.08185685930797723,0.30060213495449095
4,0.064,EMU00070022,284.0,M2 + strength,0.05978332444115723,0.08215093950721193,0.2722746106158783
4,0.064,EMU00070028,320.0,M2 + strength,0.054018026968395486,0.08187001214671888,0.34019764316646217
4,0.064,EMU00070034,356.0,M2 + strength,0.05496836138687155,0.08343861330640764,0.34121194961601464
4,0.064,EMU00070040,392.0,M2 + strength,0.0591094682433975,0.08157420136830795,0.2753901692948493
4,0.064,EMU00070046,428.0,M2 + strength,0.052643291072764005,0.08236866822548086,0.36088209015769024
4,0.064,EMU00070052,464.0,M2 + strength,0.060363981272460863,0.08228209742032659,0.26637770347418466
4,0.064,EMU00070058,500.0,M2 + strength,0.057635877412046344,0.0817495286394,0.29496991149294327
