x_e_child,charged_parent,joint_neutral_parent,nu_e_parent_mean,anti_nu_mu_parent_mean,pair_mass_parent,nu_e_internal_ara,anti_nu_mu_internal_ara,probability_anti_nu_mu_heavier
0.32499999999999996,0.16249999999999998,0.8375,0.3954122340425531,0.4420877659574469,0.3375,0.9442680215941567,1.0557319784058434,0.7154255319148924
0.32999999999999996,0.16499999999999998,0.835,0.39387820512820493,0.44112179487179504,0.335,0.943420850606479,1.056579149393521,0.714743589743589
0.33499999999999996,0.16749999999999998,0.8325,0.3923471030042914,0.44015289699570864,0.3325,0.9425756228331325,1.0574243771668677,0.7140557939914165
0.33999999999999997,0.16999999999999998,0.8300000000000001,0.390818965517241,0.4391810344827591,0.33,0.9417324470294963,1.0582675529705037,0.7133620689655165
0.3449999999999999,0.17249999999999996,0.8275,0.38929383116883093,0.4382061688311691,0.3275,0.9408914348491382,1.0591085651508618,0.7126623376623374
0.3499999999999999,0.17499999999999996,0.8250000000000001,0.3877717391304343,0.4372282608695658,0.32500000000000007,0.9400527009222649,1.0599472990777352,0.7119565217391302
0.3549999999999999,0.17749999999999996,0.8225,0.38625272925764165,0.43624727074235836,0.3225,0.9392163629365147,1.0607836370634853,0.7112445414847156
0.35999999999999993,0.17999999999999997,0.8200000000000001,0.38473684210526304,0.435263157894737,0.32000000000000006,0.9383825417201537,1.0616174582798463,0.7105263157894737
0.36499999999999994,0.18249999999999997,0.8175,0.383224118942731,0.434275881057269,0.3175,0.9375513613277823,1.0624486386722176,0.7098017621145367
0.36999999999999994,0.18499999999999997,0.8150000000000001,0.3817146017699112,0.4332853982300889,0.31500000000000006,0.9367229491286163,1.0632770508713836,0.7090707964601768
0.37499999999999994,0.18749999999999997,0.8125,0.3802083333333331,0.4322916666666669,0.3125,0.9358974358974353,1.0641025641025648,0.7083333333333329
0.37999999999999995,0.18999999999999997,0.81,0.3787053571428569,0.43129464285714314,0.31000000000000005,0.9350749559082886,1.0649250440917113,0.7075892857142855
0.38499999999999995,0.19249999999999998,0.8075,0.3772057174887889,0.4302942825112111,0.3075,0.9342556470310561,1.0657443529689439,0.706838565022421
0.38999999999999996,0.19499999999999998,0.805,0.3757094594594591,0.42929054054054094,0.30500000000000005,0.9334396508309543,1.0665603491690459,0.7060810810810805
0.39499999999999996,0.19749999999999998,0.8025,0.3742166289592757,0.4282833710407243,0.3025,0.9326271126710921,1.067372887328908,0.7053167420814477
0.3999999999999999,0.19999999999999996,0.8,0.37272727272727246,0.4272727272727276,0.30000000000000004,0.9318181818181811,1.0681818181818188,0.7045454545454544
0.4049999999999999,0.20249999999999996,0.7975000000000001,0.371241438356164,0.4262585616438361,0.29750000000000004,0.9310130115515084,1.0689869884484915,0.703767123287671
0.4099999999999999,0.20499999999999996,0.795,0.3697591743119264,0.42524082568807364,0.29500000000000004,0.9302117592752865,1.0697882407247135,0.7029816513761465
0.4149999999999999,0.20749999999999996,0.7925,0.36828052995391686,0.4242194700460831,0.29250000000000004,0.9294145866344905,1.0705854133655095,0.7021889400921654
0.41999999999999993,0.20999999999999996,0.79,0.3668055555555554,0.42319444444444465,0.29000000000000004,0.9286216596343174,1.0713783403656827,0.7013888888888887
0.42499999999999993,0.21249999999999997,0.7875000000000001,0.3653343023255811,0.42216569767441897,0.28750000000000003,0.9278331487633805,1.0721668512366196,0.7005813953488375
0.42999999999999994,0.21499999999999997,0.785,0.3638668224299065,0.42113317757009355,0.28500000000000003,0.9270492291207808,1.0729507708792192,0.6997663551401865
0.43499999999999994,0.21749999999999997,0.7825,0.3624031690140843,0.42009683098591566,0.28250000000000003,0.9262700805471804,1.0737299194528196,0.6989436619718304
0.43999999999999995,0.21999999999999997,0.78,0.36094339622641486,0.41905660377358517,0.28,0.9254958877600381,1.074504112239962,0.6981132075471697
