split,hours_before,windows,ara_A_median,ara_A_q25,ara_A_q75,ara_B_median,ara_B_q25,ara_B_q75,dominance_median,dominance_q25,dominance_q75,resolved_fraction_median,resolved_fraction_q25,resolved_fraction_q75,share_unstereotyped_median,share_unstereotyped_q25,share_unstereotyped_q75,share_on_edge_median,share_on_edge_q25,share_on_edge_q75
holdout,22.5,172,0.9610419055275422,0.6858881566375001,1.2254109513574167,0.7612065082238633,0.6103263933677582,0.9638390496116866,0.3056553310309097,-0.40132316243616895,0.9332408354324746,0.9033333333333332,0.8645833333333333,0.9570833333333334,0.0908333333333333,0.0416666666666666,0.1333333333333333,0.0,0.0,0.005
holdout,25.5,161,1.0539959834970454,0.8107734253917156,1.276466614546512,0.6777307286426657,0.5923581952261053,0.8781489976573266,0.6269767038165165,0.09244647592312677,1.2007039371857662,0.9266666666666666,0.8816666666666667,0.9616666666666668,0.0683333333333333,0.0383333333333333,0.1133333333333333,0.0,0.0,0.0033333333333333
holdout,28.5,161,1.069137451368234,0.7978121826789432,1.3736479658294853,0.8069448959754536,0.6580252348828418,0.9604083255928509,0.5136849782989008,-0.09807758338910222,1.1787089360132068,0.9216666666666666,0.8716666666666667,0.97,0.0733333333333333,0.0266666666666666,0.1216666666666666,0.0,0.0,0.0016666666666666
holdout,31.5,176,1.1823806100369296,0.8370069348056297,1.5017061778508343,0.8223607032749713,0.6552637254113787,1.052392534437601,0.41242273279936525,-0.31274317900505866,1.3175977121268552,0.9191666666666667,0.8679166666666667,0.9683333333333334,0.08,0.0316666666666666,0.12874999999999998,0.0,0.0,0.0016666666666666
holdout,34.5,117,1.0992857728457117,0.7311601113721043,1.3883489199881969,0.7091509269336794,0.597536468188423,0.9122870450695246,0.5715753715584171,-0.2566490341691311,1.2785851707007039,0.9333333333333332,0.8866666666666667,0.9783333333333334,0.0666666666666666,0.0216666666666666,0.1083333333333333,0.0,0.0,0.0
holdout,37.5,154,1.15972805048541,0.9172769262471225,1.492432715451821,0.8588848917768348,0.682159858306329,1.0973451473226215,0.47296811058212573,-0.3501146771462892,1.2864214879251061,0.9233333333333332,0.8470833333333334,0.9712500000000001,0.07583333333333331,0.025833333333333326,0.1383333333333333,0.0,0.0,0.0033333333333333
holdout,40.5,186,1.1744239571555029,0.8970289973945691,1.4251580778100412,0.871733049981691,0.6770961923530552,1.1388374086836355,0.5796272884560214,-0.3413065375376495,1.1591922389776446,0.9008333333333334,0.8520833333333333,0.9633333333333334,0.09749999999999995,0.03416666666666662,0.14124999999999996,0.0,0.0,0.0033333333333333
holdout,43.5,139,1.2254161236099206,0.8813178869195308,1.4968967034153007,0.9260179767355996,0.644234864360174,1.2621513680517848,0.5109283479086509,-0.6032274515483714,1.2241688099294097,0.9033333333333332,0.8483333333333334,0.975,0.0933333333333333,0.023333333333333303,0.14833333333333332,0.0,0.0,0.0016666666666666
holdout,46.5,132,1.1011234038099043,0.775745637045437,1.4026053553605453,0.8811931858609954,0.6665107183060686,1.2200496428778558,0.25891195222366364,-0.7208953912308456,1.1453327326951241,0.8858333333333334,0.8320833333333334,0.94875,0.1116666666666666,0.05,0.16374999999999998,0.0,0.0,0.0033333333333333
holdout,49.5,135,1.1092844729720273,0.8441943118108021,1.4166163872743645,0.9028702524800459,0.6505661278003978,1.2139853948037644,0.3539493325117853,-0.6214317898475048,1.2017321170419408,0.8966666666666666,0.8483333333333334,0.9558333333333333,0.095,0.044166666666666646,0.14749999999999996,0.0,0.0,0.0016666666666666
holdout,52.5,129,1.1816881919103366,0.8758357995548404,1.3872692129115292,0.8921841932397635,0.7074758009204671,1.1776299607065828,0.5394320475143077,-0.3496219990208803,1.0752592919010477,0.8983333333333333,0.865,0.95,0.0983333333333333,0.05,0.1333333333333333,0.0,0.0,0.0016666666666666
holdout,55.5,136,1.1181530971488445,0.75026636353805,1.3845372413640453,0.884724444442659,0.6468548116615161,1.3077084594038573,0.45703104688049967,-0.9513184564510399,1.1242510507614691,0.9033333333333332,0.855,0.9529166666666666,0.0958333333333333,0.03249999999999997,0.1416666666666666,0.0,0.0,0.0016666666666666
holdout,58.5,137,1.1655672218188429,0.7844675106723319,1.4657647101060554,0.8350270380151229,0.6391485672315118,1.0971044496687972,0.5285362252147462,-0.7615374369457645,1.226881042100708,0.9133333333333332,0.8616666666666667,0.9766666666666668,0.085,0.0233333333333333,0.1333333333333333,0.0,0.0,0.0016666666666666
holdout,61.5,124,1.3180158935952488,0.9067333840176272,1.5229075954748295,0.8112362905374055,0.6147461274814368,1.0745246352425657,0.7102290150192914,-0.04812719801781663,1.4109605347092247,0.9441666666666666,0.88,0.98,0.054166666666666655,0.02,0.11583333333333333,0.0,0.0,0.0
holdout,64.5,132,1.2609569276628236,0.9768979370720329,1.5362264765056177,0.845340369762576,0.6692506571160156,1.0937113282457616,0.7435992652545338,-0.15502217162046064,1.4383311156767884,0.9375,0.875,0.9770833333333334,0.062499999999999944,0.022916666666666627,0.12,0.0,0.0,0.00041666666666665
holdout,67.5,136,1.1328495516380939,0.8475545665378529,1.3286121540059397,0.980935326138454,0.7584753985748023,1.2631716284951513,0.21851743253744377,-0.8035352467924499,0.76287357564839,0.8966666666666666,0.8516666666666667,0.9570833333333334,0.1033333333333333,0.042916666666666624,0.1470833333333333,0.0,0.0,0.00041666666666665
holdout,70.5,142,0.9919796340044065,0.7144168223912782,1.2729344720700104,1.138163684740862,0.8011917842374547,1.4239314995687633,-0.112551541770779,-1.3220464555132136,0.6920766997607699,0.88,0.8304166666666666,0.9445833333333333,0.11916666666666664,0.05541666666666665,0.15958333333333333,0.0,0.0,0.0016666666666666
holdout,73.5,149,1.0727822820721662,0.7577423059268201,1.3352831048644607,1.178591088579012,0.8110420223204695,1.4774157808007322,-0.229682848838889,-1.1009350866742171,0.9737593625174006,0.8683333333333333,0.8383333333333334,0.925,0.1283333333333333,0.075,0.1583333333333333,0.0,0.0,0.0016666666666666
