event,method,time_s,M,C,speed_rank,display_shift_ms,selected_pair_lag_ms
GW170814,T427 direct,-0.011267578124999567,0.13386749401197368,0.4341073997030941,0.6774193548387096,0,-4
GW170814,T427 direct,-0.007267578124999563,0.13291160075353523,0.4341073997030941,0.04838709677419355,0,-4
GW170814,T427 direct,-0.0032675781249995595,0.13291160075353523,0.4341073997030941,0.021505376344086023,0,-4
GW170814,T427 direct,0.0007324218750004441,0.13291160075353523,0.4341073997030941,0.41397849462365593,0,-4
GW170814,T427 direct,0.004732421875000448,0.13386749401197368,0.40457480504937493,0.7634408602150538,0,-4
GW170814,T427 direct,0.008732421875000451,0.13496836313468716,0.35736850209639154,0.8333333333333334,0,-4
GW170814,T427 direct,0.012732421875000455,0.13549574015207408,0.30291491323844627,0.8709677419354839,0,-4
GW170814,T427 direct,0.01673242187500046,0.13595160099201634,0.24678902598407454,0.8172043010752689,0,-4
GW170814,T427 direct,0.020732421875000462,0.14559394232604247,0.20528041858026042,0.7526881720430108,0,-4
GW170814,T427 direct,0.024732421875000465,0.1460980087731024,0.17198461274203275,0.7150537634408602,0,-4
GW170814,T427 direct,0.02873242187500047,0.15397318119533407,0.13638442599655023,0.6344086021505376,0,-4
GW170814,T427 direct,0.03273242187500047,0.1675537995301614,0.1181021278819737,0.3225806451612903,0,-4
GW170814,T427 direct,0.036732421875000476,0.1675537995301614,0.11784370782391294,0.0967741935483871,0,-4
GW170814,T427 direct,0.04073242187500048,0.1675537995301614,0.11471726262639732,0.3279569892473118,0,-4
GW170814,T427 direct,0.04473242187500048,0.19053263329051073,0.11471726262639732,0.0913978494623656,0,-4
GW170814,T427 direct,0.04873242187500049,0.1675537995301614,0.11784370782391294,0.3333333333333333,0,-4
GW170814,T427 direct,0.05273242187500049,0.1675537995301614,0.1181021278819737,0.1935483870967742,0,-4
GW170814,T427 direct,0.056732421875000494,0.15086269023281781,0.12231327991939872,0.6397849462365591,0,-4
GW170814,T427 direct,0.0607324218750005,0.15086269023281781,0.17488077613234737,0.6182795698924731,0,-4
GW170814,T427 direct,0.0647324218750005,0.1484765982583985,0.17488077613234737,0.6021505376344086,0,-4
GW170814,T427 direct,0.0687324218750005,0.1014992247304706,0.17488077613234737,0.5806451612903226,0,-4
GW170814,T427 direct,0.07273242187500051,0.1014992247304706,0.17488077613234737,0.15053763440860216,0,-4
GW170814,T427 direct,0.07673242187500051,0.11310855362931635,0.17371742603982632,0.7043010752688172,0,-4
GW170814,T427 direct,0.08073242187500052,0.11310855362931635,0.10726743001719916,0.6827956989247311,0,-4
GW170814,T427 direct,0.08473242187500052,0.10564918827721119,0.10726743001719916,0.11290322580645161,0,-4
GW170814,T427 direct,0.08873242187500052,0.10490882735751206,0.10726743001719916,0.021505376344086023,0,-4
GW170814,T427 direct,0.09273242187500053,0.10564918827721119,0.10726743001719916,0.23655913978494625,0,-4
GW170814,T427 direct,0.09673242187500053,0.11310855362931635,0.12491494608343334,0.42473118279569894,0,-4
GW170814,T427 direct,0.10073242187500053,0.1151709131824209,0.13596832885171645,0.25806451612903225,0,-4
GW170814,T427 direct,0.10473242187500054,0.10775833023120573,0.14496187472119212,0.3870967741935484,0,-4
GW170814,T427 direct,0.10873242187500054,0.10986831203422014,0.16110240194986267,0.5913978494623656,0,-4
GW170814,T427 direct,0.11273242187500054,0.13452127606015896,0.18457014196633809,0.6236559139784946,0,-4
GW170814,T427 direct,0.11673242187500055,0.13883600755475117,0.20524501220201025,0.489247311827957,0,-4
GW170814,T427 direct,0.12073242187500055,0.13883600755475117,0.2201605858861394,0.5860215053763441,0,-4
GW170814,T427 direct,0.12473242187500055,0.13319367682490746,0.2526590956672553,0.8387096774193549,0,-4
GW170814,T427 direct,0.12873242187500056,0.12668020939871408,0.3217506616705837,0.9731182795698925,0,-4
GW170814,T427 direct,0.13273242187500056,0.13319367682490746,0.43536785113156407,0.9946236559139785,0,-4
GW170814,T427 direct,0.13673242187500056,0.13380897821312182,0.536758671696919,0.9032258064516129,0,-4
GW170814,T427 direct,0.14073242187500057,0.13380897821312182,0.5729752294518509,0.5,0,-4
GW170814,T427 direct,0.14473242187500057,0.13319367682490746,0.5729752294518509,0.021505376344086023,0,-4
GW170814,T427 direct,0.14873242187500058,0.13380897821312182,0.5729752294518509,0.10752688172043011,0,-4
GW170814,T427 direct,0.15273242187500058,0.13815504888159974,0.5729752294518509,0.21505376344086022,0,-4
GW170814,T427 direct,0.15673242187500058,0.13815504888159974,0.5550673146255011,0.7741935483870968,0,-4
