rung,signal,window,bin_left_k,bin_right_k,frequency,period,power_fraction,normalized_mean_power
r9,p29_connection_residual,hann,256,262,2.5898262489981836e-05,38612.628950950966,7.430768068829413e-07,0.5307691477735295
r9,p29_connection_residual,hann,263,270,2.6647701589442942e-05,37526.688620536464,1.3856668572739892e-06,0.8660417857962432
r9,p29_connection_residual,hann,271,279,2.7497090755205357e-05,36367.48370591512,8.043722286626135e-07,0.4468734603681186
r9,p29_connection_residual,hann,280,287,2.834783942384322e-05,35276.05702319963,5.652400194378641e-07,0.353275012148665
r9,p29_connection_residual,hann,288,296,2.9197260145431454e-05,34249.78902194944,1.1490430818682183e-06,0.6383572677045657
r9,p29_connection_residual,hann,297,305,3.0097342075339476e-05,33225.525280498405,9.652675711702088e-07,0.5362597617612271
r9,p29_connection_residual,hann,306,315,3.104673895918861e-05,32209.50198069158,8.763820416725624e-07,0.43819102083628114
r9,p29_connection_residual,hann,316,324,3.199749990233612e-05,31252.441692389555,5.581247830294391e-07,0.3100693239052439
r9,p29_connection_residual,hann,325,334,3.2946927019071145e-05,30351.844328946238,1.7425101534692545e-06,0.8712550767346272
r9,p29_connection_residual,hann,335,344,3.394701754204631e-05,29457.668814687877,1.113884456752085e-06,0.5569422283760425
r9,p29_connection_residual,hann,345,355,3.499642838919423e-05,28574.344469642157,1.371556101691481e-06,0.6234345916779459
r9,p29_connection_residual,hann,356,366,3.609653723004466e-05,27703.488388012414,1.998822936947918e-06,0.9085558804308718
r9,p29_connection_residual,hann,367,377,3.719663963317117e-05,26884.148940922645,1.0628647209964806e-06,0.48312032772567304
r9,p29_connection_residual,hann,378,389,3.8346055859762164e-05,26078.30134231183,1.969447042448371e-06,0.8206029343534877
r9,p29_connection_residual,hann,390,401,3.9546175542016704e-05,25286.895288712003,8.968818530723617e-07,0.373700772113484
r9,p29_connection_residual,hann,402,413,4.074628817450738e-05,24542.112786254795,1.976784545064756e-06,0.8236602271103151
r9,p29_connection_residual,hann,414,425,4.194639436232869e-05,23839.95132840505,2.3059504893908446e-06,0.9608127039128519
r9,p29_connection_residual,hann,426,438,4.3195833132375164e-05,23150.381124389118,1.5682472798340233e-06,0.6031720307053935
r9,p29_connection_residual,hann,439,452,4.454525788453806e-05,22449.07870085777,1.8200826495114675e-06,0.6500295176826669
r9,p29_connection_residual,hann,453,466,4.5945402381522357e-05,21764.96337318324,1.975323725406635e-06,0.7054727590737981
r9,p29_connection_residual,hann,467,480,4.7345538332560964e-05,21121.314388187442,2.4735185703622065e-06,0.8833994894150737
r9,p29_connection_residual,hann,481,495,4.879497924991874e-05,20493.91177887765,2.4264256999401108e-06,0.8088085666467036
r9,p29_connection_residual,hann,496,510,5.02951289887997e-05,19882.64112460456,2.6747289537412477e-06,0.8915763179137491
r9,p29_connection_residual,hann,511,526,5.184457541537012e-05,19288.421054433686,1.1796790961801888e-06,0.368649717556309
r9,p29_connection_residual,hann,527,542,5.344473781393262e-05,18710.916002273058,1.8879210808569131e-06,0.5899753377677853
r9,p29_connection_residual,hann,543,558,5.504489077107884e-05,18166.99035990113,2.7900821967654632e-06,0.8719006864892073
r9,p29_connection_residual,hann,559,575,5.6694355980114984e-05,17638.440065369836,4.3788322988123135e-06,1.2878918525918568
r9,p29_connection_residual,hann,576,593,5.844381917705242e-05,17110.449215691286,1.5231849026209037e-06,0.42310691739469547
r9,p29_connection_residual,hann,594,611,6.024400385100579e-05,16599.162341088402,2.421297610464963e-06,0.6725826695736009
r9,p29_connection_residual,hann,612,630,6.209347791837723e-05,16104.75099034579,2.725710591575138e-06,0.7172922609408258
r9,p29_connection_residual,hann,631,649,6.39936715621162e-05,15626.545181570622,3.2769579396843147e-06,0.8623573525485039
r9,p29_connection_residual,hann,650,669,6.594315734024267e-05,15164.575679025564,1.3663401636903512e-06,0.3415850409225878
r9,p29_connection_residual,hann,670,690,6.79926466612383e-05,14707.472779848216,3.0332420684448026e-06,0.7222004924868577
r9,p29_connection_residual,hann,691,711,7.00928669694713e-05,14266.786953307908,3.4522722401918717e-06,0.8219695809980647
r9,p29_connection_residual,hann,712,732,7.219307446008932e-05,13851.744194006207,3.7882282358691003e-06,0.9019591037783572
r9,p29_connection_residual,hann,733,755,7.43918678351337e-05,13442.329505910338,1.9429873940349957e-06,0.42238856392065116
r9,p29_connection_residual,hann,756,778,7.669211171952433e-05,13039.150671155914,3.4078613962659757e-06,0.7408394339708643
r9,p29_connection_residual,hann,779,802,7.904163459848233e-05,12651.560219874309,3.1305338359549474e-06,0.6521945491572807
r9,p29_connection_residual,hann,803,826,8.144188111776398e-05,12278.694773196754,3.6186896726632314e-06,0.7538936818048398
r9,p29_connection_residual,hann,827,852,8.394069334953101e-05,11913.172980785095,4.247258464977651e-06,0.8167804740341635
r9,p29_connection_residual,hann,853,878,8.654097295501131e-05,11555.220213665198,4.145370643908121e-06,0.7971866622900232
r9,p29_connection_residual,hann,879,905,8.9190526402752e-05,11211.953111302018,7.900302125790036e-06,1.46301891218334
r9,p29_connection_residual,hann,906,932,9.189080476304471e-05,10882.48168659162,4.761272979156078e-06,0.8817172183622366
r9,p29_connection_residual,hann,933,961,9.468965096566785e-05,10560.816201155663,4.0012909633175514e-06,0.6898777522961295
r9,p29_connection_residual,hann,962,990,9.758995849983747e-05,10246.955889438825,4.252660809013232e-06,0.7332173808643504
r9,p29_connection_residual,hann,991,1021,0.0001005888164757892,9941.463027758069,5.787711909986079e-06,0.9335019209654964
r9,p29_connection_residual,hann,1022,1052,0.00010368915083074023,9644.210527216843,7.6105768812381695e-06,1.2275124001997046
r9,p29_connection_residual,hann,1053,1084,0.00010683875701261225,9359.89923471265,5.415478187508076e-06,0.8461684667981368
r9,p29_connection_residual,hann,1085,1117,0.00011008837359140157,9083.611351290821,6.64957559802362e-06,1.007511454246003
r9,p29_connection_residual,hann,1118,1151,0.00011343800068760027,8815.388088105721,3.9405172322940005e-06,0.5794878282785295
r9,p29_connection_residual,hann,1152,1187,0.0001169369060647664,8551.620131339394,6.118603843151138e-06,0.8498060893265468
r9,p29_connection_residual,hann,1188,1223,0.00012053729713246435,8296.187352708357,6.280265753685046e-06,0.8722591324562563
r9,p29_connection_residual,hann,1224,1261,0.00012423622660077857,8049.182008830693,4.416946256278968e-06,0.5811771389840747
r9,p29_connection_residual,hann,1262,1299,0.00012803663538222176,7810.2645935262735,4.804853854899643e-06,0.6322176124867951
r9,p29_connection_residual,hann,1300,1339,0.00013193559034619884,7579.455985879179,5.7680480901660534e-06,0.7210060112707566
r9,p29_connection_residual,hann,1340,1380,0.0001359852933224766,7353.736389924108,8.911162345096998e-06,1.0867271152557314
r9,p29_connection_residual,hann,1381,1422,0.00014013500633317858,7135.975700621483,6.1159192593012065e-06,0.7280856261072864
r9,p29_connection_residual,hann,1423,1466,0.00014443399876760317,6923.577610068232,5.311178148177096e-06,0.6035429713837609
r9,p29_connection_residual,hann,1467,1510,0.00014883447181348816,6718.873576903269,4.855346850462835e-06,0.5517439602798677
r9,p29_connection_residual,hann,1511,1557,0.00015338275652758364,6519.637687044467,7.727711089696712e-06,0.8220969244358203
r9,p29_connection_residual,hann,1558,1604,0.00015808326919696466,6325.7801099371545,1.038856672594899e-05,1.105166672973297
