cell,progress,q_end,entity,observed_survival,observed_phase,model,predicted_survival,predicted_phase
17,0.7083333333333334,21493,candidate,0.3575410909893893,1.8597170183255007,direct_log_rung,0.35463299377336893,1.8657902255700862
17,0.7083333333333334,21493,candidate,0.3575410909893893,1.8597170183255007,circle_secant_rho1,0.3520670319874296,1.8711582398266469
17,0.7083333333333334,21493,candidate,0.3575410909893893,1.8597170183255007,circle_shared_rho_primary,0.3580188124528346,1.8587204092292098
17,0.7083333333333334,21493,candidate,0.3575410909893893,1.8597170183255007,circle_candidate_rho_sensitivity,0.35740679975767015,1.8599972260418118
17,0.7083333333333334,21493,edge,0.12687176294551766,2.4132167416307544,home_r10,0.14969845945402657,2.3470386557516316
17,0.7083333333333334,21493,edge,0.12687176294551766,2.4132167416307544,direct_log_rung,0.12507065923080604,2.41864477821687
17,0.7083333333333334,21493,edge,0.12687176294551766,2.4132167416307544,circle_secant_rho1,0.12243938299111523,2.426635351501444
17,0.7083333333333334,21493,edge,0.12687176294551766,2.4132167416307544,circle_shared_rho_primary,0.1267963815889857,2.4134432569582054
17,0.7083333333333334,21493,edge,0.12687176294551766,2.4132167416307544,circle_edge_rho_sensitivity,0.1271188555464079,2.41247464978471
17,0.7083333333333334,21493,edge,0.12687176294551766,2.4132167416307544,circle_candidate_plus_j_secondary,0.12743629070831133,2.411522202170557
18,0.75,31583,candidate,0.34177150026300873,1.8927885242059452,home_r10,0.3718063231992755,1.8300790881638216
18,0.75,31583,candidate,0.34177150026300873,1.8927885242059452,direct_log_rung,0.33894148448932276,1.8987611878217043
18,0.75,31583,candidate,0.34177150026300873,1.8927885242059452,circle_secant_rho1,0.33645532015494267,1.9040181893635038
18,0.75,31583,candidate,0.34177150026300873,1.8927885242059452,circle_shared_rho_primary,0.34225762962041806,1.8917637659319806
18,0.75,31583,candidate,0.34177150026300873,1.8927885242059452,circle_candidate_rho_sensitivity,0.3416608824426495,1.893021754915151
18,0.75,31583,edge,0.11592821470271164,2.44673300088936,home_r10,0.13724088263644982,2.3825834485189343
18,0.75,31583,edge,0.11592821470271164,2.44673300088936,direct_log_rung,0.11422195516880401,2.452079924790807
18,0.75,31583,edge,0.11592821470271164,2.44673300088936,circle_secant_rho1,0.1117498198669219,2.4598890236729285
18,0.75,31583,edge,0.11592821470271164,2.44673300088936,circle_shared_rho_primary,0.11581822134788744,2.4470766519212614
18,0.75,31583,edge,0.11592821470271164,2.44673300088936,circle_edge_rho_sensitivity,0.1161194302423797,2.4461359252498847
18,0.75,31583,edge,0.11592821470271164,2.44673300088936,circle_candidate_plus_j_secondary,0.11643905009271532,2.445138856240413
19,0.7916666666666666,46399,candidate,0.3262177917801769,1.9257686525452222,home_r10,0.3554054688887924,1.864175921894387
19,0.7916666666666666,46399,candidate,0.3262177917801769,1.9257686525452222,direct_log_rung,0.3232939613571029,1.9320123847335566
19,0.7916666666666666,46399,candidate,0.3262177917801769,1.9257686525452222,circle_secant_rho1,0.32087493627365354,1.9371892682256004
19,0.7916666666666666,46399,candidate,0.3262177917801769,1.9257686525452222,circle_shared_rho_primary,0.32653681142084695,1.9250882763609742
19,0.7916666666666666,46399,candidate,0.3262177917801769,1.9257686525452222,circle_candidate_rho_sensitivity,0.3259544024900842,1.9263305146870935
19,0.7916666666666666,46399,edge,0.1056141045801769,2.479604646955768,home_r10,0.12540680512006383,2.417629199031835
19,0.7916666666666666,46399,edge,0.1056141045801769,2.479604646955768,direct_log_rung,0.10392935559083896,2.485105746913539
19,0.7916666666666666,46399,edge,0.1056141045801769,2.479604646955768,circle_secant_rho1,0.10160451315460794,2.492762077819536
19,0.7916666666666666,46399,edge,0.1056141045801769,2.479604646955768,circle_shared_rho_primary,0.10539747824927675,2.480309801617161
19,0.7916666666666666,46399,edge,0.1056141045801769,2.479604646955768,circle_edge_rho_sensitivity,0.10567838866199725,2.479395514350918
19,0.7916666666666666,46399,edge,0.1056141045801769,2.479604646955768,circle_candidate_plus_j_secondary,0.10599765917150876,2.4783576754129744
20,0.8333333333333334,68171,candidate,0.3107231599943523,1.9590295124897585,home_r10,0.3391294030678342,1.898364217457945
20,0.8333333333333334,68171,candidate,0.3107231599943523,1.9590295124897585,direct_log_rung,0.3081431238897936,1.9646108765966919
