n,label_prime,parent_empirical,buchstab_parent,ara_compact,raw_compact,ara_full,raw_full,ara_order_scrambled
4000799993,1,0.83652125558747836,0.83286783276999121,0.837271594609305,0.83964076440135971,0.83380634900988027,0.83534698308702282,0.83778239144928368
4000800019,1,0.83652125558747836,0.83286783276999121,0.83730122749809255,0.83966313261187531,0.8338453022428336,0.83537039504664989,0.83695110941405271
4000800031,1,0.83652125558747836,0.83286783276999121,0.83731493000332591,0.83967345554990036,0.83386333377593935,0.83538119966493718,0.83963180303618012
4000800053,0,0.83652125558747836,0.83286783276999121,0.83734009354813443,0.83969237953966347,0.83389647867922989,0.83540100665300498,0.83598341346950167
4000800061,1,0.83652125558747836,0.83286783276999121,0.8373492574921253,0.83969926054238564,0.83390855930661356,0.83540820871965304,0.83213742257431145
4000800091,1,0.83652125558747836,0.83286783276999121,0.83585359884380717,0.83219865975664387,0.83259665355053269,0.83159983823035666,0.83300787965095213
4000800137,1,0.83652125558747836,0.83286783276999121,0.83588665885748303,0.83223974823571123,0.8326302970024555,0.8316420102080897,0.8347709179706152
4000800157,1,0.83652125558747836,0.83286783276999121,0.83590111055100536,0.83225761028603928,0.83264508474871879,0.83166034322319093,0.83678711927797167
4000800173,1,0.83652125558747836,0.83286783276999121,0.83591270583378197,0.83227189883291375,0.83265698481269712,0.83167500848882314,0.83479457226978027
4000800187,0,0.83652125558747836,0.83286783276999121,0.83592287644087571,0.83228440051418728,0.83266744830421546,0.83168783976032146,0.83288763398458332
4000800191,1,0.83652125558747836,0.83286783276999121,0.83592578656832239,0.83228797228645512,0.8326704466039585,0.83169150569459249,0.83480649426959586
4000800217,1,0.83652125558747836,0.83286783276999121,0.83594474831952748,0.83231118732566467,0.83269003012022758,0.83171533271497733,0.83316106262449385
4000800233,1,0.83652125558747836,0.83286783276999121,0.83595645664712925,0.83232547222813591,0.83270216297514599,0.83172999415935167,0.83989835533991042
4000800253,1,0.83652125558747836,0.83286783276999121,0.83597113443020576,0.83234332698965818,0.83271741630289575,0.83174831953193717,0.83320538895852481
4000800277,1,0.83652125558747836,0.83286783276999121,0.83598880990413282,0.83236475069924931,0.832735848247941,0.83177030787754502,0.83295424333440682
4000800311,1,0.83652125558747836,0.83286783276999121,0.83601396615651902,0.83239509721189797,0.83276219904113391,0.83180145410960205,0.83868617545529256
4000800313,1,0.83652125558747836,0.83286783276999121,0.83601545017034085,0.83239688216423469,0.83276375780729606,0.83180328609762633,0.83298133340274783
4000800319,1,0.83652125558747836,0.83286783276999121,0.83601990503421353,0.83240223693015192,0.83276843991786842,0.83180878196618546,0.83694254492897757
4000800337,0,0.83652125558747836,0.83286783276999121,0.83603329502504276,0.83241830040807752,0.83278253855322559,0.83182526871225393,0.83696012292163735
4000800359,1,0.83652125558747836,0.83286783276999121,0.83604971229966496,0.83243793187778781,0.83279987674455247,0.83184541742865836,0.8399941983612087
4000800373,1,0.83652125558747836,0.83286783276999121,0.83606018927761205,0.83245042367482591,0.83281097113677738,0.83185823833627348,0.8369954637969319
4000800403,1,0.83652125558747836,0.83286783276999121,0.8360827175052441,0.83247718930652892,0.83283490455000153,0.83188570908338189,0.83305017351641886
4000800421,1,0.83652125558747836,0.83286783276999121,0.83680752477897213,0.83669413712105767,0.83576662144285341,0.8341383297222783,0.83727211461247342
4000800431,1,0.83652125558747836,0.83286783276999121,0.83681065797702459,0.83670290227309518,0.83576858677155652,0.8341473876160076,0.83714294086097385
4000800439,1,0.83652125558747836,0.83286783276999121,0.8368131731284183,0.83670991412209672,0.83577017641190643,0.83415463364564546,0.83726108320654014
4000800457,1,0.83652125558747836,0.83286783276999121,0.83681886014458184,0.83672568989632534,0.83577380957721903,0.83417093628497518,0.83725011447968101
4000800487,1,0.83652125558747836,0.83286783276999121,0.83682842442201211,0.83675198012723029,0.83578003861083106,0.83419810449721332,0.83629798261557353
4000800523,1,0.83652125558747836,0.83286783276999121,0.83684004329941097,0.8367835239063971,0.83578780012740395,0.83423070164415447,0.83631190025297786
4000800563,1,0.83652125558747836,0.83286783276999121,0.83685313448901288,0.83681856679535249,0.83579679078469205,0.83426691467328939,0.8359821266351718
4000800577,1,0.83652125558747836,0.83286783276999121,0.83685776149167823,0.83683083037549144,0.83580002871069103,0.83427958773573119,0.83633325131603653
4000800613,1,0.83652125558747836,0.83286783276999121,0.83686976683106473,0.83686236188889351,0.83580857191721247,0.83431217204467545,0.836347801684998
4000800673,1,0.83652125558747836,0.83286783276999121,0.83689011913146971,0.83691490350966069,0.83582350526037541,0.83436646781604884,0.83712338241340511
4000800677,1,0.83652125558747836,0.83286783276999121,0.83689149121122419,0.83691840579989207,0.83582453168687865,0.83437008702704851,0.83364108396230885
4000800707,1,0.83652125558747836,0.83286783276999121,0.83690184260016809,0.83694467104635661,0.83583235287003943,0.8343972290892091,0.83605364931686377
4000800709,1,0.83652125558747836,0.83286783276999121,0.8369025365068532,0.83694642194167512,0.83583288199856276,0.83439903843325602,0.83710313926413438
4000800731,1,0.83652125558747836,0.83286783276999121,0.83691020094370394,0.8369656807910304,0.83583876606744989,0.83441894017200313,0.83369550667898051
4000800733,1,0.83652125558747836,0.83286783276999121,0.83691090057086304,0.836967431504687,0.83583930676943585,0.83442074932591137,0.83427890641364821
4000800761,1,0.83652125558747836,0.83286783276999121,0.83692074539959826,0.83699193990639797,0.835846977856329,0.83444607581697761,0.83608151204741876
4000800773,1,0.83652125558747836,0.83286783276999121,0.83692499320896419,0.83700244259887813,0.83585032332406206,0.83445692907679858,0.83701409834407126
4000800799,1,0.83652125558747836,0.83286783276999121,0.83693425565136703,0.83702519656316821,0.83585769091998752,0.83448044251642417,0.83705363103228347
4000800823,1,0.83652125558747836,0.83286783276999121,0.83694287707470638,0.83704619795204738,0.83586463639989561,0.83450214485350482,0.83436428647695871
4000800829,1,0.83652125558747836,0.83286783276999121,0.83694504315094909,0.83705144795870823,0.83586639446147559,0.83450757008132304,0.83644041488635101
4000800841,1,0.83652125558747836,0.83286783276999121,0.83694938816695696,0.83706194756336938,0.83586993661299269,0.83451842010922772,0.83438155016286497
4000800901,1,0.83652125558747836,0.83286783276999121,0.83697137048124082,0.83711443741382763,0.83588816787829157,0.8345726616944813,0.83647330779410212
4000800907,0,0.83652125558747836,0.83286783276999121,0.83697359228913271,0.83711968564972949,0.83589003871248924,0.83457808506889941,0.83699629608352999
4000800917,1,0.83652125558747836,0.83286783276999121,0.83697730482680477,0.83712843240689472,0.83589317604309155,0.83458712370946564,0.83696667246233802
4000800919,1,0.83652125558747836,0.83286783276999121,0.83697804876296977,0.83713018171292752,0.83589380640017297,0.83458893139005963,0.83648168887059027
4000800929,1,0.83652125558747836,0.83286783276999121,0.83698177558665598,0.83713892801609358,0.83589697263989282,0.83459796955543719,0.83389987766609819
4000800931,1,0.83652125558747836,0.83286783276999121,0.83698252237992876,0.83714067723132768,0.83589760877863661,0.83459977714099465,0.83446880607935148
4000800953,1,0.83652125558747836,0.83286783276999121,0.8369907685317246,0.83715991760013697,0.83590466989902956,0.83461965953674522,0.83695544836927815
4000800959,1,0.83652125558747836,0.83286783276999121,0.83699302748077298,0.83716516465566559,0.83590661589270221,0.83462508167569804,0.8361885318532859
4000800971,1,0.83652125558747836,0.83286783276999121,0.83699825721450594,0.837175658358154,0.83591053389297842,0.83463592552596522,0.83694993120891525
4000801001,1,0.83652125558747836,0.83286783276999121,0.83701347140109372,0.83720189023112279,0.83592048062404634,0.83466303265714048,0.83397606961386783
4000801003,0,0.83652125558747836,0.83286783276999121,0.83701448947031554,0.83720363890160299,0.83592115144583978,0.83466483967251748,0.83453973482455923
4000801019,1,0.83652125558747836,0.83286783276999121,0.83702265107753759,0.83721762772073083,0.83592655269620597,0.83467929522539408,0.83399527363649661
4000801039,1,0.83652125558747836,0.83286783276999121,0.83703289571605421,0.83723511238288451,0.83593339094373131,0.8346973632411695,0.83457557350746669
4000801043,1,0.83652125558747836,0.83286783276999121,0.83703495032710917,0.83723860913375214,0.83593477015040474,0.83470097665428611,0.83692849526211888
4000801067,1,0.83652125558747836,0.83286783276999121,0.83704731777200403,0.83725958836804937,0.83594312628404333,0.83472265580275273,0.83625011980508068
4000801121,1,0.83652125558747836,0.83286783276999121,0.83707539379667251,0.83730678367972922,0.83596243454257324,0.83477142554947414,0.83628176356426209
4000801127,1,0.83652125558747836,0.83286783276999121,0.83707853465577087,0.8373120269224712,0.83596462322799148,0.83477684369766236,0.83411180710129229
4000801159,0,0.83652125558747836,0.83286783276999121,0.83709535783639677,0.83733998858436809,0.8359764425295384,0.83480573808126013,0.83687132757181659
4000801229,1,0.83652125558747836,0.83286783276999121,0.83713258078832442,0.83740114121923548,0.8360031561871123,0.83486893041455812,0.83634674931898212
4000801237,1,0.83652125558747836,0.83286783276999121,0.83713687173123064,0.83740812891198857,0.83600628422775292,0.83487615116062031,0.83477714002792713
4000801243,0,0.83652125558747836,0.83286783276999121,0.83714009490342711,0.83741336952274137,0.83600864035966516,0.83488156655394019,0.83664333459872431
4000801249,1,0.83652125558747836,0.83286783276999121,0.83714332233112398,0.8374186099973715,0.8360110051496138,0.83488698180478149,0.83682968941788094
4000801261,1,0.83652125558747836,0.83286783276999121,0.8371497899521948,0.83742909053826842,0.83601576070241079,0.83489781187903445,0.83665291362616589
4000801283,1,0.83652125558747836,0.83286783276999121,0.83716169145979036,0.83744830344913268,0.83602456915203682,0.83491766553502456,0.83638009076811493
4000801331,1,0.83652125558747836,0.83286783276999121,0.83718785689712183,0.83749021617551711,0.83604419151335863,0.83496097595418906,0.83685287997639501
4000801333,1,0.83652125558747836,0.83286783276999121,0.83718895303060448,0.83749196235008094,0.83604502113161272,0.83496278035712501,0.83669185928430789
4000801373,1,0.83652125558747836,0.83286783276999121,0.83721097491216989,0.83752688266572084,0.83606181539341251,0.83499886509192367,0.836436916025597
4000801391,1,0.83652125558747836,0.83286783276999121,0.83722094640179379,0.8375425948343983,0.83606949826002874,0.83501510115707311,0.83644846940812401
4000801397,1,0.83652125558747836,0.83286783276999121,0.8372242787326345,0.83754783195177984,0.83607207651653714,0.83502051289390211,0.83441293973244024
4000801417,1,0.83652125558747836,0.83286783276999121,0.83723541719628314,0.83756528802688046,0.83608073317480835,0.83503855098792978,0.83496690905205362
4000801423,0,0.83652125558747836,0.83286783276999121,0.83723876794281016,0.8375705245545646,0.83608334891198566,0.83504396210752319,0.83674195715255417
4000801429,1,0.83652125558747836,0.83286783276999121,0.83724212293854161,0.83757576094616859,0.83608597329766077,0.83504937308468141,0.83675114532748562
4000801433,1,0.83652125558747836,0.83286783276999121,0.83724436196292584,0.83757925179830517,0.83608772769266637,0.83505298032365682,0.83445414600139778
4000801451,1,0.83652125558747836,0.83286783276999121,0.83725446094039824,0.83759495988449784,0.83609567003241203,0.83506921211567331,0.83447484207639322
4000801457,1,0.83652125558747836,0.83286783276999121,0.83725783576291501,0.83760019564107968,0.83609833477329476,0.83507462242815356,0.8368248973741772
4000801463,1,0.83652125558747836,0.83286783276999121,0.83726121483341931,0.83760543126158937,0.83610100816076205,0.83508003259820696,0.83649531034896429
4000801501,1,0.83652125558747836,0.83286783276999121,0.83728271424706024,0.83763858703167915,0.83611814038550858,0.83511429370116874,0.83672149569476717
4000801523,1,0.83652125558747836,0.83286783276999121,0.83729523913020931,0.83765777998303337,0.8361282175219259,0.83513412646557905,0.83455824553186919
4000801529,1,0.83652125558747836,0.83286783276999121,0.83729866491428617,0.83766301410684374,0.83613098599904778,0.83513953506903238,0.83681030163317094
4000801543,1,0.83652125558747836,0.83286783276999121,0.83730667491990629,0.83767522653330106,0.83613747938777816,0.83515215458994396,0.83510343611602589
4000801559,1,0.83652125558747836,0.83286783276999121,0.83731585751102011,0.83768918268509929,0.83614495801377531,0.8351665759501844,0.83460031848230443
4000801561,1,0.83652125558747836,0.83286783276999121,0.83731700745713722,0.83769092713604965,0.83614589716248,0.83516837854901271,0.83512318753448955
4000801591,1,0.83652125558747836,0.83286783276999121,0.83733431323380825,0.83771709208636835,0.83616009959237114,0.83519541563277844,0.83668585537201978
4000801639,1,0.83652125558747836,0.83286783276999121,0.83736222310647135,0.83775894893285996,0.83618327267322645,0.83523866756236564,0.83686860352525028
4000801697,1,0.83652125558747836,0.83286783276999121,0.83739630968726997,0.83780951434042261,0.83621201085696639,0.83529091815277201,0.83665446892314732
4000801703,0,0.83652125558747836,0.83286783276999121,0.83739985849756249,0.83781474451921811,0.83621502981611295,0.83529632262693954,0.83477108145346257
4000801729,1,0.83652125558747836,0.83286783276999121,0.83741528565570145,0.83783740705563758,0.83622821171132844,0.83531974036988421,0.83692404121990682
4000801789,0,0.83652125558747836,0.83286783276999121,0.83745119047786964,0.83788969546960657,0.83625924989937617,0.83537377111279809,0.83661301102004226
4000801817,1,0.83652125558747836,0.83286783276999121,0.83746809102877595,0.83791409207538825,0.83627402961343589,0.83539898058799034,0.83676206390011221
4000801837,1,0.83652125558747836,0.83286783276999121,0.83748021931313221,0.8379315164092157,0.83628470154307166,0.83541698545811405,0.83699263576088212
4000801841,1,0.83652125558747836,0.83286783276999121,0.83748265061533778,0.83793500109467089,0.83628684742653014,0.83542058624235727,0.83675766925609407
4000801843,1,0.83652125558747836,0.83286783276999121,0.83748386697205146,0.8379367434147349,0.83628792180535216,0.83542238661075663,0.83659447306654322
4000801867,1,0.83652125558747836,0.83286783276999121,0.83749849994100911,0.83795765007702461,0.83630088907407263,0.83544398979800827,0.8354684069857532
4000801873,1,0.83652125558747836,0.83286783276999121,0.83750216876540118,0.83796287640265743,0.83630415244408196,0.83544939023899867,0.8370160018883599
4000801877,1,0.83652125558747836,0.83286783276999121,0.83750461699967294,0.83796636054420548,0.83630633281316946,0.83545299045392241,0.83678409421227407
4000801891,0,0.83652125558747836,0.83286783276999121,0.83751320063199641,0.83797855456372439,0.83631399427423581,0.83546559070801996,0.83702777889326052
4000801919,1,0.83652125558747836,0.83286783276999121,0.83753043701123264,0.83800294038195933,0.83632945796869762,0.83549078889164652,0.8350346218868856
4000801921,1,0.83652125558747836,0.83286783276999121,0.83753167170695275,0.83800468211281565,0.83633056969970243,0.835492588643308,0.83553117613115102
4000801943,0,0.83652125558747836,0.83286783276999121,0.83754528438167963,0.83802384015519593,0.83634286192806306,0.83551238486795876,0.83674606622967906
4000802027,1,0.83652125558747836,0.83286783276999121,0.83759778301274679,0.83809697223164836,0.83639086113809846,0.83558795285473164,0.8351697107800885
4000802041,1,0.83652125558747836,0.83286783276999121,0.83760661333668063,0.83810915832061328,0.83639902509271069,0.8356005448076983,0.83653137614367779
4000802053,0,0.83652125558747836,0.83286783276999121,0.83761420049735735,0.83811960295068377,0.83640606007042329,0.83561133729367187,0.83713658816733549
4000802063,1,0.83652125558747836,0.83286783276999121,0.83762053604179398,0.83812830639373403,0.83641194885203085,0.83562033059723151,0.83521523096127259
4000802093,1,0.83652125558747836,0.83286783276999121,0.83763961308453028,0.83815441445745476,0.83642975863061042,0.83564730813660815,0.83694788523667329
4000802107,0,0.83652125558747836,0.83286783276999121,0.8376485518417256,0.83816659705764029,0.83643814347825818,0.83565989643775329,0.83717398353135208
4000802131,1,0.83652125558747836,0.83286783276999121,0.83766392891569241,0.83818747979349773,0.83645262647319774,0.83568147458050979,0.83650522984433517
4000802161,1,0.83652125558747836,0.83286783276999121,0.83768324525276328,0.83821358015533021,0.83647092374333265,0.83570844405804567,0.83721194117662312
4000802167,0,0.83652125558747836,0.83286783276999121,0.83768712118366095,0.83821879981997915,0.83647460899622073,0.83571383752677963,0.83649521500712742
4000802171,1,0.83652125558747836,0.83286783276999121,0.83768970748237703,0.83822227952091044,0.8364770706084661,0.83571743309357194,0.83535326079132255
4000802207,1,0.83652125558747836,0.83286783276999121,0.83771306857037908,0.83825359411131262,0.83649939706602627,0.83574979034968755,0.83539975992787618
4000802231,1,0.83652125558747836,0.83286783276999121,0.83772872701090761,0.83827446778703762,0.83651445328454177,0.8357713590088538,0.83672117688735914
4000802249,1,0.83652125558747836,0.83286783276999121,0.83774051513041548,0.838290121617012,0.83652583568115746,0.83578753400971717,0.83672016082446465
4000802251,1,0.83652125558747836,0.83286783276999121,0.83774182726447077,0.83829186085596252,0.83652710516545403,0.83578933115301535,0.83727645256083616
4000802327,1,0.83652125558747836,0.83286783276999121,0.83779203548031833,0.838357940748928,0.83657605279567993,0.83585761088826827,0.83713544600664258
4000802339,1,0.83652125558747836,0.83286783276999121,0.83780002491022754,0.83836837242349116,0.83658390731637811,0.83586838981319833,0.83671603272882911
4000802347,1,0.83652125558747836,0.83286783276999121,0.83780536056001309,0.83837532657128577,0.8365891627405545,0.83587557544712376,0.83644894538486891
4000802357,1,0.83652125558747836,0.83286783276999121,0.8378120406547569,0.83838401891638148,0.83659575348035142,0.83588455713400533,0.83671539755889512
4000802383,0,0.83652125558747836,0.83286783276999121,0.83782946366201205,0.83840661724750887,0.8366130009775361,0.83590790767121237,0.83644045261605249
