anchor,rung,gates,lower,candidate,candidate_delta,true_next_prime,true_delta,location_error,candidate_is_prime,exact_next_prime,survivor_candidates_through_prime
4000088022,odd,2,4000088021,4000088023,1,4000088047,25,24,False,False,13
4000088329,odd,2,4000088329,4000088331,2,4000088333,4,2,False,False,2
4000088450,odd,2,4000088449,4000088451,1,4000088461,11,10,False,False,6
4000088493,odd,2,4000088493,4000088495,2,4000088507,14,12,False,False,7
4000088716,odd,2,4000088715,4000088717,1,4000088761,45,44,False,False,23
4000088722,odd,2,4000088721,4000088723,1,4000088761,39,38,False,False,20
4000089509,odd,2,4000089509,4000089511,2,4000089517,8,6,False,False,4
4000091021,odd,2,4000091021,4000091023,2,4000091089,68,66,False,False,34
4000091224,odd,2,4000091223,4000091225,1,4000091257,33,32,False,False,17
4000091411,odd,2,4000091411,4000091413,2,4000091453,42,40,False,False,21
4000091624,odd,2,4000091623,4000091625,1,4000091647,23,22,False,False,12
4000091668,odd,2,4000091667,4000091669,1,4000091707,39,38,False,False,20
4000091880,odd,2,4000091879,4000091881,1,4000091881,1,0,True,True,1
4000092232,odd,2,4000092231,4000092233,1,4000092233,1,0,True,True,1
4000093203,odd,2,4000093203,4000093205,2,4000093213,10,8,False,False,5
4000093235,odd,2,4000093235,4000093237,2,4000093241,6,4,False,False,3
4000093242,odd,2,4000093241,4000093243,1,4000093267,25,24,False,False,13
4000093478,odd,2,4000093477,4000093479,1,4000093501,23,22,False,False,12
4000095104,odd,2,4000095103,4000095105,1,4000095107,3,2,False,False,2
4000095116,odd,2,4000095115,4000095117,1,4000095149,33,32,False,False,17
4000095418,odd,2,4000095417,4000095419,1,4000095431,13,12,False,False,7
4000096348,odd,2,4000096347,4000096349,1,4000096357,9,8,False,False,5
4000096998,odd,2,4000096997,4000096999,1,4000097027,29,28,False,False,15
4000097215,odd,2,4000097215,4000097217,2,4000097221,6,4,False,False,3
4000097718,odd,2,4000097717,4000097719,1,4000097729,11,10,False,False,6
4000098550,odd,2,4000098549,4000098551,1,4000098563,13,12,False,False,7
4000099067,odd,2,4000099067,4000099069,2,4000099069,2,0,True,True,1
4000099375,odd,2,4000099375,4000099377,2,4000099379,4,2,False,False,2
4000100678,odd,2,4000100677,4000100679,1,4000100701,23,22,False,False,12
4000100966,odd,2,4000100965,4000100967,1,4000100981,15,14,False,False,8
4000101312,odd,2,4000101311,4000101313,1,4000101319,7,6,False,False,4
4000102115,odd,2,4000102115,4000102117,2,4000102121,6,4,False,False,3
4000103624,odd,2,4000103623,4000103625,1,4000103629,5,4,False,False,3
4000103695,odd,2,4000103695,4000103697,2,4000103711,16,14,False,False,8
4000104037,odd,2,4000104037,4000104039,2,4000104049,12,10,False,False,6
4000104642,odd,2,4000104641,4000104643,1,4000104653,11,10,False,False,6
4000104955,odd,2,4000104955,4000104957,2,4000104991,36,34,False,False,18
4000105178,odd,2,4000105177,4000105179,1,4000105183,5,4,False,False,3
4000105747,odd,2,4000105747,4000105749,2,4000105793,46,44,False,False,23
4000106331,odd,2,4000106331,4000106333,2,4000106339,8,6,False,False,4
4000106563,odd,2,4000106563,4000106565,2,4000106567,4,2,False,False,2
4000106753,odd,2,4000106753,4000106755,2,4000106797,44,42,False,False,22
4000107886,odd,2,4000107885,4000107887,1,4000107889,3,2,False,False,2
4000107955,odd,2,4000107955,4000107957,2,4000107959,4,2,False,False,2
4000108478,odd,2,4000108477,4000108479,1,4000108481,3,2,False,False,2
4000108819,odd,2,4000108819,4000108821,2,4000108829,10,8,False,False,5
4000109354,odd,2,4000109353,4000109355,1,4000109369,15,14,False,False,8
4000110803,odd,2,4000110803,4000110805,2,4000110887,84,82,False,False,42
4000111693,odd,2,4000111693,4000111695,2,4000111727,34,32,False,False,17
4000111994,odd,2,4000111993,4000111995,1,4000112003,9,8,False,False,5
4000112303,odd,2,4000112303,4000112305,2,4000112309,6,4,False,False,3
4000112706,odd,2,4000112705,4000112707,1,4000112729,23,22,False,False,12
4000113400,odd,2,4000113399,4000113401,1,4000113419,19,18,False,False,10
4000113498,odd,2,4000113497,4000113499,1,4000113499,1,0,True,True,1
4000114821,odd,2,4000114821,4000114823,2,4000114829,8,6,False,False,4
4000115693,odd,2,4000115693,4000115695,2,4000115711,18,16,False,False,9
4000115750,odd,2,4000115749,4000115751,1,4000115761,11,10,False,False,6
4000115786,odd,2,4000115785,4000115787,1,4000115803,17,16,False,False,9
4000115889,odd,2,4000115889,4000115891,2,4000115921,32,30,False,False,16
4000117033,odd,2,4000117033,4000117035,2,4000117039,6,4,False,False,3
4000117100,odd,2,4000117099,4000117101,1,4000117157,57,56,False,False,29
4000117641,odd,2,4000117641,4000117643,2,4000117691,50,48,False,False,25
4000118450,odd,2,4000118449,4000118451,1,4000118453,3,2,False,False,2
4000118754,odd,2,4000118753,4000118755,1,4000118777,23,22,False,False,12
4000118759,odd,2,4000118759,4000118761,2,4000118777,18,16,False,False,9
4000118786,odd,2,4000118785,4000118787,1,4000118789,3,2,False,False,2
4000118836,odd,2,4000118835,4000118837,1,4000118839,3,2,False,False,2
4000119172,odd,2,4000119171,4000119173,1,4000119209,37,36,False,False,19
4000119637,odd,2,4000119637,4000119639,2,4000119649,12,10,False,False,6
4000119670,odd,2,4000119669,4000119671,1,4000119671,1,0,True,True,1
4000119920,odd,2,4000119919,4000119921,1,4000119923,3,2,False,False,2
4000119925,odd,2,4000119925,4000119927,2,4000120031,106,104,False,False,53
4000120091,odd,2,4000120091,4000120093,2,4000120151,60,58,False,False,30
4000120446,odd,2,4000120445,4000120447,1,4000120459,13,12,False,False,7
4000120694,odd,2,4000120693,4000120695,1,4000120717,23,22,False,False,12
4000120955,odd,2,4000120955,4000120957,2,4000121009,54,52,False,False,27
4000122362,odd,2,4000122361,4000122363,1,4000122377,15,14,False,False,8
4000123199,odd,2,4000123199,4000123201,2,4000123201,2,0,True,True,1
4000123304,odd,2,4000123303,4000123305,1,4000123313,9,8,False,False,5
4000123697,odd,2,4000123697,4000123699,2,4000123703,6,4,False,False,3
4000124269,odd,2,4000124269,4000124271,2,4000124299,30,28,False,False,15
4000125242,odd,2,4000125241,4000125243,1,4000125281,39,38,False,False,20
4000125525,odd,2,4000125525,4000125527,2,4000125529,4,2,False,False,2
4000125824,odd,2,4000125823,4000125825,1,4000125839,15,14,False,False,8
4000127065,odd,2,4000127065,4000127067,2,4000127069,4,2,False,False,2
4000128028,odd,2,4000128027,4000128029,1,4000128061,33,32,False,False,17
4000128048,odd,2,4000128047,4000128049,1,4000128061,13,12,False,False,7
4000128149,odd,2,4000128149,4000128151,2,4000128163,14,12,False,False,7
4000128601,odd,2,4000128601,4000128603,2,4000128641,40,38,False,False,20
4000129004,odd,2,4000129003,4000129005,1,4000129027,23,22,False,False,12
4000129516,odd,2,4000129515,4000129517,1,4000129517,1,0,True,True,1
4000131065,odd,2,4000131065,4000131067,2,4000131071,6,4,False,False,3
4000131711,odd,2,4000131711,4000131713,2,4000131713,2,0,True,True,1
4000131793,odd,2,4000131793,4000131795,2,4000131809,16,14,False,False,8
4000132386,odd,2,4000132385,4000132387,1,4000132387,1,0,True,True,1
4000133030,odd,2,4000133029,4000133031,1,4000133051,21,20,False,False,11
4000133323,odd,2,4000133323,4000133325,2,4000133341,18,16,False,False,9
4000133668,odd,2,4000133667,4000133669,1,4000133671,3,2,False,False,2
4000134363,odd,2,4000134363,4000134365,2,4000134371,8,6,False,False,4
4000134684,odd,2,4000134683,4000134685,1,4000134707,23,22,False,False,12
4000135470,odd,2,4000135469,4000135471,1,4000135483,13,12,False,False,7
4000135939,odd,2,4000135939,4000135941,2,4000135957,18,16,False,False,9
4000136202,odd,2,4000136201,4000136203,1,4000136249,47,46,False,False,24
4000137446,odd,2,4000137445,4000137447,1,4000137457,11,10,False,False,6
4000138389,odd,2,4000138389,4000138391,2,4000138409,20,18,False,False,10
4000138407,odd,2,4000138407,4000138409,2,4000138409,2,0,True,True,1
4000139530,odd,2,4000139529,4000139531,1,4000139537,7,6,False,False,4
4000140305,odd,2,4000140305,4000140307,2,4000140373,68,66,False,False,34
4000140712,odd,2,4000140711,4000140713,1,4000140713,1,0,True,True,1
4000140728,odd,2,4000140727,4000140729,1,4000140791,63,62,False,False,32
4000140734,odd,2,4000140733,4000140735,1,4000140791,57,56,False,False,29
4000141040,odd,2,4000141039,4000141041,1,4000141049,9,8,False,False,5
4000142257,odd,2,4000142257,4000142259,2,4000142287,30,28,False,False,15
4000142393,odd,2,4000142393,4000142395,2,4000142401,8,6,False,False,4
4000142728,odd,2,4000142727,4000142729,1,4000142777,49,48,False,False,25
4000143177,odd,2,4000143177,4000143179,2,4000143227,50,48,False,False,25
4000143609,odd,2,4000143609,4000143611,2,4000143611,2,0,True,True,1
4000144867,odd,2,4000144867,4000144869,2,4000144873,6,4,False,False,3
4000145901,odd,2,4000145901,4000145903,2,4000145921,20,18,False,False,10
4000146673,odd,2,4000146673,4000146675,2,4000146691,18,16,False,False,9
4000147904,odd,2,4000147903,4000147905,1,4000147913,9,8,False,False,5
4000147981,odd,2,4000147981,4000147983,2,4000147993,12,10,False,False,6
4000148397,odd,2,4000148397,4000148399,2,4000148407,10,8,False,False,5
4000149363,odd,2,4000149363,4000149365,2,4000149389,26,24,False,False,13
4000149754,odd,2,4000149753,4000149755,1,4000149763,9,8,False,False,5
4000150042,odd,2,4000150041,4000150043,1,4000150043,1,0,True,True,1
4000151113,odd,2,4000151113,4000151115,2,4000151159,46,44,False,False,23
4000152962,odd,2,4000152961,4000152963,1,4000152967,5,4,False,False,3
4000154154,odd,2,4000154153,4000154155,1,4000154167,13,12,False,False,7
4000154156,odd,2,4000154155,4000154157,1,4000154167,11,10,False,False,6
4000154783,odd,2,4000154783,4000154785,2,4000154789,6,4,False,False,3
4000154940,odd,2,4000154939,4000154941,1,4000154947,7,6,False,False,4
4000155545,odd,2,4000155545,4000155547,2,4000155553,8,6,False,False,4
4000155755,odd,2,4000155755,4000155757,2,4000155763,8,6,False,False,4
4000155895,odd,2,4000155895,4000155897,2,4000155911,16,14,False,False,8
4000156920,odd,2,4000156919,4000156921,1,4000156931,11,10,False,False,6
4000157400,odd,2,4000157399,4000157401,1,4000157423,23,22,False,False,12
4000157410,odd,2,4000157409,4000157411,1,4000157423,13,12,False,False,7
4000157639,odd,2,4000157639,4000157641,2,4000157641,2,0,True,True,1
4000157662,odd,2,4000157661,4000157663,1,4000157663,1,0,True,True,1
4000157680,odd,2,4000157679,4000157681,1,4000157687,7,6,False,False,4
4000158285,odd,2,4000158285,4000158287,2,4000158301,16,14,False,False,8
4000158854,odd,2,4000158853,4000158855,1,4000158937,83,82,False,False,42
4000159851,odd,2,4000159851,4000159853,2,4000159853,2,0,True,True,1
4000160373,odd,2,4000160373,4000160375,2,4000160413,40,38,False,False,20
4000160428,odd,2,4000160427,4000160429,1,4000160467,39,38,False,False,20
4000161050,odd,2,4000161049,4000161051,1,4000161073,23,22,False,False,12
4000162396,odd,2,4000162395,4000162397,1,4000162399,3,2,False,False,2
4000162469,odd,2,4000162469,4000162471,2,4000162477,8,6,False,False,4
4000163300,odd,2,4000163299,4000163301,1,4000163383,83,82,False,False,42
4000163616,odd,2,4000163615,4000163617,1,4000163621,5,4,False,False,3
4000164068,odd,2,4000164067,4000164069,1,4000164079,11,10,False,False,6
4000164124,odd,2,4000164123,4000164125,1,4000164149,25,24,False,False,13
4000164345,odd,2,4000164345,4000164347,2,4000164349,4,2,False,False,2
4000164539,odd,2,4000164539,4000164541,2,4000164557,18,16,False,False,9
4000164602,odd,2,4000164601,4000164603,1,4000164611,9,8,False,False,5
4000165303,odd,2,4000165303,4000165305,2,4000165327,24,22,False,False,12
4000165448,odd,2,4000165447,4000165449,1,4000165459,11,10,False,False,6
