number,theta_1_fraction,theta_13_fraction,orientation_1_13,phase_a_1_13,phase_b_1_13,tie_1_13,x_dynamic_1_13_fraction,x_dynamic_1_13_decimal,x_static_1_13_fraction,x_static_1_13_decimal,theta_3_fraction,theta_11_fraction,orientation_3_11,phase_a_3_11,phase_b_3_11,tie_3_11,x_dynamic_3_11_fraction,x_dynamic_3_11_decimal,x_static_3_11_fraction,x_static_3_11_decimal,theta_5_fraction,theta_9_fraction,orientation_5_9,phase_a_5_9,phase_b_5_9,tie_5_9,x_dynamic_5_9_fraction,x_dynamic_5_9_decimal,x_static_5_9_fraction,x_static_5_9_decimal,dynamic_rung_0_fraction,dynamic_rung_0_decimal,dynamic_epsilon_0_fraction,dynamic_epsilon_0_decimal,dynamic_rung_1_fraction,dynamic_rung_1_decimal,dynamic_rung_2_fraction,dynamic_rung_2_decimal,dynamic_ridge_distance_2_fraction,dynamic_ridge_distance_2_decimal,static_rung_0_fraction,static_rung_0_decimal,static_epsilon_0_fraction,static_epsilon_0_decimal,static_ridge_distance_2_fraction,static_ridge_distance_2_decimal,unresolved_by_declared_children
1891,0,6/13,1->13,1,13,0,52/1917,0.0271257172665623,52/1917,0.0271257172665623,1/3,10/11,3->11,3,11,0,11/7,1.57142857142857,11/7,1.57142857142857,1/5,1/9,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,31036/40257,0.770946667660283,-9221/40257,-0.229053332339717,71293/80514,0.885473333830141,151807/161028,0.942736666915071,9221/161028,0.0572633330849293,38704/40257,0.961422858136473,-1553/40257,-0.0385771418635268,1553/161028,0.00964428546588171,1
1893,0,8/13,1->13,1,13,0,52/1919,0.0270974465867639,52/1919,0.0270974465867639,0,1/11,3->11,3,11,0,44/1915,0.022976501305483,44/1915,0.022976501305483,3/5,1/3,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,6554179/25724195,0.25478655405932,-19170016/25724195,-0.74521344594068,16139187/25724195,0.62739327702966,20931691/25724195,0.81369663851483,4792504/25724195,0.18630336148517,34362077/77172585,0.445262744535511,-42810508/77172585,-0.554737255464489,10702627/77172585,0.138684313866122,0
1895,0,10/13,1->13,1,13,0,52/1921,0.0270692347735554,52/1921,0.0270692347735554,2/3,3/11,11->3,11,3,0,3/7,0.428571428571429,11/7,1.57142857142857,0,5/9,5->9,5,9,0,36/1913,0.0188186095138526,36/1913,0.0188186095138526,12205043/77172333,0.158153090952946,-64967290/77172333,-0.841846909047055,44688688/77172333,0.579076545476473,121861021/154344666,0.789538272738236,32483645/154344666,0.210461727261764,13868009/25724111,0.539105471905327,-11856102/25724111,-0.460894528094674,5928051/51448222,0.115223632023668,0
1897,0,12/13,1->13,1,13,0,52/1923,0.0270410816432657,52/1923,0.0270410816432657,1/3,5/11,3->11,3,11,0,11/7,1.57142857142857,11/7,1.57142857142857,2/5,7/9,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,38824/40383,0.961394646262041,-1559/40383,-0.038605353737959,79207/80766,0.98069732313102,159973/161532,0.99034866156551,1559/161532,0.00965133843448976,38824/40383,0.961394646262041,-1559/40383,-0.038605353737959,1559/161532,0.00965133843448976,1
1899,0,1/13,1->13,1,13,0,52/1925,0.027012987012987,52/1925,0.027012987012987,0,7/11,3->11,3,11,0,44/1921,0.0229047371160854,44/1921,0.0229047371160854,4/5,0,9->5,9,5,0,20/1909,0.0104766893661603,3798/1909,1.98952331063384,142114876/7059338825,0.0201314711650776,-6917223949/7059338825,-0.979868528834922,7201453701/14118677650,0.510065735582539,21320131351/28237355300,0.755032867791269,6917223949/28237355300,0.244967132208731,14397105278/21178016475,0.679813678254304,-6780911197/21178016475,-0.320186321745696,6780911197/84712065900,0.080046580436424,0
1901,0,3/13,1->13,1,13,0,52/1927,0.0269849507005708,52/1927,0.0269849507005708,2/3,9/11,3->11,3,11,0,11/7,1.57142857142857,11/7,1.57142857142857,1/5,2/9,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,12968/13489,0.961375935947809,-521/13489,-0.0386240640521907,26457/26978,0.980687967973905,53435/53956,0.990343983986952,521/53956,0.00965601601304767,12968/13489,0.961375935947809,-521/13489,-0.0386240640521907,521/53956,0.00965601601304767,1
1903,0,5/13,1->13,1,13,0,52/1929,0.0269569725246242,52/1929,0.0269569725246242,1/3,0,11->3,11,3,0,12/1909,0.00628601361969618,3806/1909,1.9937139863803,3/5,4/9,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,19269217/77331681,0.249176233476678,-58062464/77331681,-0.750823766523322,48300449/77331681,0.624588116738339,62816065/77331681,0.81229405836917,14515616/77331681,0.18770594163083,85229443/77331681,1.10212841487307,7897762/77331681,0.102128414873071,3948881/154663362,0.0255321037182678,0
1905,0,7/13,1->13,1,13,0,52/1931,0.0269290523045054,52/1931,0.0269290523045054,0,2/11,3->11,3,11,0,44/1927,0.0228334198235599,44/1927,0.0228334198235599,0,2/3,5->9,5,9,0,12/641,0.0187207488299532,12/641,0.0187207488299532,163345132/7155554151,0.0228277403193395,-6992209019/7155554151,-0.97717225968066,7318899283/14311108302,0.51141387015967,21630007585/28622216604,0.755706935079835,6992209019/28622216604,0.244293064920165,163345132/7155554151,0.0228277403193395,-6992209019/7155554151,-0.97717225968066,6992209019/28622216604,0.244293064920165,0
1907,0,9/13,1->13,1,13,0,52/1933,0.0269011898603207,52/1933,0.0269011898603207,2/3,4/11,11->3,11,3,0,3/7,0.428571428571429,11/7,1.57142857142857,2/5,8/9,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,23560/40593,0.580395634715345,-17033/40593,-0.419604365284655,64153/81186,0.790197817357672,145339/162372,0.895098908678836,17033/162372,0.104901091321164,13008/13531,0.961348015667726,-523/13531,-0.038651984332274,523/54124,0.00966299608306851,1
1909,0,11/13,1->13,1,13,0,52/1935,0.0268733850129199,52/1935,0.0268733850129199,1/3,6/11,3->11,3,11,0,11/7,1.57142857142857,11/7,1.57142857142857,4/5,1/9,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,31324/40635,0.770862556909069,-9311/40635,-0.229137443090931,71959/81270,0.885431278454534,153229/162540,0.942715639227267,9311/162540,0.0572843607727329,39064/40635,0.961338747385259,-1571/40635,-0.038661252614741,1571/162540,0.00966531315368525,1
