m,current_prime,next_prime,residue,phase_turn,phase_degrees,ara_phase_x,next_m,next_phase_turn,delta_turn,delta_degrees,distance_golden_angle,distance_thirty_six,distance_reverse_golden,distance_one_over_e,distance_three_eighths,distance_two_fifths,distance_one_fifth,distance_one_sixth,distance_one_quarter,distance_one_third,distance_one_half,distance_zero
2606,23371,23399,7585,0.3241591521005171,116.69729475618615,0.6483183042010342,2607,0.24166204039800146,0.9175028882974844,330.3010397870944,0.4644631229526208,0.1824971117025156,0.2994688995475896,0.45037655287395795,0.4574971117025156,0.48249711170251564,0.2824971117025157,0.24916377836918224,0.3324971117025156,0.415830445035849,0.4175028882974844,0.08249711170251561
2607,23399,23417,5659,0.24166204039800146,86.99833454328052,0.4833240807960029,2608,0.1131833895266954,0.871521349128694,313.7476856863298,0.4895553378785888,0.22847865087130603,0.25348736037879915,0.4963580920427484,0.49652134912869395,0.4715213491286939,0.328478650871306,0.2951453175379727,0.37847865087130605,0.4618119842046393,0.37152134912869395,0.12847865087130605
2608,23417,23431,2652,0.1131833895266954,40.746020229610345,0.2263667790533908,2609,0.34729389687380047,0.23411050734710506,84.27978264495782,0.14785550390300006,0.13411050734710506,0.38392348140278976,0.1337689338243373,0.14088949265289497,0.165889492652895,0.03411050734710505,0.0674438406804384,0.015889492652894965,0.09922282598622822,0.26588949265289497,0.23411050734710506
2609,23431,23447,8143,0.34729389687380047,125.02580287456817,0.6945877937476009,2610,0.2532929792403768,0.9059990823665763,326.1596696519675,0.4759669288835289,0.19400091763342364,0.28796509361668154,0.461880358804866,0.46900091763342366,0.4940009176334237,0.29400091763342373,0.2606675843000903,0.34400091763342366,0.42733425096675703,0.40599908236657634,0.09400091763342366
2610,23447,23459,5942,0.2532929792403768,91.18547252653565,0.5065859584807536,2611,0.2677970434115793,0.01450406417120248,5.221463101632892,0.3674619470789027,0.08549593582879755,0.39647007542130774,0.3533753770002399,0.3604959358287976,0.3854959358287975,0.18549593582879753,0.1521626024954642,0.23549593582879758,0.31882926916213084,0.4854959358287976,0.01450406417120248
2611,23459,23473,6286,0.2677970434115793,96.40693562816854,0.5355940868231586,2612,0.29186704685704556,0.02407000344546628,8.66520124036786,0.3578960078046389,0.0759299965545337,0.4060360146955715,0.34380943772597605,0.3509299965545337,0.37592999655453374,0.17592999655453379,0.14259666322120035,0.22592999655453372,0.3092633298878671,0.4759299965545337,0.02407000344546628
2612,23473,23497,6858,0.29186704685704556,105.0721368685364,0.5837340937140911,2613,0.4522097919945553,0.16034274513750973,57.72338824950351,0.22162326611259542,0.06034274513750973,0.457691243612385,0.20753669603393265,0.21465725486249032,0.23965725486249023,0.03965725486249028,0.006323921529156951,0.08965725486249032,0.17299058819582358,0.3396572548624903,0.16034274513750973
2613,23497,23509,10631,0.4522097919945553,162.7955251180399,0.9044195839891106,2614,0.6810165313841315,0.22880673938957624,82.37042618024745,0.1531592718605289,0.12880673938957624,0.3892272493603186,0.13907270178186604,0.1461932606104237,0.17119326061042384,0.02880673938957623,0.062140072722909584,0.021193260610423703,0.10452659394375707,0.2711932606104237,0.22880673938957624
2614,23509,23531,16025,0.6810165313841315,245.16595129828735,1.362033062768263,2615,0.062242426817351405,0.38122589543321983,137.24132235595914,0.0007401158168853783,0.28122589543321985,0.23680809331667496,0.013346454261777496,0.00622589543321983,0.018774104566780192,0.18122589543321982,0.21455922876655317,0.13122589543321983,0.047892562099886515,0.11877410456678017,0.38122589543321983
2615,23531,23537,1465,0.062242426817351405,22.407273654246506,0.12448485363470281,2616,0.7192319129954543,0.6569894861781029,236.51621502411706,0.2750234749279978,0.44301051382189705,0.03895549742820814,0.2891100450066606,0.28198948617810293,0.2569894861781029,0.4569894861781029,0.4903228195114363,0.40698948617810293,0.3236561528447696,0.15698948617810293,0.34301051382189707
2616,23537,23539,16930,0.7192319129954543,258.9234886783635,1.4384638259909086,2617,0.6403244299120981,0.9210925169166438,331.59330608999176,0.46087349433346136,0.17890748308335613,0.30305852816674905,0.4467869242547985,0.45390748308335616,0.4789074830833562,0.2789074830833562,0.24557414975002279,0.32890748308335616,0.4122408164166895,0.42109251691664384,0.07890748308335616
2617,23539,23549,15079,0.6403244299120981,230.51679476835534,1.2806488598241963,2618,0.5555461221717536,0.9152216922596554,329.47980921347596,0.46674431899044966,0.18477830774034454,0.29718770350976065,0.4526577489117869,0.45977830774034456,0.4847783077403446,0.2847783077403445,0.2514449744070112,0.33477830774034456,0.4181116410736778,0.41522169225965544,0.08477830774034456
2618,23549,23557,13087,0.5555461221717536,199.9966039818313,1.1110922443435072,2619,0.37286193285514196,0.8173158106833884,294.23369184601984,0.4353497994332833,0.28268418931661154,0.19928182193349364,0.4494363695119461,0.44231581068338843,0.4173158106833884,0.3826841893166115,0.3493508559832782,0.43268418931661157,0.4839824773500551,0.31731581068338843,0.18268418931661157
2619,23557,23561,8785,0.37286193285514196,134.2302958278511,0.7457238657102839,2620,0.07083138819335398,0.6979694553382121,251.26900392175634,0.31600344408810693,0.4020305446617879,0.0799354665883173,0.33009001416676975,0.3229694553382121,0.29796945533821206,0.4979694553382121,0.46869721132845454,0.4479694553382121,0.36463612200487877,0.19796945533821209,0.3020305446617879
