rung,entity,axis,axis_bin,coordinate_low,coordinate_high,starting_events,threshold_index,threshold_q,adult_progress,conditional_survival,global_survival,redistribution_log2
r9,edge,u,10,1.6666666666666667,1.8333333333333333,0,8,337,0.34419862873899226,nan,0.3632987351421303,nan
r9,edge,u,11,1.8333333333333333,2.0,0,8,337,0.34419862873899226,nan,0.3632987351421303,nan
r9,edge,u,0,0.0,0.16666666666666666,0,9,467,0.39126025215842636,nan,0.3242760527925261,nan
r9,edge,u,1,0.16666666666666666,0.3333333333333333,0,9,467,0.39126025215842636,nan,0.3242760527925261,nan
r9,edge,u,2,0.3333333333333333,0.5,2581,9,467,0.39126025215842636,0.3161565284773344,0.3242760527925261,-0.03658347650984403
r9,edge,u,3,0.5,0.6666666666666666,65805,9,467,0.39126025215842636,0.3233037003267229,0.3242760527925261,-0.0043324675544317145
r9,edge,u,4,0.6666666666666666,0.8333333333333334,251077,9,467,0.39126025215842636,0.3247848269654329,0.3242760527925261,0.0022617481638795177
r9,edge,u,5,0.8333333333333334,1.0,306444,9,467,0.39126025215842636,0.32427458197908915,0.3242760527925261,-6.543622464551282e-06
r9,edge,u,6,1.0,1.1666666666666667,608675,9,467,0.39126025215842636,0.32403335113155624,0.3242760527925261,-0.001080177140527252
r9,edge,u,7,1.1666666666666667,1.3333333333333333,255056,9,467,0.39126025215842636,0.32508155071827366,0.3242760527925261,0.0035791941225743764
r9,edge,u,8,1.3333333333333333,1.5,83755,9,467,0.39126025215842636,0.3221897200167154,0.3242760527925261,-0.00931202401083455
r9,edge,u,9,1.5,1.6666666666666667,6073,9,467,0.39126025215842636,0.33657171085130905,0.3242760527925261,0.05369143470017818
r9,edge,u,10,1.6666666666666667,1.8333333333333333,0,9,467,0.39126025215842636,nan,0.3242760527925261,nan
r9,edge,u,11,1.8333333333333333,2.0,0,9,467,0.39126025215842636,nan,0.3242760527925261,nan
r9,edge,u,0,0.0,0.16666666666666666,0,10,631,0.43467667236173446,nan,0.2980127460800043,nan
r9,edge,u,1,0.16666666666666666,0.3333333333333333,0,10,631,0.43467667236173446,nan,0.2980127460800043,nan
r9,edge,u,2,0.3333333333333333,0.5,2581,10,631,0.43467667236173446,0.28864781092599767,0.2980127460800043,-0.046063752293388154
r9,edge,u,3,0.5,0.6666666666666666,65805,10,631,0.43467667236173446,0.29687713699566903,0.2980127460800043,-0.0055080431892880755
r9,edge,u,4,0.6666666666666666,0.8333333333333334,251077,10,631,0.43467667236173446,0.29798428370579544,0.2980127460800043,-0.0001377943986364529
r9,edge,u,5,0.8333333333333334,1.0,306444,10,631,0.43467667236173446,0.2984819412355928,0.2980127460800043,0.002269611710467749
r9,edge,u,6,1.0,1.1666666666666667,608675,10,631,0.43467667236173446,0.29797510986979914,0.2980127460800043,-0.00018221033650573485
r9,edge,u,7,1.1666666666666667,1.3333333333333333,255056,10,631,0.43467667236173446,0.2982991970390816,0.2980127460800043,0.0013860577996968055
r9,edge,u,8,1.3333333333333333,1.5,83755,10,631,0.43467667236173446,0.29614948361291865,0.2980127460800043,-0.009048465885803747
r9,edge,u,9,1.5,1.6666666666666667,6073,10,631,0.43467667236173446,0.30923760908941217,0.2980127460800043,0.05334175225475937
r9,edge,u,10,1.6666666666666667,1.8333333333333333,0,10,631,0.43467667236173446,nan,0.2980127460800043,nan
