parent_prime,child_gate_count,child_centroid,mean_ridge_distance,mean_phi_pair_distance,minimum_phi_pair_distance,nearest_phi_residue_hit_count,nearest_phi_residue_hit_share
4000003307,6337,0.9973316303381524,0.5003528836707103,0.26375732392252305,8.427179254608844e-05,5,0.0007890168849613382
4000003309,6337,0.997435551845664,0.5003076466761422,0.2637752284574456,7.401940637511122e-06,8,0.001262427015938141
4000003327,6337,0.9971084183973131,0.5004399443081544,0.26367756187964697,3.2448032715911406e-05,6,0.0009468202619536059
4000003331,6337,0.9979474749203023,0.5003400058390779,0.2637011903235738,3.6002513666462163e-06,4,0.0006312135079690705
4000003349,6337,0.9988827684878916,0.5005489793152683,0.2641092239148892,6.09259731181096e-05,4,0.0006312135079690705
4000003361,6337,0.9988750840249767,0.5002691711951243,0.2645602866959328,2.9920775352527633e-05,6,0.0009468202619536059
4000003409,6337,0.9960038853874738,0.5003364859462032,0.26411134663367997,7.166547080943195e-05,5,0.0007890168849613382
4000003421,6337,0.9953649874165895,0.5001463837395048,0.2640775298582684,6.44207697008001e-05,8,0.001262427015938141
4000003459,6337,0.9963926757973254,0.5008040522627177,0.26384985676441175,1.248162560071163e-06,7,0.0011046236389458735
4000003499,6337,0.9956306451616547,0.5007243663022293,0.2637508127321228,1.8076784329625693e-05,8,0.001262427015938141
4000003507,6337,0.9954151176837245,0.5006406931029063,0.26388526410000473,2.9897082874215908e-06,9,0.0014202303929304087
4000003529,6337,0.9946646137424251,0.5012847605949731,0.2634462825991751,1.4924030188529629e-05,9,0.0014202303929304087
4000003541,6337,0.995288142787478,0.5013205219689497,0.2633241594868602,4.1906837346415616e-05,6,0.0009468202619536059
4000003543,6337,0.9950764575410033,0.5011393609582729,0.2633823070029328,0.000159105321084217,3,0.0004734101309768029
4000003549,6337,0.9966506490794751,0.5009575845753894,0.2633088323983953,0.00016731283657695105,3,0.0004734101309768029
4000003561,6337,0.9950649308466366,0.5008750371447868,0.26300564933981224,0.0001150506128956039,9,0.0014202303929304087
4000003571,6337,0.9959001451381685,0.5006397468888598,0.26287030304332687,0.0002232726608934571,5,0.0007890168849613382
4000003591,6337,0.996623753459283,0.5008934979993415,0.26282420726766337,0.00017566186294607842,6,0.0009468202619536059
4000003607,6337,0.996192698503421,0.5003640023508105,0.2634983038796809,0.00017502239146750383,5,0.0007890168849613382
4000003613,6337,0.9961888562719657,0.5004793307118245,0.2635898727979263,0.00026170169304391114,5,0.0007890168849613382
4000003643,6337,0.9917511505589033,0.5001352322094021,0.26443483472974666,2.5865044916008935e-05,5,0.0007890168849613382
4000003699,6337,0.9899268514594035,0.5002929624814658,0.26364612501998796,4.505663128975617e-05,8,0.001262427015938141
4000003717,6337,0.9908621450269909,0.4997260331287354,0.26406500676879296,3.879703936634768e-06,6,0.0009468202619536059
4000003753,6337,0.9911546983922446,0.5002725481642964,0.2641362251354839,3.0791060057090374e-05,5,0.0007890168849613382
4000003759,6337,0.9914664629147713,0.500425056131057,0.26402094869145926,0.0001007759390728106,6,0.0009468202619536059
4000003801,6337,0.9914395672945833,0.5000883163285451,0.2638950283435924,0.0002743910190249969,5,0.0007890168849613382
4000003849,6337,0.9910932226889527,0.4998665383133138,0.263593357217644,3.190457370142438e-05,6,0.0009468202619536059
4000003859,6337,0.993190863996428,0.49959550439661116,0.26356215658642984,2.7498680621427897e-05,4,0.0006312135079690705
4000003871,6337,0.994129999795471,0.5000431067902621,0.2633363811923044,3.54435976554815e-05,4,0.0006312135079690705
4000003913,6337,0.9941031041752778,0.5005149615937518,0.26310963638000057,5.6460660007242115e-05,6,0.0009468202619536059
4000003963,6337,0.9925982540612202,0.5004169172929199,0.2632575990976068,2.1323594707634415e-05,5,0.0007890168849613382
4000004023,6337,0.9912974047307265,0.4997846204012057,0.2638171025831829,4.973840497103876e-05,7,0.0011046236389458735
4000004027,6337,0.992136461253713,0.4997514209365622,0.26396839992860105,0.0001437004328156074,2,0.00031560675398453525
