scale,anchor,initial_candidate,true_next_prime,initial_delta,final_delta,handover_events,candidate_states,Y0,Y3,residue,pair_representative,orientation,odds,ara_oriented,closeness,closeness_float,final_residue,final_pair_representative,final_closeness,final_closeness_float,delta_closeness,closeness_increase_steps,closeness_decrease_steps,candidate_path,closeness_path,gate_path,total_nonbase_gate_crossings
low,61075368,61075369,61075369,1,1,0,1,1,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,5,5,5/7,0.7142857142857143,0.0,0,0,61075369,5/7,,985
low,61075707,61075709,61075727,2,20,3,4,0,0,9,5,right,5/9,9/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,0,2,61075709|61075711|61075717|61075727,5/7|3/7|3/7|1/7,19|29|431,985
low,61075789,61075793,61075801,4,12,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,3,3,3/7,0.42857142857142855,-0.2857142857142857,1,1,61075793|61075799|61075801,5/7|1/7|3/7,67|83,985
low,61075810,61075811,61075829,1,19,2,3,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,3,3,3/7,0.42857142857142855,0.2857142857142857,1,0,61075811|61075813|61075829,1/7|1/7|3/7,101|1949,985
low,61076194,61076195,61076207,1,13,2,3,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,3,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61076195|61076201|61076207,5/7|3/7|3/7,5|23,985
low,61076249,61076251,61076251,2,2,0,1,1,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,5,5,5/7,0.7142857142857143,0.0,0,0,61076251,5/7,,985
low,61077050,61077053,61077053,3,3,0,1,1,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61077053,5/7,,985
low,61077166,61077167,61077173,1,7,2,3,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,3,3,3/7,0.42857142857142855,0.0,1,1,61077167|61077169|61077173,3/7|1/7|3/7,23|109,985
low,61077238,61077239,61077251,1,13,2,3,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,11,3,3/7,0.42857142857142855,0.2857142857142857,1,0,61077239|61077241|61077251,1/7|1/7|3/7,157|163,985
low,61077457,61077459,61077461,2,4,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61077459|61077461,5/7|3/7,3,985
low,61078368,61078369,61078373,1,5,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,0,1,61078369|61078373,5/7|1/7,11,985
low,61078594,61078595,61078657,1,63,6,7,0,0,11,3,right,3/11,11/7,3/7,0.42857142857142855,3,3,3/7,0.42857142857142855,0.0,3,3,61078595|61078597|61078601|61078607|61078609|61078627|61078657,3/7|1/7|3/7|5/7|3/7|1/7|3/7,5|19|37|67|317|1723,985
low,61079268,61079269,61079279,1,11,2,3,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,9,5,5/7,0.7142857142857143,0.5714285714285714,2,0,61079269|61079273|61079279,1/7|3/7|5/7,31|47,985
low,61079541,61079545,61079569,4,28,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,5,5,5/7,0.7142857142857143,0.0,1,1,61079545|61079549|61079569,5/7|1/7|5/7,5|2179,985
low,61079650,61079651,61079663,1,13,3,4,0,0,3,3,left,3/11,3/7,3/7,0.42857142857142855,1,1,1/7,0.14285714285714285,-0.2857142857142857,1,2,61079651|61079653|61079659|61079663,3/7|5/7|3/7|1/7,23|197|293,985
low,61080004,61080007,61080023,3,19,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,1,1,61080007|61080011|61080023,5/7|1/7|3/7,37|1721,985
low,61080250,61080251,61080263,1,13,2,3,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,13,1,1/7,0.14285714285714285,0.0,1,1,61080251|61080259|61080263,1/7|5/7|1/7,233|2887,985
low,61080905,61080907,61080917,2,12,3,4,0,0,13,1,right,1/13,13/7,1/7,0.14285714285714285,9,5,5/7,0.7142857142857143,0.5714285714285714,2,0,61080907|61080911|61080913|61080917,1/7|3/7|5/7|5/7,113|149|211,985
low,61081165,61081169,61081171,4,6,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61081169|61081171,5/7|3/7,23,985
low,61083158,61083159,61083161,1,3,1,2,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,13,1,1/7,0.14285714285714285,-0.2857142857142857,0,1,61083159|61083161,3/7|1/7,3,985
low,61083175,61083177,61083241,2,66,4,5,0,0,1,1,left,1/13,1/7,1/7,0.14285714285714285,9,5,5/7,0.7142857142857143,0.5714285714285714,3,1,61083177|61083179|61083181|61083229|61083241,1/7|3/7|5/7|3/7|5/7,3|1559|3037|7069,985
low,61083357,61083359,61083383,2,26,2,3,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,11,3,3/7,0.42857142857142855,0.2857142857142857,1,0,61083359|61083371|61083383,1/7|1/7|3/7,71|4507,985
low,61083404,61083405,61083413,1,9,2,3,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,0,1,61083405|61083409|61083413,5/7|5/7|1/7,3|47,985
low,61083527,61083529,61083551,2,24,2,3,0,1,3,3,left,3/11,3/7,3/7,0.42857142857142855,11,3,3/7,0.42857142857142855,0.0,1,1,61083529|61083541|61083551,3/7|1/7|3/7,13|29,985
low,61083872,61083873,61083877,1,5,2,3,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,1,1,1/7,0.14285714285714285,-0.2857142857142857,0,1,61083873|61083875|61083877,3/7|1/7|1/7,3|5,985
low,61083922,61083923,61083943,1,21,1,2,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61083923|61083943,5/7|3/7,487,985
low,61084020,61084021,61084033,1,13,2,3,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,3,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61084021|61084027|61084033,5/7|3/7|3/7,23|6917,985
low,61084121,61084123,61084129,2,8,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,1,1,1/7,0.14285714285714285,-0.5714285714285714,0,1,61084123|61084129,5/7|1/7,43,985
low,61084178,61084179,61084187,1,9,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,3,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61084179|61084181|61084187,5/7|3/7|3/7,3|151,985
low,61084191,61084193,61084193,2,2,0,1,1,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61084193,5/7,,985
low,61084366,61084367,61084367,1,1,0,1,1,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,1,1,1/7,0.14285714285714285,0.0,0,0,61084367,1/7,,985
low,61084596,61084599,61084613,3,17,3,4,0,0,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,1,2,61084599|61084601|61084603|61084613,5/7|3/7|1/7|5/7,3|19|983,985
low,61084625,61084627,61084627,2,2,0,1,1,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61084627,5/7,,985
low,61084658,61084659,61084679,1,21,4,5,0,0,13,1,right,1/13,13/7,1/7,0.14285714285714285,5,5,5/7,0.7142857142857143,0.5714285714285714,2,0,61084659|61084661|61084663|61084669|61084679,1/7|1/7|3/7|5/7|5/7,3|11|31|37,985
low,61084798,61084799,61084813,1,15,2,3,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,13,1,1/7,0.14285714285714285,0.0,0,0,61084799|61084801|61084813,1/7|1/7|1/7,109|139,985
low,61084927,61084929,61084931,2,4,1,2,0,1,3,3,left,3/11,3/7,3/7,0.42857142857142855,5,5,5/7,0.7142857142857143,0.2857142857142857,1,0,61084929|61084931,3/7|5/7,3,985
low,61084973,61084977,61084997,4,24,3,4,0,0,9,5,right,5/9,9/7,5/7,0.7142857142857143,1,1,1/7,0.14285714285714285,-0.5714285714285714,0,2,61084977|61084979|61084993|61084997,5/7|3/7|3/7|1/7,3|463|661,985
low,61085372,61085373,61085411,1,39,4,5,0,0,13,1,right,1/13,13/7,1/7,0.14285714285714285,9,5,5/7,0.7142857142857143,0.5714285714285714,2,0,61085373|61085375|61085377|61085393|61085411,1/7|1/7|3/7|5/7|5/7,3|5|233|313,985
low,61085470,61085471,61085503,1,33,5,6,0,0,13,1,right,1/13,13/7,1/7,0.14285714285714285,3,3,3/7,0.42857142857142855,0.2857142857142857,3,1,61085471|61085473|61085489|61085491|61085501|61085503,1/7|1/7|3/7|5/7|1/7|3/7,17|59|71|2003|4937,985
low,61085559,61085561,61085561,2,2,0,1,1,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,5,5,5/7,0.7142857142857143,0.0,0,0,61085561,5/7,,985
low,61085940,61085943,61085963,3,23,5,6,0,0,9,5,right,5/9,9/7,5/7,0.7142857142857143,1,1,1/7,0.14285714285714285,-0.5714285714285714,2,3,61085943|61085945|61085947|61085951|61085957|61085963,5/7|3/7|1/7|3/7|5/7|1/7,3|5|13|89|197,985
low,61086052,61086055,61086059,3,7,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,0,1,61086055|61086059,5/7|1/7,5,985
low,61086127,61086129,61086131,2,4,1,2,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,1,1,1/7,0.14285714285714285,0.0,0,0,61086129|61086131,1/7|1/7,3,985
low,61086232,61086233,61086239,1,7,1,2,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61086233|61086239,5/7|3/7,13,985
low,61086548,61086549,61086563,1,15,2,3,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,13,1,1/7,0.14285714285714285,0.0,0,0,61086549|61086551|61086563,1/7|1/7|1/7,3|23,985
low,61087144,61087147,61087153,3,9,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,1,1,1/7,0.14285714285714285,-0.5714285714285714,0,1,61087147|61087151|61087153,5/7|1/7|1/7,11|179,985
low,61087368,61087371,61087373,3,5,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61087371|61087373,5/7|3/7,3,985
low,61087462,61087463,61087463,1,1,0,1,1,1,3,3,left,3/11,3/7,3/7,0.42857142857142855,3,3,3/7,0.42857142857142855,0.0,0,0,61087463,3/7,,985
low,61087553,61087555,61087561,2,8,2,3,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,3,3,3/7,0.42857142857142855,0.0,1,1,61087555|61087559|61087561,3/7|1/7|3/7,5|13,985
low,61087696,61087697,61087711,1,15,2,3,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,13,1,1/7,0.14285714285714285,0.0,0,0,61087697|61087699|61087711,1/7|1/7|1/7,11|2027,985
low,61087978,61087979,61087997,1,19,1,2,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,5,5,5/7,0.7142857142857143,0.5714285714285714,1,0,61087979|61087997,1/7|5/7,2833,985
low,61088287,61088289,61088303,2,16,3,4,0,0,3,3,left,3/11,3/7,3/7,0.42857142857142855,3,3,3/7,0.42857142857142855,0.0,1,1,61088289|61088291|61088297|61088303,3/7|5/7|3/7|3/7,3|11|29,985
low,61088313,61088315,61088317,2,4,1,2,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,3,3,3/7,0.42857142857142855,0.2857142857142857,1,0,61088315|61088317,1/7|3/7,5,985
low,61088593,61088595,61088597,2,4,1,2,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,3,3,3/7,0.42857142857142855,0.2857142857142857,1,0,61088595|61088597,1/7|3/7,3,985
low,61088634,61088635,61088669,1,35,3,4,0,0,13,1,right,1/13,13/7,1/7,0.14285714285714285,5,5,5/7,0.7142857142857143,0.5714285714285714,2,0,61088635|61088639|61088641|61088669,1/7|3/7|5/7|5/7,5|233|659,985
low,61088968,61088969,61088981,1,13,1,2,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,9,5,5/7,0.7142857142857143,0.2857142857142857,1,0,61088969|61088981,3/7|5/7,1627,985
low,61089119,61089121,61089137,2,18,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61089121|61089137,5/7|3/7,61,985
low,61089153,61089155,61089163,2,10,2,3,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,9,5,5/7,0.7142857142857143,0.5714285714285714,2,0,61089155|61089157|61089163,1/7|3/7|5/7,5|257,985
low,61089355,61089359,61089359,4,4,0,1,1,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61089359,5/7,,985
low,61089776,61089779,61089779,3,3,0,1,1,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61089779,5/7,,985
low,61090130,61090131,61090151,1,21,3,4,0,0,11,3,right,3/11,11/7,3/7,0.42857142857142855,3,3,3/7,0.42857142857142855,0.0,1,1,61090131|61090133|61090147|61090151,3/7|1/7|1/7|3/7,3|13|79,985
low,61090645,61090647,61090651,2,6,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,0,2,61090647|61090649|61090651,5/7|3/7|1/7,3|3041,985
low,61090655,61090657,61090669,2,14,2,3,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,3,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61090657|61090661|61090669,5/7|5/7|3/7,757|941,985
low,61090804,61090805,61090817,1,13,2,3,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,11,3,3/7,0.42857142857142855,0.2857142857142857,1,0,61090805|61090807|61090817,1/7|1/7|3/7,5|6997,985
low,61091253,61091255,61091263,2,10,2,3,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,9,5,5/7,0.7142857142857143,0.5714285714285714,2,0,61091255|61091257|61091263,1/7|3/7|5/7,5|103,985
low,61091456,61091459,61091467,3,11,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,3,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61091459|61091461|61091467,5/7|3/7|3/7,11|463,985
low,61091817,61091819,61091831,2,14,2,3,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,3,3,3/7,0.42857142857142855,-0.2857142857142857,1,1,61091819|61091827|61091831,5/7|1/7|3/7,811|7433,985
low,61091901,61091903,61091903,2,2,0,1,1,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,5,5,5/7,0.7142857142857143,0.0,0,0,61091903,5/7,,985
low,61091914,61091915,61091941,1,27,5,6,0,0,3,3,left,3/11,3/7,3/7,0.42857142857142855,1,1,1/7,0.14285714285714285,-0.2857142857142857,1,2,61091915|61091917|61091923|61091929|61091939|61091941,3/7|5/7|3/7|3/7|1/7|1/7,5|31|191|281|521,985
low,61092073,61092075,61092077,2,4,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61092075|61092077,5/7|3/7,3,985
low,61092243,61092245,61092247,2,4,1,2,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,13,1,1/7,0.14285714285714285,-0.2857142857142857,0,1,61092245|61092247,3/7|1/7,5,985
low,61092505,61092509,61092511,4,6,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61092509|61092511,5/7|3/7,17,985
low,61092604,61092607,61092607,3,3,0,1,1,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61092607,5/7,,985
low,61092754,61092755,61092769,1,15,5,6,0,0,3,3,left,3/11,3/7,3/7,0.42857142857142855,3,3,3/7,0.42857142857142855,0.0,2,2,61092755|61092757|61092761|61092763|61092767|61092769,3/7|5/7|5/7|3/7|1/7|3/7,5|11|23|29|131,985
low,61092839,61092841,61092869,2,30,1,2,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,5,5,5/7,0.7142857142857143,0.0,0,0,61092841|61092869,5/7|5/7,6047,985
low,61092948,61092949,61092949,1,1,0,1,1,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,1,1,1/7,0.14285714285714285,0.0,0,0,61092949,1/7,,985
low,61093532,61093533,61093537,1,5,2,3,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,1,1,1/7,0.14285714285714285,-0.2857142857142857,0,1,61093533|61093535|61093537,3/7|1/7|1/7,3|5,985
low,61094075,61094077,61094081,2,6,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,0,1,61094077|61094081,5/7|1/7,11,985
low,61094134,61094135,61094167,1,33,6,7,0,0,11,3,right,3/11,11/7,3/7,0.42857142857142855,1,1,1/7,0.14285714285714285,-0.2857142857142857,3,3,61094135|61094137|61094141|61094147|61094153|61094161|61094167,3/7|1/7|3/7|5/7|1/7|5/7|1/7,5|13|17|151|251|7351,985
low,61094631,61094633,61094653,2,22,2,3,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61094633|61094639|61094653,5/7|3/7|3/7,19|491,985
low,61094734,61094735,61094767,1,33,4,5,0,0,9,5,right,5/9,9/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,1,3,61094735|61094737|61094741|61094749|61094767,5/7|3/7|1/7|5/7|1/7,5|11|977|5023,985
low,61095096,61095099,61095101,3,5,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61095099|61095101,5/7|3/7,3,985
low,61095380,61095381,61095401,1,21,3,4,0,0,11,3,right,3/11,11/7,3/7,0.42857142857142855,3,3,3/7,0.42857142857142855,0.0,1,2,61095381|61095383|61095389|61095401,3/7|1/7|5/7|3/7,3|23|31,985
low,61096250,61096251,61096253,1,3,1,2,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,1,1,1/7,0.14285714285714285,0.0,0,0,61096251|61096253,1/7|1/7,3,985
low,61096456,61096457,61096463,1,7,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,1,1,1/7,0.14285714285714285,-0.5714285714285714,0,2,61096457|61096459|61096463,5/7|3/7|1/7,19|179,985
low,61096551,61096555,61096559,4,8,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,13,1,1/7,0.14285714285714285,-0.5714285714285714,0,1,61096555|61096559,5/7|1/7,5,985
low,61096673,61096675,61096699,2,26,3,4,0,0,3,3,left,3/11,3/7,3/7,0.42857142857142855,13,1,1/7,0.14285714285714285,-0.2857142857142857,1,1,61096675|61096681|61096687|61096699,3/7|5/7|1/7|1/7,5|1447|7187,985
low,61096782,61096783,61096811,1,29,2,3,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,13,1,1/7,0.14285714285714285,0.0,1,1,61096783|61096787|61096811,1/7|3/7|1/7,11|457,985
low,61096793,61096795,61096811,2,18,4,5,0,0,11,3,right,3/11,11/7,3/7,0.42857142857142855,13,1,1/7,0.14285714285714285,-0.2857142857142857,2,2,61096795|61096799|61096801|61096807|61096811,3/7|1/7|3/7|5/7|1/7,5|19|59|61,985
low,61096838,61096839,61096843,1,5,2,3,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,3,3,3/7,0.42857142857142855,0.2857142857142857,1,0,61096839|61096841|61096843,1/7|1/7|3/7,3|13,985
low,61096990,61096991,61096999,1,9,1,2,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,5,5,5/7,0.7142857142857143,0.2857142857142857,1,0,61096991|61096999,3/7|5/7,71,985
low,61097454,61097455,61097537,1,83,2,3,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,11,3,3/7,0.42857142857142855,0.2857142857142857,1,0,61097455|61097459|61097537,1/7|3/7|3/7,5|4339,985
low,61097957,61097959,61097987,2,30,2,3,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,13,1,1/7,0.14285714285714285,0.0,1,1,61097959|61097963|61097987,1/7|3/7|1/7,13|107,985
low,61098176,61098179,61098181,3,5,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61098179|61098181,5/7|3/7,31,985
low,61098255,61098257,61098283,2,28,2,3,0,1,3,3,left,3/11,3/7,3/7,0.42857142857142855,1,1,1/7,0.14285714285714285,-0.2857142857142857,1,1,61098257|61098259|61098283,3/7|5/7|1/7,11|547,985
low,61098655,61098657,61098659,2,4,1,2,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,13,1,1/7,0.14285714285714285,-0.2857142857142857,0,1,61098657|61098659,3/7|1/7,3,985
low,61098894,61098895,61098931,1,37,2,3,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,5,5,5/7,0.7142857142857143,0.2857142857142857,1,1,61098895|61098899|61098931,3/7|1/7|5/7,5|4919,985
low,61098970,61098971,61098977,1,7,1,2,0,1,3,3,left,3/11,3/7,3/7,0.42857142857142855,9,5,5/7,0.7142857142857143,0.2857142857142857,1,0,61098971|61098977,3/7|5/7,23,985
low,61099205,61099207,61099211,2,6,1,2,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,5,5,5/7,0.7142857142857143,0.5714285714285714,1,0,61099207|61099211,1/7|5/7,13,985
low,61099292,61099293,61099327,1,35,4,5,0,0,3,3,left,3/11,3/7,3/7,0.42857142857142855,9,5,5/7,0.7142857142857143,0.2857142857142857,2,2,61099293|61099295|61099301|61099303|61099327,3/7|5/7|3/7|1/7|5/7,3|5|53|1723,985
low,61099359,61099361,61099391,2,32,2,3,0,1,1,1,left,1/13,1/7,1/7,0.14285714285714285,3,3,3/7,0.42857142857142855,0.2857142857142857,1,0,61099361|61099373|61099391,1/7|1/7|3/7,193|1361,985
low,61099377,61099379,61099391,2,14,2,3,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,3,3,3/7,0.42857142857142855,-0.2857142857142857,1,1,61099379|61099387|61099391,5/7|1/7|3/7,11|149,985
low,61099439,61099441,61099453,2,14,2,3,0,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,9,5,5/7,0.7142857142857143,0.2857142857142857,1,0,61099441|61099447|61099453,3/7|3/7|5/7,13|307,985
low,61099560,61099561,61099561,1,1,0,1,1,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,5,5,5/7,0.7142857142857143,0.0,0,0,61099561,5/7,,985
low,61099570,61099571,61099589,1,19,4,5,0,0,1,1,left,1/13,1/7,1/7,0.14285714285714285,5,5,5/7,0.7142857142857143,0.5714285714285714,3,1,61099571|61099573|61099579|61099583|61099589,1/7|3/7|5/7|1/7|5/7,13|19|131|151,985
low,61099714,61099715,61099721,1,7,1,2,0,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61099715|61099721,5/7|3/7,5,985
low,61099921,61099923,61099933,2,12,3,4,0,0,3,3,left,3/11,3/7,3/7,0.42857142857142855,13,1,1/7,0.14285714285714285,-0.2857142857142857,1,2,61099923|61099925|61099931|61099933,3/7|5/7|3/7|1/7,3|5|271,985
low,61099974,61099975,61099981,1,7,2,3,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,5,5,5/7,0.7142857142857143,0.5714285714285714,2,0,61099975|61099979|61099981,1/7|3/7|5/7,5|61,985
low,61100457,61100461,61100461,4,4,0,1,1,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61100461,5/7,,985
low,61100613,61100615,61100617,2,4,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61100615|61100617,5/7|3/7,5,985
low,61101103,61101105,61101107,2,4,1,2,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,11,3,3/7,0.42857142857142855,-0.2857142857142857,0,1,61101105|61101107,5/7|3/7,3,985
low,61101632,61101633,61101643,1,11,3,4,0,0,5,5,left,5/9,5/7,5/7,0.7142857142857143,1,1,1/7,0.14285714285714285,-0.5714285714285714,0,1,61101633|61101637|61101641|61101643,5/7|5/7|1/7|1/7,3|29|3659,985
low,61102122,61102123,61102123,1,1,0,1,1,1,5,5,left,5/9,5/7,5/7,0.7142857142857143,5,5,5/7,0.7142857142857143,0.0,0,0,61102123,5/7,,985
low,61102702,61102703,61102703,1,1,0,1,1,1,11,3,right,3/11,11/7,3/7,0.42857142857142855,11,3,3/7,0.42857142857142855,0.0,0,0,61102703,3/7,,985
low,61102736,61102737,61102753,1,17,3,4,0,0,3,3,left,3/11,3/7,3/7,0.42857142857142855,5,5,5/7,0.7142857142857143,0.2857142857142857,2,1,61102737|61102739|61102747|61102753,3/7|5/7|1/7|5/7,3|29|467,985
low,61103972,61103975,61104013,3,41,7,8,0,0,9,5,right,5/9,9/7,5/7,0.7142857142857143,5,5,5/7,0.7142857142857143,0.0,4,3,61103975|61103977|61103981|61103983|61103989|61103993|61104011|61104013,5/7|3/7|1/7|3/7|5/7|1/7|3/7|5/7,5|11|19|37|43|73|1493,985
low,61104408,61104409,61104451,1,43,2,3,0,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,1,1,61104409|61104413|61104451,5/7|1/7|5/7,17|239,985
low,61104852,61104853,61104881,1,29,3,4,0,0,5,5,left,5/9,5/7,5/7,0.7142857142857143,5,5,5/7,0.7142857142857143,0.0,1,1,61104853|61104863|61104877|61104881,5/7|1/7|1/7|5/7,103|113|137,985
low,61104900,61104901,61104947,1,47,3,4,0,0,11,3,right,3/11,11/7,3/7,0.42857142857142855,1,1,1/7,0.14285714285714285,-0.2857142857142857,1,1,61104901|61104907|61104913|61104947,3/7|3/7|5/7|1/7,11|127|7793,985
low,61104933,61104935,61104947,2,14,3,4,0,0,3,3,left,3/11,3/7,3/7,0.42857142857142855,1,1,1/7,0.14285714285714285,-0.2857142857142857,1,1,61104935|61104937|61104941|61104947,3/7|5/7|5/7|1/7,5|31|509,985
low,61104980,61104983,61104983,3,3,0,1,1,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61104983,5/7,,985
low,61105294,61105295,61105337,1,43,3,4,0,0,13,1,right,1/13,13/7,1/7,0.14285714285714285,13,1,1/7,0.14285714285714285,0.0,1,1,61105295|61105297|61105301|61105337,1/7|1/7|5/7|1/7,5|11|7121,985
low,61105609,61105613,61105613,4,4,0,1,1,1,9,5,right,5/9,9/7,5/7,0.7142857142857143,9,5,5/7,0.7142857142857143,0.0,0,0,61105613,5/7,,986
low,61106245,61106247,61106257,2,12,2,3,0,1,13,1,right,1/13,13/7,1/7,0.14285714285714285,9,5,5/7,0.7142857142857143,0.5714285714285714,1,0,61106247|61106249|61106257,1/7|1/7|5/7,3|883,986
