base,factors,voice_count,first_missing_prime,harmonic_repeat_count,event_x_old_lock,event_x_echo,last_pure_repeat_x,phi_crossed_before_expansion
881810,2;5;109;809,4,3,1,1.851421866407014,0.1485781335929863,1.9036149609477317,False
881814,2;3;47;53;59,5,5,3,1.7896046052447585,0.21039539475524147,1.8160929251903697,False
881826,2;3;11;31;431,5,5,3,1.789604792385847,0.210395207614153,1.8160930911919912,False
881830,2;5;163;541,4,3,1,1.851422094275745,0.14857790572425522,1.9036151129370844,False
881858,2;17;37;701,4,3,1,1.851422413282112,0.14857758671788815,1.9036153257155815,False
881894,2;13;107;317,4,3,1,1.8514228234162597,0.1485771765837403,1.9036155992766277,False
881930,2;5;7;43;293,5,3,1,1.8514232335314016,0.14857676646859844,1.9036158728249544,False
881958,2;3;7;11;23;83,6,5,3,1.7896068507477896,0.2103931492522106,1.8160949170409753,False
881986,2;7;73;863,4,3,1,1.8514238714505156,0.14857612854948446,1.9036162983192941,False
882002,2;11;47;853,4,3,1,1.8514240537046742,0.14857594629532594,1.9036164198834533,False
882006,2;3;29;37;137,5,5,3,1.789607599156677,0.2103924008433229,1.8160955809093209,False
882010,2;5;193;457,4,3,1,1.851424144830346,0.1485758551696542,1.903616480664591,False
882074,2;31;41;347,4,3,1,1.8514248738019425,0.14857512619805738,1.9036169668910872,False
882094,2;19;139;167,4,3,1,1.851425101593253,0.14857489840674712,1.9036171188286266,False
882102,2;3;13;43;263,5,5,3,1.7896090958363007,0.21039090416369924,1.8160969085232563,False
882122,2;29;67;227,4,3,1,1.8514254204912373,0.14857457950876282,1.903617331534589,False
882134,2;11;101;397,4,3,1,1.8514255571582843,0.14857444284171586,1.9036174226919331,False
882138,2;3;233;631,4,5,3,1.789609657043677,0.2103903429563231,1.8160974063362911,False
882142,2;23;127;151,4,3,1,1.8514256482684763,0.14857435173152372,1.9036174834627113,False
882154,2;7;13;37;131,5,3,1,1.8514257849320057,0.14857421506799431,1.903617574617701,False
882238,2;7;29;41;53,5,3,1,1.8514267415176229,0.14857325848237712,1.9036182126630863,False
882246,2;3;19;71;109,5,5,3,1.7896113405104372,0.21038865948956276,1.816098899637342,False
882262,2;503;877,3,3,1,1.8514270148088083,0.14857298519119183,1.9036183949490582,False
882266,2;7;11;17;337,5,3,1,1.8514270603565184,0.14857293964348145,1.9036184253295043,False
882310,2;5;11;13;617,5,3,1,1.8514275613658608,0.14857243863413933,1.903618759504058,False
882318,2;3;307;479,4,5,3,1.7896124626921601,0.21038753730783985,1.8160998950563514,False
882322,2;7;19;31;107,5,3,1,1.8514276979998494,0.14857230200015042,1.9036188506392782,False
882354,2;3;11;29;461,5,5,3,1.789613023744193,0.21038697625580685,1.8161003927313548,False
882366,2;3;199;739,4,5,3,1.7896132107557858,0.21038678924421433,1.816100558617912,False
882390,2;3;5;67;439,5,7,5,1.7511034959144618,0.24889650408553812,1.7685386592355745,False
882402,2;3;17;41;211,5,5,3,1.7896137717733092,0.21038622822669098,1.8161010562622517,False
882446,2;31;43;331,4,3,1,1.8514291097608848,0.14857089023911516,1.9036197922872244,False
882470,2;5;17;29;179,5,3,1,1.8514293829789439,0.14857061702105623,1.903619974524257,False
882530,2;5;11;71;113,5,3,1,1.8514300659871878,0.1485699340128122,1.9036204300921413,False
882538,2;17;101;257,4,3,1,1.8514301570509708,0.14856984294902925,1.9036204908318604,False
882566,2;41;47;229,4,3,1,1.8514304757668314,0.14856952423316844,1.9036207034159383,False
882570,2;3;5;13;31;73,6,7,5,1.7511067426490257,0.24889325735097445,1.768541708598659,False
882578,2;607;727,3,3,1,1.8514306123558293,0.14856938764417058,1.9036207945210486,False
882618,2;3;11;43;311,5,5,3,1.7896171373350562,0.21038286266494355,1.8161040416454546,False
882622,2;13;83;409,4,3,1,1.8514311131641177,0.14856888683588207,1.9036211285610487,False
882654,2;3;157;937,4,5,3,1.78961769817147,0.21038230182853004,1.8161045391288682,False
882662,2;11;53;757,4,3,1,1.8514315684197864,0.1485684315802137,1.9036214322173168,False
882694,2;23;31;619,4,3,1,1.8514319326074582,0.14856806739254183,1.903621675131046,False
882710,2;5;103;857,4,3,1,1.8514321146956736,0.1485678853043264,1.903621796584149,False
882746,2;37;79;151,4,3,1,1.851432524380459,0.14856747561954087,1.903622069844463,False
882762,2;3;167;881,4,5,3,1.7896193805255365,0.2103806194744633,1.8161060314412276,False
882766,2;571;773,3,3,1,1.8514327519749223,0.1485672480250778,1.9036222216502636,False
882818,2;29;31;491,4,3,1,1.8514333436931318,0.14856665630686816,1.9036226163270122,False
882858,2;3;269;547,4,5,3,1.7896208757560075,0.21037912424399238,1.8161073577675089,False
882894,2;3;37;41;97,5,5,3,1.7896214364200385,0.21037856357996165,1.8161078550977507,False
882926,2;11;67;599,4,3,1,1.85143457251992,0.14856542748008014,1.9036234359556559,False
882942,2;3;31;47;101,5,5,3,1.7896221839318707,0.2103778160681295,1.8161085181690118,False
882970,2;5;11;23;349,5,3,1,1.8514350731041358,0.1485649268958641,1.9036237698456973,False
883002,2;3;367;401,4,5,3,1.7896231182570468,0.21037688174295308,1.8161093469506753,False
883014,2;3;11;17;787,5,5,3,1.789623305113468,0.21037669488653216,1.8161095126993536,False
883030,2;5;227;389,4,3,1,1.8514357556733407,0.14856424432665916,1.9036242251197586,False
883070,2;5;233;379,4,3,1,1.8514362106902278,0.1485637893097724,1.9036245286162243,False
883102,2;11;137;293,4,3,1,1.851436574686891,0.14856342531310912,1.9036247714021228,False
883154,2;23;73;263,4,3,1,1.8514371661495344,0.14856283385046548,1.9036251659078363,False
883158,2;3;19;61;127,5,5,3,1.7896255471665854,0.21037445283341463,1.8161115014845166,False
883162,2;7;199;317,4,3,1,1.8514372571402784,0.14856274285972162,1.9036252265986744,False
883190,2;5;7;11;31;37,6,3,1,1.8514375756005137,0.14856242439948644,1.9036254390116774,False
