ara_numerator,ara_denominator,ara_value,mirror_numerator,mirror_denominator,mirror_value,distance_from_ridge,count,share,mirror_count,count_minus_mirror,r7_count,r8_count,r9_count,r10_count,r11_count
3,41,0.07317073170731707,79,41,1.9268292682926829,-0.926829268292683,206,4.643780448462502e-06,222,-16,0,0,1,9,196
8,109,0.07339449541284404,210,109,1.926605504587156,-0.926605504587156,25,5.635655884056434e-07,36,-11,0,0,0,1,24
2,27,0.07407407407407407,52,27,1.9259259259259258,-0.9259259259259259,33600,0.0007574321508171847,33875,-275,2,28,313,3102,30155
5,67,0.07462686567164178,129,67,1.9253731343283582,-0.9253731343283582,2,4.508524707245147e-08,1,1,0,0,0,0,2
3,40,0.075,77,40,1.925,-0.925,514,1.1586908497620028e-05,461,53,0,0,3,26,485
4,53,0.07547169811320754,102,53,1.9245283018867925,-0.9245283018867925,3186,7.18207985864152e-05,3072,114,0,1,22,262,2901
5,66,0.07575757575757576,127,66,1.9242424242424243,-0.9242424242424242,4,9.017049414490294e-08,1,3,0,0,0,0,4
6,79,0.0759493670886076,152,79,1.9240506329113924,-0.9240506329113924,278,6.266849343070755e-06,277,1,0,0,1,18,259
8,105,0.0761904761904762,202,105,1.9238095238095239,-0.9238095238095239,50,1.1271311768112869e-06,49,1,0,0,0,3,47
10,131,0.07633587786259542,252,131,1.9236641221374047,-0.9236641221374046,4,9.017049414490294e-08,7,-3,0,0,0,0,4
1,13,0.07692307692307693,25,13,1.9230769230769231,-0.9230769230769231,919,2.071667102979145e-05,886,33,0,0,2,51,866
10,129,0.07751937984496124,248,129,1.9224806201550388,-0.9224806201550387,4,9.017049414490294e-08,4,0,0,0,0,0,4
8,103,0.07766990291262135,198,103,1.9223300970873787,-0.9223300970873787,29,6.537360825505463e-07,41,-12,0,0,0,1,28
6,77,0.07792207792207792,148,77,1.922077922077922,-0.922077922077922,444,1.0008924850084227e-05,462,-18,0,0,2,20,422
5,64,0.078125,123,64,1.921875,-0.921875,3,6.762787060867721e-08,1,2,0,0,0,0,3
4,51,0.0784313725490196,98,51,1.9215686274509804,-0.9215686274509804,4479,0.00010096841081875507,4419,60,0,3,25,331,4120
3,38,0.07894736842105263,73,38,1.9210526315789473,-0.9210526315789473,334,7.529236261099396e-06,338,-4,0,0,0,22,312
5,63,0.07936507936507936,121,63,1.9206349206349207,-0.9206349206349207,10,2.2542623536225736e-07,6,4,0,0,0,0,10
12,151,0.07947019867549669,290,151,1.9205298013245033,-0.9205298013245033,1,2.2542623536225736e-08,1,0,0,0,0,0,1
2,25,0.08,48,25,1.92,-0.92,56466,0.0012728917805965225,56246,220,3,61,527,5239,50636
8,99,0.08080808080808081,190,99,1.9191919191919191,-0.9191919191919192,76,1.713239388753156e-06,80,-4,0,0,0,4,72
3,37,0.08108108108108109,71,37,1.9189189189189189,-0.9189189189189189,424,9.558072379359712e-06,467,-43,0,0,1,29,394
10,123,0.08130081300813008,236,123,1.91869918699187,-0.9186991869918699,5,1.1271311768112868e-07,6,-1,0,0,0,0,5
4,49,0.08163265306122448,94,49,1.9183673469387754,-0.9183673469387755,1,2.2542623536225736e-08,3,-2,0,0,0,0,1
14,171,0.08187134502923976,328,171,1.9181286549707601,-0.9181286549707602,1,2.2542623536225736e-08,0,1,0,0,0,0,1
5,61,0.08196721311475409,117,61,1.9180327868852458,-0.9180327868852459,3,6.762787060867721e-08,5,-2,0,0,0,1,2
6,73,0.0821917808219178,140,73,1.917808219178082,-0.9178082191780822,754,1.6997138146314206e-05,798,-44,0,0,0,56,698
8,97,0.08247422680412371,186,97,1.9175257731958764,-0.9175257731958762,51,1.1496738003475126e-06,46,5,0,0,1,3,47
1,12,0.08333333333333333,23,12,1.9166666666666667,-0.9166666666666666,44882,0.0010117580295528835,44482,400,4,40,470,4226,40142
10,119,0.08403361344537816,228,119,1.915966386554622,-0.9159663865546218,17,3.8322460011583755e-07,5,12,0,0,0,0,17
6,71,0.08450704225352113,136,71,1.9154929577464788,-0.9154929577464789,553,1.2466070815532833e-05,550,3,0,0,1,30,522
